 time E 'electrons_given_to_SolubleIron' 'electrons_given_to_mtrB' 'electrons_from_Flavin' 'electrons_from_mtrC' '_electrons_stored_in_Flavin'
0.000000E+00 0 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 19049 3.500000E+01 0.000000E+00 0.000000E+00 1.000000E+01 6.700000E+01
2.000000E-04 37938 2.190000E+02 0.000000E+00 2.000000E+00 2.200000E+01 1.420000E+02
3.000000E-04 57294 5.820000E+02 9.000000E+00 1.200000E+01 2.200000E+01 2.240000E+02
4.000000E-04 76703 1.067000E+03 2.300000E+01 1.600000E+01 3.600000E+01 2.770000E+02
5.000000E-04 96078 1.642000E+03 5.300000E+01 3.400000E+01 4.000000E+01 3.080000E+02
6.000000E-04 115619 2.202000E+03 1.520000E+02 6.400000E+01 4.700000E+01 3.330000E+02
7.000000E-04 135174 2.784000E+03 2.220000E+02 8.700000E+01 6.400000E+01 3.580000E+02
8.000000E-04 154522 3.364000E+03 3.020000E+02 1.010000E+02 7.100000E+01 3.880000E+02
9.000000E-04 173880 3.964000E+03 3.530000E+02 1.230000E+02 8.300000E+01 3.980000E+02
1.000000E-03 193541 4.480000E+03 4.140000E+02 1.390000E+02 8.800000E+01 4.220000E+02
1.100000E-03 213145 5.051000E+03 4.620000E+02 1.650000E+02 9.100000E+01 4.380000E+02
1.200000E-03 232565 5.593000E+03 5.410000E+02 1.900000E+02 9.500000E+01 4.490000E+02
1.300000E-03 252015 6.149000E+03 5.850000E+02 2.130000E+02 1.010000E+02 4.660000E+02
1.400000E-03 271375 6.731000E+03 6.390000E+02 2.480000E+02 1.060000E+02 4.840000E+02
1.500000E-03 290749 7.304000E+03 7.190000E+02 2.750000E+02 1.220000E+02 5.020000E+02
1.600000E-03 310497 7.878000E+03 7.670000E+02 2.990000E+02 1.270000E+02 5.190000E+02
1.700000E-03 330140 8.464000E+03 8.100000E+02 3.360000E+02 1.270000E+02 5.220000E+02
1.800000E-03 349625 9.053000E+03 8.870000E+02 3.630000E+02 1.350000E+02 5.350000E+02
1.900000E-03 369096 9.644000E+03 9.200000E+02 3.820000E+02 1.390000E+02 5.510000E+02
2.000000E-03 388661 1.019500E+04 1.000000E+03 4.100000E+02 1.430000E+02 5.590000E+02
2.100000E-03 408100 1.079300E+04 1.046000E+03 4.400000E+02 1.490000E+02 5.670000E+02
2.200000E-03 427591 1.137700E+04 1.075000E+03 4.610000E+02 1.510000E+02 5.890000E+02
2.300000E-03 446991 1.200000E+04 1.157000E+03 4.960000E+02 1.510000E+02 6.080000E+02
2.400000E-03 466379 1.255700E+04 1.235000E+03 5.250000E+02 1.590000E+02 6.190000E+02
2.500000E-03 486002 1.315800E+04 1.296000E+03 5.550000E+02 1.590000E+02 6.320000E+02
2.600000E-03 505713 1.373800E+04 1.355000E+03 5.940000E+02 1.700000E+02 6.450000E+02
2.700000E-03 525055 1.431700E+04 1.393000E+03 6.360000E+02 1.710000E+02 6.550000E+02
2.800000E-03 544582 1.484900E+04 1.456000E+03 6.700000E+02 1.710000E+02 6.740000E+02
2.900000E-03 563927 1.542200E+04 1.489000E+03 6.900000E+02 1.780000E+02 6.810000E+02
3.000000E-03 583547 1.600900E+04 1.521000E+03 7.150000E+02 1.820000E+02 6.910000E+02
3.100000E-03 602955 1.653800E+04 1.554000E+03 7.430000E+02 1.870000E+02 6.940000E+02
3.200000E-03 622296 1.711400E+04 1.630000E+03 7.730000E+02 1.970000E+02 6.970000E+02
3.300000E-03 641736 1.771200E+04 1.709000E+03 8.030000E+02 2.040000E+02 7.020000E+02
3.400000E-03 661107 1.829400E+04 1.770000E+03 8.260000E+02 2.040000E+02 7.220000E+02
3.500000E-03 680669 1.893600E+04 1.867000E+03 8.500000E+02 2.210000E+02 7.550000E+02
3.600000E-03 700095 1.950900E+04 1.915000E+03 8.820000E+02 2.280000E+02 7.730000E+02
3.700000E-03 719608 2.010200E+04 1.954000E+03 9.240000E+02 2.310000E+02 7.790000E+02
3.800000E-03 739527 2.066600E+04 2.033000E+03 9.570000E+02 2.400000E+02 7.830000E+02
3.900000E-03 758843 2.118000E+04 2.095000E+03 9.860000E+02 2.480000E+02 7.990000E+02
4.000000E-03 778478 2.177200E+04 2.162000E+03 1.025000E+03 2.480000E+02 8.170000E+02
4.100000E-03 797756 2.232500E+04 2.231000E+03 1.048000E+03 2.550000E+02 8.360000E+02
4.200000E-03 817408 2.290900E+04 2.262000E+03 1.094000E+03 2.710000E+02 8.420000E+02
4.300000E-03 836919 2.352800E+04 2.290000E+03 1.142000E+03 2.730000E+02 8.380000E+02
4.400000E-03 856441 2.408500E+04 2.381000E+03 1.183000E+03 2.740000E+02 8.430000E+02
4.500000E-03 875947 2.471600E+04 2.435000E+03 1.225000E+03 2.790000E+02 8.400000E+02
4.600000E-03 895518 2.531700E+04 2.518000E+03 1.280000E+03 2.870000E+02 8.560000E+02
4.700000E-03 914994 2.591900E+04 2.572000E+03 1.314000E+03 2.870000E+02 8.740000E+02
4.800000E-03 934458 2.646000E+04 2.640000E+03 1.348000E+03 2.950000E+02 8.820000E+02
4.900000E-03 954184 2.704900E+04 2.688000E+03 1.386000E+03 3.040000E+02 8.830000E+02
5.000000E-03 973674 2.764700E+04 2.735000E+03 1.425000E+03 3.200000E+02 8.820000E+02
5.100000E-03 993307 2.822900E+04 2.793000E+03 1.468000E+03 3.200000E+02 8.930000E+02
5.200000E-03 1012853 2.879300E+04 2.830000E+03 1.518000E+03 3.200000E+02 8.920000E+02
5.300000E-03 1032193 2.938100E+04 2.874000E+03 1.555000E+03 3.200000E+02 8.990000E+02
5.400000E-03 1051563 2.998000E+04 2.978000E+03 1.598000E+03 3.220000E+02 9.030000E+02
5.500000E-03 1070806 3.053000E+04 3.049000E+03 1.660000E+03 3.220000E+02 9.000000E+02
5.600000E-03 1089922 3.104000E+04 3.075000E+03 1.711000E+03 3.220000E+02 9.050000E+02
5.700000E-03 1109515 3.158100E+04 3.119000E+03 1.756000E+03 3.220000E+02 9.130000E+02
5.800000E-03 1128883 3.211500E+04 3.206000E+03 1.800000E+03 3.240000E+02 9.120000E+02
5.900000E-03 1148167 3.263500E+04 3.252000E+03 1.832000E+03 3.320000E+02 9.270000E+02
6.000000E-03 1167697 3.320500E+04 3.302000E+03 1.860000E+03 3.340000E+02 9.370000E+02
6.100000E-03 1187341 3.377400E+04 3.332000E+03 1.922000E+03 3.400000E+02 9.350000E+02
6.200000E-03 1206708 3.436700E+04 3.392000E+03 1.968000E+03 3.510000E+02 9.360000E+02
6.300000E-03 1226390 3.493600E+04 3.429000E+03 1.988000E+03 3.580000E+02 9.400000E+02
6.400000E-03 1245978 3.551600E+04 3.498000E+03 2.027000E+03 3.590000E+02 9.460000E+02
6.500000E-03 1265564 3.606800E+04 3.539000E+03 2.061000E+03 3.790000E+02 9.520000E+02
