 time E 'electrons_given_to_SolubleIron' 'electrons_given_to_mtrB' 'electrons_from_Flavin' 'electrons_from_mtrC' '_electrons_stored_in_Flavin'
0.000000E+00 0 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 19091 6.000000E+01 0.000000E+00 0.000000E+00 0.000000E+00 8.100000E+01
2.000000E-04 37981 2.900000E+02 0.000000E+00 6.000000E+00 1.800000E+01 1.590000E+02
3.000000E-04 57054 6.830000E+02 0.000000E+00 2.200000E+01 2.600000E+01 2.270000E+02
4.000000E-04 76377 1.171000E+03 1.900000E+01 4.000000E+01 3.000000E+01 2.790000E+02
5.000000E-04 95550 1.686000E+03 5.400000E+01 5.200000E+01 3.400000E+01 3.120000E+02
6.000000E-04 114987 2.212000E+03 1.370000E+02 6.200000E+01 3.400000E+01 3.370000E+02
7.000000E-04 134580 2.756000E+03 1.900000E+02 6.800000E+01 3.600000E+01 3.700000E+02
8.000000E-04 154134 3.339000E+03 2.470000E+02 8.400000E+01 5.300000E+01 3.880000E+02
9.000000E-04 173230 3.939000E+03 2.820000E+02 9.800000E+01 5.500000E+01 4.080000E+02
1.000000E-03 192594 4.570000E+03 3.230000E+02 1.100000E+02 6.800000E+01 4.230000E+02
1.100000E-03 212264 5.157000E+03 3.790000E+02 1.280000E+02 6.800000E+01 4.420000E+02
1.200000E-03 231850 5.748000E+03 4.390000E+02 1.470000E+02 7.300000E+01 4.580000E+02
1.300000E-03 251186 6.281000E+03 4.870000E+02 1.870000E+02 7.300000E+01 4.680000E+02
1.400000E-03 270294 6.832000E+03 5.670000E+02 2.130000E+02 7.400000E+01 4.790000E+02
1.500000E-03 289839 7.453000E+03 6.310000E+02 2.320000E+02 7.500000E+01 5.010000E+02
1.600000E-03 309457 8.057000E+03 6.950000E+02 2.590000E+02 7.900000E+01 5.170000E+02
1.700000E-03 328865 8.661000E+03 7.400000E+02 2.950000E+02 9.400000E+01 5.250000E+02
1.800000E-03 348380 9.316000E+03 8.100000E+02 3.150000E+02 9.400000E+01 5.500000E+02
1.900000E-03 367854 9.959000E+03 8.750000E+02 3.380000E+02 9.500000E+01 5.700000E+02
2.000000E-03 387264 1.053400E+04 9.200000E+02 3.600000E+02 1.040000E+02 5.890000E+02
2.100000E-03 406730 1.109600E+04 9.910000E+02 3.830000E+02 1.150000E+02 6.020000E+02
2.200000E-03 426188 1.164000E+04 1.026000E+03 4.170000E+02 1.300000E+02 6.130000E+02
2.300000E-03 445698 1.220800E+04 1.075000E+03 4.550000E+02 1.300000E+02 6.170000E+02
2.400000E-03 465149 1.277700E+04 1.170000E+03 4.770000E+02 1.300000E+02 6.310000E+02
2.500000E-03 484640 1.330000E+04 1.218000E+03 5.080000E+02 1.300000E+02 6.430000E+02
2.600000E-03 504161 1.389200E+04 1.294000E+03 5.330000E+02 1.380000E+02 6.670000E+02
2.700000E-03 523680 1.447300E+04 1.357000E+03 5.670000E+02 1.440000E+02 6.750000E+02
2.800000E-03 543246 1.510200E+04 1.408000E+03 5.950000E+02 1.590000E+02 6.860000E+02
2.900000E-03 562810 1.567300E+04 1.454000E+03 6.340000E+02 1.590000E+02 6.960000E+02
3.000000E-03 582255 1.627500E+04 1.521000E+03 6.650000E+02 1.640000E+02 7.170000E+02
3.100000E-03 601993 1.689200E+04 1.585000E+03 7.030000E+02 1.670000E+02 7.230000E+02
3.200000E-03 621553 1.748100E+04 1.629000E+03 7.390000E+02 1.730000E+02 7.320000E+02
3.300000E-03 641074 1.801500E+04 1.691000E+03 7.700000E+02 1.990000E+02 7.400000E+02
3.400000E-03 660572 1.859600E+04 1.736000E+03 7.950000E+02 2.030000E+02 7.500000E+02
3.500000E-03 680013 1.916600E+04 1.786000E+03 8.200000E+02 2.070000E+02 7.540000E+02
3.600000E-03 699209 1.975900E+04 1.849000E+03 8.530000E+02 2.120000E+02 7.610000E+02
3.700000E-03 718949 2.034300E+04 1.905000E+03 8.890000E+02 2.250000E+02 7.720000E+02
3.800000E-03 738573 2.089500E+04 1.972000E+03 9.210000E+02 2.250000E+02 7.730000E+02
3.900000E-03 758160 2.140300E+04 2.033000E+03 9.560000E+02 2.370000E+02 7.800000E+02
4.000000E-03 777517 2.195600E+04 2.069000E+03 9.850000E+02 2.470000E+02 7.900000E+02
4.100000E-03 797188 2.247600E+04 2.124000E+03 1.025000E+03 2.550000E+02 7.980000E+02
4.200000E-03 816697 2.298300E+04 2.196000E+03 1.077000E+03 2.620000E+02 7.970000E+02
4.300000E-03 836089 2.348100E+04 2.234000E+03 1.110000E+03 2.700000E+02 8.100000E+02
4.400000E-03 855694 2.402800E+04 2.306000E+03 1.153000E+03 2.800000E+02 8.100000E+02
4.500000E-03 875071 2.458700E+04 2.375000E+03 1.200000E+03 2.920000E+02 8.210000E+02
4.600000E-03 894345 2.510600E+04 2.448000E+03 1.233000E+03 3.020000E+02 8.360000E+02
4.700000E-03 913760 2.569800E+04 2.480000E+03 1.262000E+03 3.070000E+02 8.430000E+02
4.800000E-03 933088 2.623400E+04 2.537000E+03 1.306000E+03 3.070000E+02 8.450000E+02
4.900000E-03 952592 2.680900E+04 2.621000E+03 1.346000E+03 3.210000E+02 8.500000E+02
5.000000E-03 972051 2.738300E+04 2.721000E+03 1.380000E+03 3.250000E+02 8.630000E+02
5.100000E-03 991555 2.791600E+04 2.778000E+03 1.437000E+03 3.510000E+02 8.600000E+02
5.200000E-03 1011295 2.856500E+04 2.830000E+03 1.476000E+03 3.550000E+02 8.740000E+02
5.300000E-03 1030726 2.916300E+04 2.871000E+03 1.510000E+03 3.570000E+02 8.860000E+02
5.400000E-03 1050350 2.975600E+04 2.920000E+03 1.559000E+03 3.640000E+02 8.850000E+02
5.500000E-03 1069688 3.035700E+04 2.979000E+03 1.601000E+03 3.730000E+02 9.000000E+02
5.600000E-03 1088893 3.095600E+04 3.016000E+03 1.633000E+03 3.770000E+02 9.030000E+02
