 time E '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 0 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 20445 3.980000E+02 0.000000E+00 0.000000E+00 0.000000E+00 7.300000E+01
2.000000E-04 41570 1.860000E+03 0.000000E+00 2.000000E+00 0.000000E+00 1.640000E+02
3.000000E-04 63692 4.001000E+03 3.600000E+01 1.200000E+01 0.000000E+00 2.530000E+02
4.000000E-04 86109 6.501000E+03 2.180000E+02 2.200000E+01 1.100000E+01 3.040000E+02
5.000000E-04 108714 9.163000E+03 3.450000E+02 4.200000E+01 4.000000E+01 3.670000E+02
6.000000E-04 131268 1.201500E+04 4.950000E+02 6.200000E+01 5.700000E+01 4.330000E+02
7.000000E-04 154032 1.481800E+04 6.290000E+02 8.000000E+01 8.300000E+01 4.900000E+02
8.000000E-04 176689 1.760000E+04 7.510000E+02 1.100000E+02 9.100000E+01 5.490000E+02
9.000000E-04 199477 2.046100E+04 9.060000E+02 1.340000E+02 9.500000E+01 5.960000E+02
1.000000E-03 222421 2.347700E+04 1.050000E+03 1.620000E+02 1.090000E+02 6.530000E+02
1.100000E-03 245112 2.639300E+04 1.162000E+03 1.960000E+02 1.270000E+02 6.920000E+02
1.200000E-03 267957 2.924000E+04 1.374000E+03 2.310000E+02 1.480000E+02 7.470000E+02
1.300000E-03 290377 3.206100E+04 1.469000E+03 2.670000E+02 1.560000E+02 7.930000E+02
1.400000E-03 313118 3.491600E+04 1.641000E+03 3.090000E+02 1.720000E+02 8.530000E+02
1.500000E-03 335656 3.780000E+04 1.743000E+03 3.550000E+02 1.730000E+02 9.030000E+02
1.600000E-03 358528 4.058800E+04 1.947000E+03 4.160000E+02 1.910000E+02 9.330000E+02
1.700000E-03 380908 4.337200E+04 2.055000E+03 4.460000E+02 1.950000E+02 9.830000E+02
1.800000E-03 403501 4.609800E+04 2.173000E+03 5.040000E+02 2.340000E+02 1.017000E+03
1.900000E-03 425943 4.879100E+04 2.322000E+03 5.540000E+02 2.380000E+02 1.055000E+03
2.000000E-03 448706 5.159800E+04 2.413000E+03 6.010000E+02 2.590000E+02 1.102000E+03
2.100000E-03 471105 5.429700E+04 2.552000E+03 6.510000E+02 2.770000E+02 1.145000E+03
2.200000E-03 493461 5.708600E+04 2.752000E+03 7.220000E+02 2.900000E+02 1.168000E+03
2.300000E-03 515861 5.987100E+04 2.859000E+03 7.780000E+02 3.080000E+02 1.204000E+03
2.400000E-03 538305 6.270300E+04 2.992000E+03 8.390000E+02 3.220000E+02 1.242000E+03
2.500000E-03 560975 6.547500E+04 3.142000E+03 8.980000E+02 3.310000E+02 1.278000E+03
2.600000E-03 583373 6.810800E+04 3.338000E+03 9.670000E+02 3.430000E+02 1.304000E+03
2.700000E-03 606229 7.094000E+04 3.454000E+03 1.027000E+03 3.670000E+02 1.341000E+03
2.800000E-03 629043 7.374000E+04 3.594000E+03 1.110000E+03 3.960000E+02 1.368000E+03
2.900000E-03 651632 7.651600E+04 3.742000E+03 1.166000E+03 4.180000E+02 1.401000E+03
