 time E '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 0 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 20429 3.150000E+02 0.000000E+00 0.000000E+00 1.000000E+01 8.900000E+01
2.000000E-04 41732 1.669000E+03 1.300000E+01 4.000000E+00 2.000000E+01 1.850000E+02
3.000000E-04 63655 3.680000E+03 7.100000E+01 1.200000E+01 2.000000E+01 2.670000E+02
4.000000E-04 86119 6.264000E+03 2.380000E+02 2.000000E+01 3.500000E+01 3.380000E+02
5.000000E-04 108448 8.958000E+03 3.640000E+02 4.000000E+01 5.200000E+01 4.020000E+02
6.000000E-04 130904 1.166100E+04 5.110000E+02 6.000000E+01 6.200000E+01 4.670000E+02
7.000000E-04 153444 1.441900E+04 6.750000E+02 7.200000E+01 7.200000E+01 5.260000E+02
8.000000E-04 176058 1.717200E+04 8.360000E+02 9.600000E+01 8.800000E+01 5.820000E+02
9.000000E-04 198549 2.002500E+04 9.760000E+02 1.180000E+02 8.800000E+01 6.310000E+02
1.000000E-03 221348 2.288400E+04 1.114000E+03 1.440000E+02 1.320000E+02 6.840000E+02
1.100000E-03 244192 2.569000E+04 1.262000E+03 1.820000E+02 1.610000E+02 7.370000E+02
1.200000E-03 266581 2.844200E+04 1.400000E+03 2.250000E+02 1.630000E+02 7.860000E+02
1.300000E-03 289015 3.108200E+04 1.539000E+03 2.710000E+02 1.840000E+02 8.320000E+02
1.400000E-03 311834 3.388900E+04 1.669000E+03 3.180000E+02 2.060000E+02 8.680000E+02
1.500000E-03 334712 3.664900E+04 1.819000E+03 3.720000E+02 2.170000E+02 9.140000E+02
1.600000E-03 357601 3.948100E+04 1.960000E+03 4.250000E+02 2.370000E+02 9.580000E+02
1.700000E-03 380478 4.235200E+04 2.149000E+03 4.740000E+02 2.580000E+02 9.970000E+02
1.800000E-03 403164 4.516500E+04 2.297000E+03 5.050000E+02 2.690000E+02 1.056000E+03
1.900000E-03 425879 4.791800E+04 2.429000E+03 5.540000E+02 2.790000E+02 1.105000E+03
2.000000E-03 448578 5.080600E+04 2.557000E+03 6.180000E+02 2.930000E+02 1.137000E+03
2.100000E-03 471043 5.357100E+04 2.692000E+03 6.530000E+02 2.960000E+02 1.190000E+03
2.200000E-03 493869 5.644000E+04 2.846000E+03 7.130000E+02 3.260000E+02 1.223000E+03
2.300000E-03 516731 5.933500E+04 3.039000E+03 7.830000E+02 3.360000E+02 1.243000E+03
2.400000E-03 539554 6.226700E+04 3.165000E+03 8.550000E+02 3.450000E+02 1.279000E+03
2.500000E-03 562421 6.511100E+04 3.284000E+03 9.070000E+02 3.580000E+02 1.308000E+03
2.600000E-03 585349 6.794500E+04 3.470000E+03 9.750000E+02 3.580000E+02 1.343000E+03
2.700000E-03 608054 7.084200E+04 3.545000E+03 1.032000E+03 3.720000E+02 1.371000E+03
2.800000E-03 630895 7.371200E+04 3.670000E+03 1.114000E+03 3.850000E+02 1.403000E+03
2.900000E-03 653830 7.660000E+04 3.830000E+03 1.176000E+03 3.970000E+02 1.431000E+03
3.000000E-03 676744 7.946100E+04 3.972000E+03 1.233000E+03 4.150000E+02 1.473000E+03
3.100000E-03 699248 8.228100E+04 4.095000E+03 1.274000E+03 4.280000E+02 1.517000E+03
3.200000E-03 722192 8.523500E+04 4.191000E+03 1.358000E+03 4.550000E+02 1.535000E+03
3.300000E-03 745039 8.812100E+04 4.329000E+03 1.435000E+03 4.600000E+02 1.553000E+03
3.400000E-03 767615 9.083600E+04 4.449000E+03 1.498000E+03 4.700000E+02 1.583000E+03
3.500000E-03 790304 9.360400E+04 4.613000E+03 1.585000E+03 4.960000E+02 1.603000E+03
3.600000E-03 812930 9.635200E+04 4.739000E+03 1.672000E+03 5.030000E+02 1.632000E+03
3.700000E-03 835877 9.916000E+04 4.956000E+03 1.756000E+03 5.220000E+02 1.654000E+03
3.800000E-03 858711 1.020320E+05 5.117000E+03 1.845000E+03 5.330000E+02 1.683000E+03
3.900000E-03 881513 1.048850E+05 5.214000E+03 1.928000E+03 5.430000E+02 1.720000E+03
4.000000E-03 904007 1.076960E+05 5.329000E+03 2.005000E+03 5.470000E+02 1.753000E+03
4.100000E-03 926896 1.105000E+05 5.491000E+03 2.087000E+03 5.540000E+02 1.780000E+03
4.200000E-03 949349 1.132890E+05 5.650000E+03 2.179000E+03 5.630000E+02 1.801000E+03
4.300000E-03 972163 1.161460E+05 5.821000E+03 2.277000E+03 5.800000E+02 1.825000E+03
4.400000E-03 994995 1.189090E+05 5.947000E+03 2.376000E+03 6.070000E+02 1.834000E+03
4.500000E-03 1017932 1.216430E+05 6.130000E+03 2.449000E+03 6.130000E+02 1.860000E+03
4.600000E-03 1040311 1.244490E+05 6.214000E+03 2.533000E+03 6.210000E+02 1.892000E+03
4.700000E-03 1063060 1.272940E+05 6.356000E+03 2.637000E+03 6.280000E+02 1.907000E+03
4.800000E-03 1085673 1.299360E+05 6.485000E+03 2.720000E+03 6.340000E+02 1.930000E+03
4.900000E-03 1108281 1.325900E+05 6.684000E+03 2.832000E+03 6.540000E+02 1.936000E+03
5.000000E-03 1130850 1.353530E+05 6.796000E+03 2.921000E+03 6.670000E+02 1.952000E+03
5.100000E-03 1153447 1.381930E+05 6.953000E+03 3.011000E+03 7.080000E+02 1.968000E+03
5.200000E-03 1176009 1.410000E+05 7.075000E+03 3.136000E+03 7.330000E+02 1.984000E+03
5.300000E-03 1198797 1.438360E+05 7.245000E+03 3.239000E+03 7.350000E+02 1.988000E+03
5.400000E-03 1221300 1.466770E+05 7.399000E+03 3.336000E+03 7.450000E+02 2.016000E+03
5.500000E-03 1244068 1.495690E+05 7.543000E+03 3.471000E+03 7.600000E+02 2.016000E+03
5.600000E-03 1266795 1.524070E+05 7.718000E+03 3.561000E+03 7.770000E+02 2.041000E+03
5.700000E-03 1289747 1.552290E+05 7.857000E+03 3.665000E+03 7.770000E+02 2.058000E+03
5.800000E-03 1312471 1.580610E+05 7.996000E+03 3.754000E+03 7.900000E+02 2.081000E+03
5.900000E-03 1335229 1.608930E+05 8.115000E+03 3.864000E+03 8.060000E+02 2.097000E+03
6.000000E-03 1358110 1.638060E+05 8.308000E+03 3.958000E+03 8.370000E+02 2.116000E+03
6.100000E-03 1380920 1.666540E+05 8.447000E+03 4.074000E+03 8.520000E+02 2.138000E+03
6.200000E-03 1403778 1.695070E+05 8.567000E+03 4.187000E+03 8.730000E+02 2.131000E+03
6.300000E-03 1426544 1.722390E+05 8.749000E+03 4.288000E+03 8.820000E+02 2.157000E+03
6.400000E-03 1449438 1.750390E+05 8.905000E+03 4.394000E+03 9.080000E+02 2.163000E+03
6.500000E-03 1471707 1.778080E+05 9.095000E+03 4.495000E+03 9.300000E+02 2.187000E+03
6.600000E-03 1494552 1.806960E+05 9.193000E+03 4.596000E+03 9.440000E+02 2.199000E+03
6.700000E-03 1517278 1.835560E+05 9.298000E+03 4.708000E+03 9.440000E+02 2.214000E+03
6.800000E-03 1539866 1.864230E+05 9.477000E+03 4.802000E+03 9.510000E+02 2.229000E+03
6.900000E-03 1562627 1.891840E+05 9.647000E+03 4.884000E+03 9.690000E+02 2.250000E+03
7.000000E-03 1585440 1.920180E+05 9.712000E+03 4.975000E+03 9.760000E+02 2.261000E+03
7.100000E-03 1608130 1.948250E+05 9.902000E+03 5.067000E+03 1.003000E+03 2.271000E+03
7.200000E-03 1630989 1.975420E+05 1.005200E+04 5.204000E+03 1.014000E+03 2.266000E+03
7.300000E-03 1653629 2.003600E+05 1.016600E+04 5.327000E+03 1.046000E+03 2.279000E+03
7.400000E-03 1676195 2.031760E+05 1.026700E+04 5.419000E+03 1.055000E+03 2.291000E+03
7.500000E-03 1698880 2.059460E+05 1.044300E+04 5.528000E+03 1.070000E+03 2.302000E+03
7.600000E-03 1721305 2.087320E+05 1.057000E+04 5.654000E+03 1.081000E+03 2.291000E+03
7.700000E-03 1744180 2.117150E+05 1.072900E+04 5.762000E+03 1.092000E+03 2.287000E+03
7.800000E-03 1767094 2.145680E+05 1.090700E+04 5.891000E+03 1.128000E+03 2.291000E+03
7.900000E-03 1789806 2.173800E+05 1.104100E+04 5.972000E+03 1.149000E+03 2.327000E+03
8.000000E-03 1812525 2.201480E+05 1.120800E+04 6.105000E+03 1.161000E+03 2.325000E+03
8.100000E-03 1835134 2.229710E+05 1.131600E+04 6.219000E+03 1.191000E+03 2.336000E+03
8.200000E-03 1857669 2.257420E+05 1.146800E+04 6.321000E+03 1.211000E+03 2.354000E+03
8.300000E-03 1880094 2.285710E+05 1.163800E+04 6.452000E+03 1.218000E+03 2.359000E+03
8.400000E-03 1902812 2.313550E+05 1.180700E+04 6.553000E+03 1.243000E+03 2.373000E+03
8.500000E-03 1925449 2.341450E+05 1.192200E+04 6.680000E+03 1.248000E+03 2.381000E+03
8.600000E-03 1947999 2.369040E+05 1.206300E+04 6.805000E+03 1.262000E+03 2.380000E+03
8.700000E-03 1970772 2.398080E+05 1.221700E+04 6.925000E+03 1.287000E+03 2.372000E+03
8.800000E-03 1993589 2.427170E+05 1.230900E+04 7.045000E+03 1.300000E+03 2.380000E+03
8.900000E-03 2016349 2.455680E+05 1.245000E+04 7.152000E+03 1.321000E+03 2.382000E+03
9.000000E-03 2039262 2.484840E+05 1.262900E+04 7.285000E+03 1.333000E+03 2.395000E+03
9.100000E-03 2061640 2.512180E+05 1.275100E+04 7.387000E+03 1.344000E+03 2.418000E+03
9.200000E-03 2084212 2.539830E+05 1.293000E+04 7.502000E+03 1.356000E+03 2.425000E+03
9.300000E-03 2106756 2.567590E+05 1.306700E+04 7.620000E+03 1.381000E+03 2.431000E+03
9.400000E-03 2129611 2.596380E+05 1.321200E+04 7.740000E+03 1.383000E+03 2.417000E+03
9.500000E-03 2152543 2.625440E+05 1.332400E+04 7.862000E+03 1.417000E+03 2.413000E+03
9.600000E-03 2174976 2.654210E+05 1.348000E+04 7.974000E+03 1.443000E+03 2.414000E+03
9.700000E-03 2197734 2.682040E+05 1.363800E+04 8.063000E+03 1.464000E+03 2.435000E+03
9.800000E-03 2220613 2.710350E+05 1.376000E+04 8.188000E+03 1.469000E+03 2.442000E+03
9.900000E-03 2243673 2.740080E+05 1.390700E+04 8.314000E+03 1.471000E+03 2.455000E+03
1.000000E-02 2266364 2.768350E+05 1.406300E+04 8.423000E+03 1.481000E+03 2.480000E+03
