 time E 'electrons_given_to_SolubleIron' 'electrons_given_to_mtrB' 'electrons_from_Flavin' 'electrons_from_mtrC' '_electrons_stored_in_Flavin'
0.000000E+00 0 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 18752 4.100000E+01 0.000000E+00 2.000000E+00 6.000000E+00 7.000000E+01
2.000000E-04 37501 2.310000E+02 0.000000E+00 4.000000E+00 6.000000E+00 1.530000E+02
3.000000E-04 56686 6.020000E+02 1.700000E+01 1.200000E+01 2.400000E+01 2.410000E+02
4.000000E-04 75808 1.072000E+03 4.900000E+01 2.600000E+01 3.000000E+01 2.940000E+02
5.000000E-04 95026 1.639000E+03 6.900000E+01 4.800000E+01 3.000000E+01 3.180000E+02
6.000000E-04 114788 2.218000E+03 1.400000E+02 6.600000E+01 3.400000E+01 3.480000E+02
7.000000E-04 134256 2.785000E+03 1.900000E+02 8.600000E+01 4.700000E+01 3.630000E+02
8.000000E-04 153710 3.309000E+03 2.280000E+02 1.000000E+02 4.700000E+01 3.860000E+02
9.000000E-04 173026 3.837000E+03 2.660000E+02 1.180000E+02 5.700000E+01 3.940000E+02
1.000000E-03 192312 4.346000E+03 3.490000E+02 1.440000E+02 7.100000E+01 4.070000E+02
1.100000E-03 211868 4.898000E+03 4.000000E+02 1.670000E+02 7.100000E+01 4.140000E+02
1.200000E-03 231270 5.566000E+03 4.340000E+02 1.890000E+02 7.900000E+01 4.290000E+02
1.300000E-03 250731 6.146000E+03 4.890000E+02 2.110000E+02 7.900000E+01 4.380000E+02
1.400000E-03 270340 6.690000E+03 5.380000E+02 2.330000E+02 7.900000E+01 4.610000E+02
1.500000E-03 289739 7.259000E+03 6.040000E+02 2.480000E+02 8.900000E+01 4.830000E+02
1.600000E-03 309000 7.800000E+03 7.100000E+02 2.650000E+02 9.200000E+01 5.060000E+02
1.700000E-03 328296 8.426000E+03 7.420000E+02 2.910000E+02 9.600000E+01 5.200000E+02
1.800000E-03 347773 9.036000E+03 7.770000E+02 3.220000E+02 1.030000E+02 5.310000E+02
1.900000E-03 367290 9.663000E+03 8.810000E+02 3.530000E+02 1.210000E+02 5.440000E+02
2.000000E-03 386842 1.023600E+04 9.390000E+02 3.800000E+02 1.210000E+02 5.650000E+02
2.100000E-03 406448 1.080100E+04 1.006000E+03 4.140000E+02 1.210000E+02 5.800000E+02
2.200000E-03 425756 1.137700E+04 1.061000E+03 4.400000E+02 1.210000E+02 6.000000E+02
2.300000E-03 445412 1.192100E+04 1.109000E+03 4.590000E+02 1.300000E+02 6.250000E+02
2.400000E-03 464789 1.248200E+04 1.148000E+03 4.890000E+02 1.310000E+02 6.400000E+02
2.500000E-03 483830 1.306500E+04 1.191000E+03 5.250000E+02 1.520000E+02 6.400000E+02
2.600000E-03 503334 1.361700E+04 1.223000E+03 5.500000E+02 1.550000E+02 6.450000E+02
2.700000E-03 522839 1.415800E+04 1.327000E+03 5.810000E+02 1.570000E+02 6.520000E+02
2.800000E-03 542030 1.468600E+04 1.401000E+03 6.130000E+02 1.650000E+02 6.680000E+02
2.900000E-03 561477 1.521400E+04 1.444000E+03 6.360000E+02 1.650000E+02 6.870000E+02
3.000000E-03 581176 1.578900E+04 1.532000E+03 6.560000E+02 1.670000E+02 7.030000E+02
3.100000E-03 600726 1.636200E+04 1.559000E+03 6.790000E+02 1.670000E+02 7.220000E+02
3.200000E-03 620132 1.699700E+04 1.584000E+03 7.310000E+02 1.700000E+02 7.170000E+02
3.300000E-03 639635 1.761900E+04 1.647000E+03 7.570000E+02 1.700000E+02 7.280000E+02
3.400000E-03 659019 1.817700E+04 1.725000E+03 7.880000E+02 1.810000E+02 7.400000E+02
3.500000E-03 678514 1.876600E+04 1.746000E+03 8.150000E+02 1.810000E+02 7.550000E+02
3.600000E-03 698110 1.928900E+04 1.808000E+03 8.400000E+02 1.890000E+02 7.720000E+02
3.700000E-03 717396 1.985100E+04 1.872000E+03 8.890000E+02 1.890000E+02 7.640000E+02
3.800000E-03 736808 2.045000E+04 1.941000E+03 9.170000E+02 1.970000E+02 7.820000E+02
3.900000E-03 756405 2.101900E+04 1.971000E+03 9.680000E+02 1.970000E+02 7.870000E+02
4.000000E-03 775720 2.158200E+04 2.040000E+03 9.980000E+02 1.970000E+02 8.010000E+02
4.100000E-03 795449 2.218600E+04 2.079000E+03 1.031000E+03 2.000000E+02 8.200000E+02
4.200000E-03 815187 2.272700E+04 2.144000E+03 1.062000E+03 2.090000E+02 8.240000E+02
4.300000E-03 834498 2.332200E+04 2.217000E+03 1.090000E+03 2.320000E+02 8.310000E+02
4.400000E-03 853927 2.394500E+04 2.263000E+03 1.125000E+03 2.320000E+02 8.340000E+02
4.500000E-03 873465 2.453300E+04 2.332000E+03 1.159000E+03 2.440000E+02 8.380000E+02
4.600000E-03 892835 2.506700E+04 2.376000E+03 1.212000E+03 2.450000E+02 8.370000E+02
4.700000E-03 912324 2.557900E+04 2.432000E+03 1.252000E+03 2.570000E+02 8.470000E+02
4.800000E-03 931906 2.619900E+04 2.492000E+03 1.287000E+03 2.610000E+02 8.590000E+02
4.900000E-03 951465 2.677700E+04 2.553000E+03 1.317000E+03 2.620000E+02 8.700000E+02
5.000000E-03 970928 2.735800E+04 2.596000E+03 1.355000E+03 2.620000E+02 8.810000E+02
5.100000E-03 990504 2.791800E+04 2.655000E+03 1.405000E+03 2.620000E+02 8.850000E+02
5.200000E-03 1010024 2.848500E+04 2.722000E+03 1.436000E+03 2.620000E+02 8.950000E+02
5.300000E-03 1029468 2.911400E+04 2.788000E+03 1.468000E+03 2.620000E+02 9.070000E+02
5.400000E-03 1048940 2.969900E+04 2.849000E+03 1.508000E+03 2.620000E+02 9.150000E+02
5.500000E-03 1068720 3.026300E+04 2.890000E+03 1.553000E+03 2.620000E+02 9.280000E+02
5.600000E-03 1087971 3.082000E+04 2.940000E+03 1.613000E+03 2.680000E+02 9.320000E+02
5.700000E-03 1107222 3.139000E+04 2.997000E+03 1.659000E+03 2.680000E+02 9.360000E+02
5.800000E-03 1126646 3.194100E+04 3.046000E+03 1.711000E+03 2.750000E+02 9.390000E+02
5.900000E-03 1145779 3.244500E+04 3.106000E+03 1.763000E+03 2.770000E+02 9.280000E+02
6.000000E-03 1165313 3.301400E+04 3.167000E+03 1.798000E+03 2.800000E+02 9.290000E+02
6.100000E-03 1184775 3.354200E+04 3.225000E+03 1.838000E+03 2.960000E+02 9.370000E+02
