 time E '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 0 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 20653 3.610000E+02 0.000000E+00 4.000000E+00 0.000000E+00 7.500000E+01
2.000000E-04 41465 1.693000E+03 9.000000E+00 1.600000E+01 8.000000E+00 1.720000E+02
3.000000E-04 63169 3.713000E+03 5.100000E+01 3.000000E+01 1.400000E+01 2.590000E+02
4.000000E-04 85632 6.322000E+03 1.750000E+02 4.600000E+01 2.400000E+01 3.010000E+02
5.000000E-04 108409 9.001000E+03 3.330000E+02 8.200000E+01 2.600000E+01 3.560000E+02
6.000000E-04 130954 1.176100E+04 4.500000E+02 1.120000E+02 3.400000E+01 4.080000E+02
7.000000E-04 153687 1.459300E+04 6.010000E+02 1.400000E+02 3.500000E+01 4.650000E+02
8.000000E-04 176574 1.749200E+04 7.680000E+02 1.710000E+02 5.300000E+01 5.130000E+02
9.000000E-04 199038 2.027600E+04 8.550000E+02 2.080000E+02 6.900000E+01 5.710000E+02
1.000000E-03 221730 2.319200E+04 9.870000E+02 2.490000E+02 6.900000E+01 6.230000E+02
1.100000E-03 244256 2.602600E+04 1.121000E+03 2.940000E+02 8.400000E+01 6.650000E+02
1.200000E-03 267025 2.897400E+04 1.325000E+03 3.350000E+02 8.900000E+01 7.120000E+02
1.300000E-03 289659 3.182600E+04 1.438000E+03 3.720000E+02 1.000000E+02 7.670000E+02
1.400000E-03 312498 3.462200E+04 1.590000E+03 4.090000E+02 1.020000E+02 8.300000E+02
1.500000E-03 335048 3.742300E+04 1.706000E+03 4.640000E+02 1.070000E+02 8.730000E+02
1.600000E-03 358024 4.024600E+04 1.866000E+03 5.140000E+02 1.200000E+02 9.080000E+02
1.700000E-03 380395 4.300300E+04 1.960000E+03 5.440000E+02 1.230000E+02 9.580000E+02
1.800000E-03 403364 4.584000E+04 2.132000E+03 6.010000E+02 1.430000E+02 9.920000E+02
1.900000E-03 426156 4.873900E+04 2.252000E+03 6.450000E+02 1.610000E+02 1.037000E+03
2.000000E-03 448811 5.149800E+04 2.405000E+03 6.830000E+02 1.820000E+02 1.084000E+03
2.100000E-03 471824 5.432000E+04 2.539000E+03 7.430000E+02 1.980000E+02 1.116000E+03
2.200000E-03 494515 5.706800E+04 2.694000E+03 7.890000E+02 2.090000E+02 1.159000E+03
2.300000E-03 517191 5.987400E+04 2.832000E+03 8.530000E+02 2.280000E+02 1.188000E+03
2.400000E-03 539930 6.266800E+04 2.971000E+03 9.240000E+02 2.360000E+02 1.223000E+03
2.500000E-03 562516 6.542000E+04 3.097000E+03 9.930000E+02 2.440000E+02 1.260000E+03
2.600000E-03 585451 6.829600E+04 3.256000E+03 1.069000E+03 2.530000E+02 1.292000E+03
2.700000E-03 608004 7.113200E+04 3.382000E+03 1.135000E+03 2.720000E+02 1.310000E+03
2.800000E-03 630891 7.408000E+04 3.501000E+03 1.194000E+03 2.740000E+02 1.340000E+03
2.900000E-03 653752 7.695200E+04 3.587000E+03 1.270000E+03 2.760000E+02 1.372000E+03
3.000000E-03 676645 7.985700E+04 3.735000E+03 1.329000E+03 2.880000E+02 1.393000E+03
3.100000E-03 699413 8.273100E+04 3.903000E+03 1.407000E+03 3.090000E+02 1.402000E+03
3.200000E-03 722044 8.563100E+04 4.016000E+03 1.472000E+03 3.330000E+02 1.432000E+03
3.300000E-03 744827 8.845100E+04 4.140000E+03 1.528000E+03 3.350000E+02 1.479000E+03
3.400000E-03 767620 9.125200E+04 4.277000E+03 1.626000E+03 3.570000E+02 1.498000E+03
3.500000E-03 790423 9.411700E+04 4.415000E+03 1.690000E+03 3.590000E+02 1.535000E+03
3.600000E-03 813125 9.698500E+04 4.614000E+03 1.747000E+03 3.770000E+02 1.578000E+03
3.700000E-03 835970 9.987500E+04 4.789000E+03 1.812000E+03 4.100000E+02 1.606000E+03
3.800000E-03 858544 1.027530E+05 4.897000E+03 1.877000E+03 4.360000E+02 1.634000E+03
3.900000E-03 881111 1.055820E+05 4.973000E+03 1.934000E+03 4.430000E+02 1.667000E+03
4.000000E-03 903892 1.084280E+05 5.151000E+03 2.017000E+03 4.530000E+02 1.676000E+03
4.100000E-03 926578 1.112290E+05 5.257000E+03 2.091000E+03 4.600000E+02 1.697000E+03
4.200000E-03 949139 1.140670E+05 5.408000E+03 2.179000E+03 4.650000E+02 1.726000E+03
4.300000E-03 971776 1.168750E+05 5.550000E+03 2.264000E+03 4.780000E+02 1.765000E+03
4.400000E-03 994419 1.196530E+05 5.708000E+03 2.331000E+03 4.950000E+02 1.799000E+03
4.500000E-03 1017121 1.224050E+05 5.872000E+03 2.412000E+03 5.180000E+02 1.824000E+03
4.600000E-03 1040073 1.252210E+05 5.981000E+03 2.517000E+03 5.230000E+02 1.838000E+03
4.700000E-03 1062994 1.281460E+05 6.140000E+03 2.590000E+03 5.350000E+02 1.858000E+03
4.800000E-03 1085878 1.310650E+05 6.334000E+03 2.692000E+03 5.560000E+02 1.871000E+03
4.900000E-03 1108556 1.339200E+05 6.453000E+03 2.763000E+03 5.590000E+02 1.914000E+03
5.000000E-03 1131204 1.367240E+05 6.576000E+03 2.837000E+03 5.690000E+02 1.958000E+03
5.100000E-03 1154125 1.394560E+05 6.749000E+03 2.949000E+03 5.700000E+02 1.972000E+03
5.200000E-03 1176983 1.421770E+05 6.898000E+03 3.057000E+03 5.820000E+02 1.988000E+03
5.300000E-03 1200031 1.450700E+05 7.081000E+03 3.162000E+03 5.970000E+02 2.009000E+03
5.400000E-03 1222813 1.478770E+05 7.213000E+03 3.233000E+03 6.070000E+02 2.035000E+03
5.500000E-03 1245207 1.505810E+05 7.354000E+03 3.324000E+03 6.110000E+02 2.066000E+03
5.600000E-03 1268221 1.534170E+05 7.471000E+03 3.430000E+03 6.150000E+02 2.085000E+03
5.700000E-03 1290770 1.562090E+05 7.591000E+03 3.523000E+03 6.180000E+02 2.104000E+03
5.800000E-03 1313416 1.590280E+05 7.726000E+03 3.653000E+03 6.380000E+02 2.091000E+03
5.900000E-03 1336033 1.617800E+05 7.872000E+03 3.764000E+03 6.490000E+02 2.103000E+03
6.000000E-03 1358727 1.646070E+05 8.005000E+03 3.866000E+03 6.550000E+02 2.112000E+03
6.100000E-03 1381704 1.675190E+05 8.175000E+03 3.976000E+03 6.660000E+02 2.130000E+03
6.200000E-03 1404442 1.703310E+05 8.288000E+03 4.061000E+03 6.840000E+02 2.156000E+03
6.300000E-03 1426912 1.731380E+05 8.460000E+03 4.135000E+03 7.010000E+02 2.180000E+03
6.400000E-03 1449587 1.760080E+05 8.611000E+03 4.248000E+03 7.040000E+02 2.198000E+03
6.500000E-03 1472171 1.788910E+05 8.735000E+03 4.364000E+03 7.140000E+02 2.209000E+03
6.600000E-03 1494564 1.816240E+05 8.889000E+03 4.437000E+03 7.150000E+02 2.237000E+03
6.700000E-03 1517061 1.844380E+05 9.011000E+03 4.546000E+03 7.290000E+02 2.248000E+03
6.800000E-03 1539586 1.872970E+05 9.186000E+03 4.638000E+03 7.630000E+02 2.269000E+03
6.900000E-03 1561784 1.900470E+05 9.317000E+03 4.730000E+03 7.850000E+02 2.283000E+03
7.000000E-03 1584384 1.929210E+05 9.471000E+03 4.839000E+03 7.980000E+02 2.292000E+03
7.100000E-03 1606869 1.957140E+05 9.586000E+03 4.970000E+03 8.120000E+02 2.291000E+03
7.200000E-03 1629702 1.985280E+05 9.688000E+03 5.084000E+03 8.120000E+02 2.301000E+03
7.300000E-03 1652422 2.013240E+05 9.816000E+03 5.189000E+03 8.180000E+02 2.309000E+03
7.400000E-03 1675128 2.042980E+05 9.997000E+03 5.292000E+03 8.330000E+02 2.325000E+03
7.500000E-03 1697514 2.070700E+05 1.013400E+04 5.411000E+03 8.430000E+02 2.334000E+03
7.600000E-03 1720272 2.099490E+05 1.027600E+04 5.532000E+03 8.650000E+02 2.336000E+03
7.700000E-03 1743123 2.128500E+05 1.038300E+04 5.657000E+03 8.810000E+02 2.327000E+03
7.800000E-03 1765757 2.156350E+05 1.051300E+04 5.764000E+03 8.980000E+02 2.338000E+03
7.900000E-03 1788682 2.184170E+05 1.070900E+04 5.873000E+03 9.150000E+02 2.354000E+03
8.000000E-03 1811405 2.212570E+05 1.083600E+04 5.980000E+03 9.250000E+02 2.372000E+03
8.100000E-03 1834364 2.240630E+05 1.098700E+04 6.096000E+03 9.390000E+02 2.382000E+03
8.200000E-03 1856979 2.268610E+05 1.117800E+04 6.184000E+03 9.410000E+02 2.399000E+03
8.300000E-03 1879487 2.296620E+05 1.132200E+04 6.294000E+03 9.530000E+02 2.424000E+03
8.400000E-03 1902098 2.324170E+05 1.141400E+04 6.388000E+03 9.530000E+02 2.444000E+03
8.500000E-03 1924442 2.352260E+05 1.158000E+04 6.490000E+03 9.660000E+02 2.445000E+03
8.600000E-03 1947364 2.381170E+05 1.174800E+04 6.617000E+03 9.860000E+02 2.450000E+03
8.700000E-03 1969900 2.408930E+05 1.187500E+04 6.751000E+03 9.970000E+02 2.457000E+03
8.800000E-03 1993079 2.438570E+05 1.195300E+04 6.859000E+03 1.005000E+03 2.454000E+03
8.900000E-03 2015693 2.467040E+05 1.207600E+04 6.980000E+03 1.036000E+03 2.445000E+03
9.000000E-03 2038249 2.495130E+05 1.222500E+04 7.085000E+03 1.043000E+03 2.465000E+03
9.100000E-03 2060905 2.522990E+05 1.237600E+04 7.222000E+03 1.058000E+03 2.439000E+03
9.200000E-03 2083532 2.550610E+05 1.253100E+04 7.326000E+03 1.074000E+03 2.442000E+03
9.300000E-03 2106331 2.579470E+05 1.266200E+04 7.453000E+03 1.088000E+03 2.462000E+03
9.400000E-03 2128630 2.606710E+05 1.282300E+04 7.571000E+03 1.100000E+03 2.468000E+03
9.500000E-03 2151218 2.635420E+05 1.291900E+04 7.691000E+03 1.114000E+03 2.470000E+03
9.600000E-03 2173929 2.664020E+05 1.305000E+04 7.851000E+03 1.119000E+03 2.461000E+03
