 time E '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 0 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 20557 3.530000E+02 0.000000E+00 2.000000E+00 0.000000E+00 7.600000E+01
2.000000E-04 41964 1.798000E+03 9.000000E+00 6.000000E+00 1.000000E+01 1.660000E+02
3.000000E-04 63756 3.824000E+03 7.300000E+01 2.200000E+01 2.600000E+01 2.400000E+02
4.000000E-04 85872 6.297000E+03 2.040000E+02 3.800000E+01 3.400000E+01 3.100000E+02
5.000000E-04 108474 9.012000E+03 3.410000E+02 5.600000E+01 4.200000E+01 3.720000E+02
6.000000E-04 131004 1.170000E+04 4.890000E+02 1.020000E+02 6.100000E+01 4.180000E+02
7.000000E-04 153658 1.453900E+04 5.950000E+02 1.220000E+02 6.400000E+01 4.750000E+02
8.000000E-04 176358 1.734300E+04 7.110000E+02 1.570000E+02 7.600000E+01 5.180000E+02
9.000000E-04 198990 2.008600E+04 8.880000E+02 1.820000E+02 8.800000E+01 5.660000E+02
1.000000E-03 221493 2.287900E+04 1.012000E+03 2.020000E+02 9.600000E+01 6.350000E+02
1.100000E-03 243967 2.556900E+04 1.116000E+03 2.530000E+02 1.010000E+02 6.720000E+02
1.200000E-03 266568 2.833400E+04 1.307000E+03 2.820000E+02 1.060000E+02 7.280000E+02
1.300000E-03 289004 3.101200E+04 1.419000E+03 3.280000E+02 1.180000E+02 7.710000E+02
1.400000E-03 311651 3.370100E+04 1.602000E+03 3.610000E+02 1.220000E+02 8.410000E+02
1.500000E-03 334145 3.635400E+04 1.770000E+03 3.970000E+02 1.350000E+02 8.930000E+02
1.600000E-03 356747 3.910700E+04 1.900000E+03 4.410000E+02 1.400000E+02 9.410000E+02
1.700000E-03 379683 4.186500E+04 2.024000E+03 4.930000E+02 1.610000E+02 9.930000E+02
1.800000E-03 402620 4.476900E+04 2.175000E+03 5.390000E+02 1.700000E+02 1.033000E+03
1.900000E-03 425654 4.770200E+04 2.286000E+03 6.020000E+02 1.790000E+02 1.059000E+03
2.000000E-03 448415 5.050900E+04 2.456000E+03 6.550000E+02 1.830000E+02 1.102000E+03
2.100000E-03 471218 5.335400E+04 2.599000E+03 7.180000E+02 1.850000E+02 1.135000E+03
2.200000E-03 493923 5.627300E+04 2.737000E+03 7.700000E+02 1.930000E+02 1.174000E+03
2.300000E-03 516378 5.899200E+04 2.818000E+03 8.140000E+02 2.110000E+02 1.221000E+03
2.400000E-03 538959 6.173600E+04 2.962000E+03 8.840000E+02 2.140000E+02 1.248000E+03
2.500000E-03 561367 6.446000E+04 3.099000E+03 9.370000E+02 2.300000E+02 1.292000E+03
2.600000E-03 584338 6.723900E+04 3.270000E+03 1.004000E+03 2.340000E+02 1.308000E+03
2.700000E-03 606834 7.001300E+04 3.411000E+03 1.060000E+03 2.500000E+02 1.360000E+03
2.800000E-03 629410 7.267900E+04 3.549000E+03 1.119000E+03 2.610000E+02 1.384000E+03
2.900000E-03 652017 7.541000E+04 3.710000E+03 1.190000E+03 2.890000E+02 1.416000E+03
3.000000E-03 674916 7.824700E+04 3.825000E+03 1.249000E+03 3.100000E+02 1.447000E+03
3.100000E-03 697450 8.103900E+04 3.950000E+03 1.298000E+03 3.270000E+02 1.483000E+03
3.200000E-03 719822 8.386500E+04 4.061000E+03 1.382000E+03 3.300000E+02 1.516000E+03
3.300000E-03 742738 8.685000E+04 4.210000E+03 1.463000E+03 3.390000E+02 1.533000E+03
3.400000E-03 765272 8.962600E+04 4.348000E+03 1.543000E+03 3.560000E+02 1.545000E+03
3.500000E-03 787939 9.240800E+04 4.524000E+03 1.612000E+03 3.690000E+02 1.571000E+03
3.600000E-03 810660 9.520300E+04 4.679000E+03 1.677000E+03 3.970000E+02 1.613000E+03
3.700000E-03 833065 9.793900E+04 4.817000E+03 1.762000E+03 4.120000E+02 1.640000E+03
3.800000E-03 855931 1.007520E+05 4.936000E+03 1.850000E+03 4.380000E+02 1.673000E+03
3.900000E-03 878761 1.036800E+05 5.057000E+03 1.912000E+03 4.420000E+02 1.700000E+03
4.000000E-03 901527 1.065260E+05 5.180000E+03 1.997000E+03 4.440000E+02 1.719000E+03
4.100000E-03 924028 1.092310E+05 5.314000E+03 2.091000E+03 4.500000E+02 1.734000E+03
4.200000E-03 946600 1.119530E+05 5.456000E+03 2.190000E+03 4.630000E+02 1.758000E+03
4.300000E-03 969195 1.148130E+05 5.635000E+03 2.270000E+03 4.920000E+02 1.790000E+03
4.400000E-03 991988 1.176460E+05 5.787000E+03 2.347000E+03 5.050000E+02 1.814000E+03
4.500000E-03 1014732 1.204660E+05 5.915000E+03 2.438000E+03 5.160000E+02 1.832000E+03
4.600000E-03 1037254 1.234120E+05 6.051000E+03 2.528000E+03 5.390000E+02 1.859000E+03
4.700000E-03 1059704 1.261670E+05 6.214000E+03 2.621000E+03 5.520000E+02 1.874000E+03
4.800000E-03 1082157 1.289510E+05 6.375000E+03 2.714000E+03 5.570000E+02 1.892000E+03
4.900000E-03 1104674 1.316150E+05 6.512000E+03 2.814000E+03 5.820000E+02 1.910000E+03
5.000000E-03 1127572 1.343940E+05 6.611000E+03 2.917000E+03 5.940000E+02 1.939000E+03
5.100000E-03 1150488 1.372580E+05 6.814000E+03 3.019000E+03 5.940000E+02 1.959000E+03
5.200000E-03 1173182 1.400920E+05 6.976000E+03 3.114000E+03 6.090000E+02 1.970000E+03
5.300000E-03 1195514 1.429200E+05 7.098000E+03 3.241000E+03 6.240000E+02 1.980000E+03
5.400000E-03 1218123 1.457800E+05 7.268000E+03 3.329000E+03 6.350000E+02 2.001000E+03
5.500000E-03 1240717 1.485660E+05 7.413000E+03 3.450000E+03 6.720000E+02 2.005000E+03
5.600000E-03 1263517 1.513690E+05 7.544000E+03 3.534000E+03 6.810000E+02 2.034000E+03
5.700000E-03 1286061 1.541950E+05 7.710000E+03 3.619000E+03 6.970000E+02 2.061000E+03
5.800000E-03 1309121 1.570340E+05 7.869000E+03 3.730000E+03 7.100000E+02 2.067000E+03
5.900000E-03 1331980 1.598380E+05 7.997000E+03 3.823000E+03 7.290000E+02 2.089000E+03
6.000000E-03 1354625 1.626440E+05 8.170000E+03 3.933000E+03 7.290000E+02 2.101000E+03
6.100000E-03 1377274 1.655090E+05 8.279000E+03 4.026000E+03 7.480000E+02 2.124000E+03
6.200000E-03 1400273 1.683420E+05 8.405000E+03 4.134000E+03 7.550000E+02 2.140000E+03
6.300000E-03 1423221 1.710900E+05 8.552000E+03 4.238000E+03 7.920000E+02 2.146000E+03
6.400000E-03 1445959 1.739310E+05 8.735000E+03 4.348000E+03 7.950000E+02 2.156000E+03
6.500000E-03 1469022 1.769050E+05 8.843000E+03 4.447000E+03 8.090000E+02 2.167000E+03
6.600000E-03 1491659 1.796620E+05 8.952000E+03 4.550000E+03 8.210000E+02 2.178000E+03
6.700000E-03 1514203 1.824670E+05 9.127000E+03 4.654000E+03 8.320000E+02 2.193000E+03
6.800000E-03 1537123 1.852610E+05 9.241000E+03 4.769000E+03 8.400000E+02 2.189000E+03
6.900000E-03 1559794 1.880450E+05 9.362000E+03 4.859000E+03 8.680000E+02 2.209000E+03
7.000000E-03 1582433 1.909240E+05 9.495000E+03 4.946000E+03 8.860000E+02 2.223000E+03
7.100000E-03 1605026 1.938290E+05 9.718000E+03 5.051000E+03 9.120000E+02 2.240000E+03
7.200000E-03 1627661 1.966780E+05 9.880000E+03 5.157000E+03 9.320000E+02 2.244000E+03
7.300000E-03 1650433 1.995150E+05 9.968000E+03 5.265000E+03 9.470000E+02 2.259000E+03
7.400000E-03 1673163 2.023420E+05 1.014400E+04 5.390000E+03 9.560000E+02 2.266000E+03
7.500000E-03 1695823 2.052250E+05 1.024500E+04 5.512000E+03 9.690000E+02 2.266000E+03
7.600000E-03 1718439 2.079850E+05 1.034300E+04 5.612000E+03 9.710000E+02 2.289000E+03
7.700000E-03 1741043 2.107710E+05 1.052700E+04 5.712000E+03 9.880000E+02 2.302000E+03
7.800000E-03 1763895 2.135990E+05 1.070100E+04 5.824000E+03 1.007000E+03 2.305000E+03
7.900000E-03 1786383 2.164030E+05 1.079200E+04 5.931000E+03 1.018000E+03 2.310000E+03
8.000000E-03 1809207 2.192490E+05 1.093300E+04 6.040000E+03 1.024000E+03 2.324000E+03
8.100000E-03 1831972 2.221530E+05 1.108200E+04 6.156000E+03 1.039000E+03 2.335000E+03
8.200000E-03 1855122 2.249910E+05 1.122800E+04 6.281000E+03 1.079000E+03 2.326000E+03
8.300000E-03 1877917 2.278340E+05 1.136400E+04 6.391000E+03 1.091000E+03 2.324000E+03
8.400000E-03 1900883 2.306190E+05 1.148700E+04 6.517000E+03 1.111000E+03 2.329000E+03
8.500000E-03 1923604 2.334500E+05 1.162900E+04 6.616000E+03 1.114000E+03 2.353000E+03
8.600000E-03 1946386 2.363140E+05 1.176300E+04 6.731000E+03 1.134000E+03 2.355000E+03
8.700000E-03 1968797 2.390630E+05 1.189500E+04 6.833000E+03 1.149000E+03 2.359000E+03
8.800000E-03 1991246 2.417570E+05 1.204200E+04 6.940000E+03 1.159000E+03 2.368000E+03
8.900000E-03 2013964 2.445980E+05 1.221500E+04 7.063000E+03 1.185000E+03 2.357000E+03
9.000000E-03 2036730 2.475110E+05 1.233200E+04 7.183000E+03 1.185000E+03 2.351000E+03
9.100000E-03 2059468 2.503220E+05 1.245900E+04 7.302000E+03 1.195000E+03 2.355000E+03
