time 'electrons_from_0.2_micromoles_Flavin' 'electrons_from_mtrC' 'electrons_from_0.45_micromoles_Flavin' 'electrons_from_0.75_micromoles_Flavin' 'electrons_from_1.2_micromoles_Flavin'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.000000E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.000000E-05 0.000000E+00 0.000000E+00 2.000000E+00 2.000000E+00 4.000000E+00
4.000000E-05 2.000000E+00 0.000000E+00 4.000000E+00 2.000000E+00 6.000000E+00
5.000000E-05 4.000000E+00 0.000000E+00 6.000000E+00 4.000000E+00 6.000000E+00
6.000000E-05 4.000000E+00 0.000000E+00 6.000000E+00 8.000000E+00 8.000000E+00
7.000000E-05 4.000000E+00 0.000000E+00 6.000000E+00 1.800000E+01 1.000000E+01
8.000000E-05 4.000000E+00 0.000000E+00 8.000000E+00 2.200000E+01 1.200000E+01
9.000000E-05 6.000000E+00 0.000000E+00 1.200000E+01 2.200000E+01 1.600000E+01
1.000000E-04 6.000000E+00 0.000000E+00 1.800000E+01 2.600000E+01 2.800000E+01
1.100000E-04 6.000000E+00 0.000000E+00 2.000000E+01 3.200000E+01 3.400000E+01
1.200000E-04 8.000000E+00 0.000000E+00 2.400000E+01 3.400000E+01 4.200000E+01
1.300000E-04 1.000000E+01 0.000000E+00 3.000000E+01 4.200000E+01 4.600000E+01
1.400000E-04 1.600000E+01 0.000000E+00 3.200000E+01 4.400000E+01 5.000000E+01
1.500000E-04 1.800000E+01 0.000000E+00 4.000000E+01 5.000000E+01 5.800000E+01
1.600000E-04 2.200000E+01 0.000000E+00 5.000000E+01 6.000000E+01 6.800000E+01
1.700000E-04 2.400000E+01 2.000000E+01 5.800000E+01 7.600000E+01 8.000000E+01
1.800000E-04 2.800000E+01 2.000000E+01 6.600000E+01 8.600000E+01 9.000000E+01
1.900000E-04 3.800000E+01 2.000000E+01 7.200000E+01 9.600000E+01 1.040000E+02
2.000000E-04 4.000000E+01 2.000000E+01 8.000000E+01 1.100000E+02 1.120000E+02
2.100000E-04 4.000000E+01 2.000000E+01 8.600000E+01 1.160000E+02 1.300000E+02
2.200000E-04 4.200000E+01 3.000000E+01 9.400000E+01 1.240000E+02 1.340000E+02
2.300000E-04 4.600000E+01 3.000000E+01 1.040000E+02 1.420000E+02 1.500000E+02
2.400000E-04 5.000000E+01 3.000000E+01 1.060000E+02 1.580000E+02 1.660000E+02
2.500000E-04 5.200000E+01 3.000000E+01 1.060000E+02 1.660000E+02 1.860000E+02
2.600000E-04 5.600000E+01 3.000000E+01 1.160000E+02 1.760000E+02 2.040000E+02
2.700000E-04 5.600000E+01 3.000000E+01 1.240000E+02 1.920000E+02 2.280000E+02
2.800000E-04 6.200000E+01 3.000000E+01 1.340000E+02 2.060000E+02 2.380000E+02
2.900000E-04 7.200000E+01 3.000000E+01 1.400000E+02 2.180000E+02 2.540000E+02
3.000000E-04 8.400000E+01 3.000000E+01 1.500000E+02 2.340000E+02 2.620000E+02
3.100000E-04 8.400000E+01 3.000000E+01 1.620000E+02 2.520000E+02 2.700000E+02
3.200000E-04 9.200000E+01 3.000000E+01 1.720000E+02 2.640000E+02 3.000000E+02
3.300000E-04 9.600000E+01 3.000000E+01 1.800000E+02 2.720000E+02 3.160000E+02
3.400000E-04 1.000000E+02 4.000000E+01 1.900000E+02 2.860000E+02 3.360000E+02
3.500000E-04 1.000000E+02 4.000000E+01 2.000000E+02 3.000000E+02 3.560000E+02
3.600000E-04 1.020000E+02 4.000000E+01 2.180000E+02 3.160000E+02 3.680000E+02
3.700000E-04 1.080000E+02 4.000000E+01 2.300000E+02 3.340000E+02 3.920000E+02
3.800000E-04 1.120000E+02 4.000000E+01 2.340000E+02 3.440000E+02 4.220000E+02
3.900000E-04 1.180000E+02 4.000000E+01 2.440000E+02 3.640000E+02 4.500000E+02
4.000000E-04 1.220000E+02 4.000000E+01 2.560000E+02 3.800000E+02 4.680000E+02
4.100000E-04 1.300000E+02 4.000000E+01 2.660000E+02 3.980000E+02 5.080000E+02
4.200000E-04 1.320000E+02 4.000000E+01 2.780000E+02 4.220000E+02 5.360000E+02
4.300000E-04 1.420000E+02 4.000000E+01 2.860000E+02 4.440000E+02 5.560000E+02
4.400000E-04 1.460000E+02 4.000000E+01 3.080000E+02 4.600000E+02 5.820000E+02
4.500000E-04 1.520000E+02 4.000000E+01 3.260000E+02 4.720000E+02 6.120000E+02
4.600000E-04 1.540000E+02 4.000000E+01 3.340000E+02 4.920000E+02 6.280000E+02
4.700000E-04 1.620000E+02 4.000000E+01 3.520000E+02 5.060000E+02 6.680000E+02
4.800000E-04 1.640000E+02 4.000000E+01 3.620000E+02 5.320000E+02 7.040000E+02
4.900000E-04 1.720000E+02 4.000000E+01 3.780000E+02 5.500000E+02 7.220000E+02
5.000000E-04 1.780000E+02 4.000000E+01 3.860000E+02 5.660000E+02 7.580000E+02
5.100000E-04 1.840000E+02 6.000000E+01 3.960000E+02 5.780000E+02 7.800000E+02
5.200000E-04 1.960000E+02 6.000000E+01 4.140000E+02 5.940000E+02 7.980000E+02
5.300000E-04 2.040000E+02 6.000000E+01 4.220000E+02 6.120000E+02 8.280000E+02
5.400000E-04 2.080000E+02 6.000000E+01 4.420000E+02 6.260000E+02 8.540000E+02
5.500000E-04 2.200000E+02 6.000000E+01 4.580000E+02 6.460000E+02 8.860000E+02
5.600000E-04 2.320000E+02 6.000000E+01 4.680000E+02 6.720000E+02 9.260000E+02
5.700000E-04 2.420000E+02 8.000000E+01 4.880000E+02 7.060000E+02 9.720000E+02
