time 'microParticles_with_electrons_from_Flavin' 'microParticles_with_electrons_from_mtrC' 'nanoParticles_with_electrons_from_Flavin' 'nanoParticles_with_electrons_from_mtrC'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-05 0.000000E+00 0.000000E+00 6.000000E+00 2.000000E+01
2.000000E-05 0.000000E+00 0.000000E+00 1.800000E+01 3.000000E+01
3.000000E-05 2.000000E+00 0.000000E+00 5.000000E+01 5.000000E+01
4.000000E-05 2.000000E+00 0.000000E+00 8.000000E+01 6.000000E+01
5.000000E-05 2.000000E+00 0.000000E+00 1.100000E+02 6.000000E+01
6.000000E-05 2.000000E+00 0.000000E+00 1.500000E+02 7.000000E+01
7.000000E-05 4.000000E+00 0.000000E+00 1.860000E+02 8.000000E+01
8.000000E-05 8.000000E+00 0.000000E+00 2.180000E+02 8.000000E+01
9.000000E-05 1.200000E+01 0.000000E+00 2.680000E+02 9.000000E+01
1.000000E-04 1.400000E+01 1.000000E+01 3.120000E+02 1.000000E+02
1.100000E-04 2.000000E+01 2.000000E+01 3.460000E+02 1.000000E+02
1.200000E-04 2.000000E+01 2.000000E+01 3.860000E+02 1.200000E+02
1.300000E-04 2.200000E+01 2.000000E+01 4.320000E+02 1.400000E+02
1.400000E-04 2.200000E+01 2.000000E+01 4.740000E+02 1.400000E+02
1.500000E-04 2.600000E+01 2.000000E+01 5.000000E+02 1.400000E+02
1.600000E-04 3.000000E+01 2.000000E+01 5.260000E+02 1.600000E+02
1.700000E-04 3.200000E+01 2.000000E+01 5.700000E+02 1.600000E+02
1.800000E-04 3.800000E+01 2.000000E+01 6.120000E+02 1.700000E+02
1.900000E-04 4.200000E+01 2.000000E+01 6.560000E+02 1.800000E+02
2.000000E-04 4.200000E+01 2.000000E+01 6.980000E+02 1.900000E+02
2.100000E-04 4.800000E+01 2.000000E+01 7.300000E+02 1.900000E+02
2.200000E-04 5.400000E+01 2.000000E+01 7.760000E+02 2.000000E+02
2.300000E-04 6.200000E+01 2.000000E+01 8.080000E+02 2.300000E+02
2.400000E-04 7.000000E+01 3.000000E+01 8.320000E+02 2.500000E+02
2.500000E-04 7.600000E+01 4.000000E+01 8.760000E+02 2.500000E+02
2.600000E-04 8.000000E+01 5.000000E+01 9.180000E+02 2.700000E+02
2.700000E-04 8.600000E+01 5.000000E+01 9.640000E+02 2.800000E+02
2.800000E-04 1.000000E+02 6.000000E+01 1.012000E+03 2.900000E+02
2.900000E-04 1.080000E+02 6.000000E+01 1.050000E+03 2.900000E+02
3.000000E-04 1.120000E+02 6.000000E+01 1.096000E+03 3.000000E+02
3.100000E-04 1.220000E+02 6.000000E+01 1.146000E+03 3.100000E+02
3.200000E-04 1.300000E+02 6.000000E+01 1.192000E+03 3.100000E+02
3.300000E-04 1.420000E+02 6.000000E+01 1.234000E+03 3.100000E+02
3.400000E-04 1.500000E+02 6.000000E+01 1.268000E+03 3.100000E+02
3.500000E-04 1.560000E+02 6.000000E+01 1.310000E+03 3.200000E+02
3.600000E-04 1.660000E+02 6.000000E+01 1.354000E+03 3.300000E+02
3.700000E-04 1.800000E+02 6.000000E+01 1.394000E+03 3.400000E+02
3.800000E-04 1.900000E+02 6.000000E+01 1.426000E+03 3.600000E+02
3.900000E-04 2.040000E+02 6.000000E+01 1.458000E+03 3.600000E+02
4.000000E-04 2.160000E+02 6.000000E+01 1.512000E+03 3.700000E+02
4.100000E-04 2.320000E+02 6.000000E+01 1.564000E+03 3.700000E+02
4.200000E-04 2.400000E+02 6.000000E+01 1.600000E+03 3.700000E+02
4.300000E-04 2.480000E+02 6.000000E+01 1.660000E+03 3.800000E+02
