time 'microParticles_with_electrons_from_Flavin' 'microParticles_with_electrons_from_mtrC' 'nanoParticles_with_electrons_from_Flavin' 'nanoParticles_with_electrons_from_mtrC'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-05 0.000000E+00 0.000000E+00 4.000000E+00 1.000000E+01
2.000000E-05 0.000000E+00 0.000000E+00 2.400000E+01 2.000000E+01
3.000000E-05 0.000000E+00 0.000000E+00 4.600000E+01 2.000000E+01
4.000000E-05 6.000000E+00 0.000000E+00 7.200000E+01 3.000000E+01
5.000000E-05 6.000000E+00 0.000000E+00 1.160000E+02 5.000000E+01
6.000000E-05 8.000000E+00 0.000000E+00 1.500000E+02 5.000000E+01
7.000000E-05 8.000000E+00 0.000000E+00 1.780000E+02 5.000000E+01
8.000000E-05 1.000000E+01 0.000000E+00 2.220000E+02 6.000000E+01
9.000000E-05 1.600000E+01 0.000000E+00 2.660000E+02 6.000000E+01
1.000000E-04 2.200000E+01 0.000000E+00 3.040000E+02 7.000000E+01
1.100000E-04 2.600000E+01 0.000000E+00 3.320000E+02 7.000000E+01
1.200000E-04 2.800000E+01 0.000000E+00 3.660000E+02 8.000000E+01
1.300000E-04 3.400000E+01 0.000000E+00 3.960000E+02 8.000000E+01
1.400000E-04 4.000000E+01 0.000000E+00 4.480000E+02 9.000000E+01
1.500000E-04 4.600000E+01 1.000000E+01 4.780000E+02 9.000000E+01
1.600000E-04 5.400000E+01 1.000000E+01 5.160000E+02 1.000000E+02
1.700000E-04 5.800000E+01 1.000000E+01 5.580000E+02 1.000000E+02
1.800000E-04 6.400000E+01 1.000000E+01 5.900000E+02 1.000000E+02
1.900000E-04 6.800000E+01 1.000000E+01 6.300000E+02 1.000000E+02
2.000000E-04 7.000000E+01 1.000000E+01 6.840000E+02 1.100000E+02
2.100000E-04 8.600000E+01 1.000000E+01 7.340000E+02 1.100000E+02
2.200000E-04 9.400000E+01 2.000000E+01 7.720000E+02 1.100000E+02
2.300000E-04 9.400000E+01 2.000000E+01 8.100000E+02 1.100000E+02
2.400000E-04 1.000000E+02 2.000000E+01 8.560000E+02 1.200000E+02
2.500000E-04 1.120000E+02 3.000000E+01 9.120000E+02 1.300000E+02
2.600000E-04 1.220000E+02 3.000000E+01 9.420000E+02 1.500000E+02
2.700000E-04 1.300000E+02 3.000000E+01 9.760000E+02 1.500000E+02
2.800000E-04 1.520000E+02 4.000000E+01 1.034000E+03 1.500000E+02
2.900000E-04 1.680000E+02 4.000000E+01 1.084000E+03 1.800000E+02
3.000000E-04 1.800000E+02 4.000000E+01 1.126000E+03 1.900000E+02
3.100000E-04 1.900000E+02 5.000000E+01 1.166000E+03 2.000000E+02
3.200000E-04 2.020000E+02 5.000000E+01 1.202000E+03 2.100000E+02
3.300000E-04 2.100000E+02 6.000000E+01 1.246000E+03 2.100000E+02
3.400000E-04 2.260000E+02 7.000000E+01 1.280000E+03 2.100000E+02
3.500000E-04 2.360000E+02 7.000000E+01 1.336000E+03 2.100000E+02
3.600000E-04 2.520000E+02 8.000000E+01 1.374000E+03 2.200000E+02
3.700000E-04 2.700000E+02 8.000000E+01 1.420000E+03 2.300000E+02
3.800000E-04 2.820000E+02 8.000000E+01 1.460000E+03 2.400000E+02
3.900000E-04 2.960000E+02 8.000000E+01 1.502000E+03 2.400000E+02
4.000000E-04 3.100000E+02 8.000000E+01 1.544000E+03 2.500000E+02
4.100000E-04 3.200000E+02 9.000000E+01 1.580000E+03 2.600000E+02
4.200000E-04 3.280000E+02 9.000000E+01 1.614000E+03 2.700000E+02
4.300000E-04 3.440000E+02 9.000000E+01 1.664000E+03 2.700000E+02
4.400000E-04 3.500000E+02 9.000000E+01 1.694000E+03 2.700000E+02
4.500000E-04 3.620000E+02 9.000000E+01 1.720000E+03 2.900000E+02
4.600000E-04 3.780000E+02 9.000000E+01 1.748000E+03 3.000000E+02
4.700000E-04 3.940000E+02 9.000000E+01 1.792000E+03 3.000000E+02
4.800000E-04 4.080000E+02 1.000000E+02 1.832000E+03 3.000000E+02
4.900000E-04 4.220000E+02 1.000000E+02 1.862000E+03 3.100000E+02
5.000000E-04 4.300000E+02 1.000000E+02 1.908000E+03 3.100000E+02
5.100000E-04 4.540000E+02 1.100000E+02 1.932000E+03 3.100000E+02
5.200000E-04 4.680000E+02 1.300000E+02 1.994000E+03 3.300000E+02
5.300000E-04 4.880000E+02 1.300000E+02 2.020000E+03 3.500000E+02
5.400000E-04 4.980000E+02 1.300000E+02 2.058000E+03 4.100000E+02
5.500000E-04 5.120000E+02 1.300000E+02 2.102000E+03 4.300000E+02
5.600000E-04 5.320000E+02 1.500000E+02 2.146000E+03 4.300000E+02
5.700000E-04 5.440000E+02 1.500000E+02 2.202000E+03 4.300000E+02
5.800000E-04 5.600000E+02 1.500000E+02 2.226000E+03 4.400000E+02
5.900000E-04 5.820000E+02 1.600000E+02 2.268000E+03 4.400000E+02
6.000000E-04 6.020000E+02 1.700000E+02 2.310000E+03 4.500000E+02
6.100000E-04 6.160000E+02 1.700000E+02 2.352000E+03 4.600000E+02
6.200000E-04 6.360000E+02 1.700000E+02 2.406000E+03 4.700000E+02
6.300000E-04 6.620000E+02 1.800000E+02 2.448000E+03 4.800000E+02
6.400000E-04 6.740000E+02 1.800000E+02 2.494000E+03 4.800000E+02
6.500000E-04 6.980000E+02 1.900000E+02 2.530000E+03 5.000000E+02
6.600000E-04 7.180000E+02 1.900000E+02 2.558000E+03 5.200000E+02
6.700000E-04 7.320000E+02 2.000000E+02 2.608000E+03 5.300000E+02
6.800000E-04 7.720000E+02 2.000000E+02 2.640000E+03 5.400000E+02
6.900000E-04 7.840000E+02 2.000000E+02 2.680000E+03 5.400000E+02
7.000000E-04 7.980000E+02 2.100000E+02 2.718000E+03 5.600000E+02
7.100000E-04 8.200000E+02 2.100000E+02 2.766000E+03 5.700000E+02
7.200000E-04 8.460000E+02 2.200000E+02 2.798000E+03 5.800000E+02
7.300000E-04 8.620000E+02 2.200000E+02 2.838000E+03 6.000000E+02
7.400000E-04 8.880000E+02 2.200000E+02 2.880000E+03 6.100000E+02
7.500000E-04 9.120000E+02 2.200000E+02 2.920000E+03 6.200000E+02
7.600000E-04 9.240000E+02 2.200000E+02 2.956000E+03 6.200000E+02
7.700000E-04 9.420000E+02 2.200000E+02 3.004000E+03 6.300000E+02
7.800000E-04 9.560000E+02 2.200000E+02 3.034000E+03 6.400000E+02
7.900000E-04 9.760000E+02 2.200000E+02 3.084000E+03 6.600000E+02
8.000000E-04 1.000000E+03 2.300000E+02 3.118000E+03 6.700000E+02
8.100000E-04 1.034000E+03 2.300000E+02 3.154000E+03 6.900000E+02
8.200000E-04 1.048000E+03 2.300000E+02 3.198000E+03 7.000000E+02
8.300000E-04 1.070000E+03 2.300000E+02 3.242000E+03 7.000000E+02
8.400000E-04 1.092000E+03 2.400000E+02 3.292000E+03 7.100000E+02
8.500000E-04 1.124000E+03 2.500000E+02 3.342000E+03 7.200000E+02
8.600000E-04 1.148000E+03 2.500000E+02 3.374000E+03 7.200000E+02
8.700000E-04 1.166000E+03 2.600000E+02 3.422000E+03 7.200000E+02
8.800000E-04 1.202000E+03 2.600000E+02 3.460000E+03 7.400000E+02
8.900000E-04 1.230000E+03 2.800000E+02 3.496000E+03 7.400000E+02
9.000000E-04 1.262000E+03 2.800000E+02 3.538000E+03 7.600000E+02
9.100000E-04 1.282000E+03 2.800000E+02 3.578000E+03 7.600000E+02
9.200000E-04 1.314000E+03 2.800000E+02 3.622000E+03 7.600000E+02
9.300000E-04 1.342000E+03 2.800000E+02 3.654000E+03 7.600000E+02
9.400000E-04 1.352000E+03 2.900000E+02 3.704000E+03 7.800000E+02
9.500000E-04 1.378000E+03 2.900000E+02 3.736000E+03 7.900000E+02
9.600000E-04 1.424000E+03 2.900000E+02 3.770000E+03 8.000000E+02
9.700000E-04 1.458000E+03 2.900000E+02 3.822000E+03 8.000000E+02
9.800000E-04 1.484000E+03 2.900000E+02 3.870000E+03 8.100000E+02
9.900000E-04 1.504000E+03 2.900000E+02 3.904000E+03 8.100000E+02
1.000000E-03 1.542000E+03 2.900000E+02 3.934000E+03 8.100000E+02
