 time E 'microParticles_with_electrons_from_Flavin' 'microParticles_with_electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 25 0.000000E+00 0.000000E+00
2.000000E-05 63 0.000000E+00 0.000000E+00
3.000000E-05 115 0.000000E+00 0.000000E+00
4.000000E-05 159 0.000000E+00 0.000000E+00
5.000000E-05 199 0.000000E+00 0.000000E+00
6.000000E-05 252 2.000000E+00 0.000000E+00
7.000000E-05 299 6.000000E+00 0.000000E+00
8.000000E-05 347 6.000000E+00 1.000000E+01
9.000000E-05 389 6.000000E+00 1.000000E+01
1.000000E-04 430 8.000000E+00 1.000000E+01
1.100000E-04 469 1.400000E+01 1.000000E+01
1.200000E-04 523 1.600000E+01 2.000000E+01
1.300000E-04 554 2.000000E+01 2.000000E+01
1.400000E-04 600 2.200000E+01 2.000000E+01
1.500000E-04 660 3.000000E+01 2.000000E+01
1.600000E-04 711 3.600000E+01 2.000000E+01
1.700000E-04 759 4.000000E+01 2.000000E+01
1.800000E-04 816 4.400000E+01 2.000000E+01
1.900000E-04 872 5.800000E+01 2.000000E+01
2.000000E-04 925 6.400000E+01 2.000000E+01
2.100000E-04 975 7.200000E+01 2.000000E+01
2.200000E-04 1033 7.800000E+01 2.000000E+01
2.300000E-04 1085 9.000000E+01 2.000000E+01
2.400000E-04 1137 9.400000E+01 2.000000E+01
2.500000E-04 1186 1.080000E+02 2.000000E+01
2.600000E-04 1235 1.140000E+02 2.000000E+01
2.700000E-04 1281 1.220000E+02 3.000000E+01
2.800000E-04 1327 1.340000E+02 3.000000E+01
2.900000E-04 1380 1.440000E+02 3.000000E+01
3.000000E-04 1428 1.580000E+02 3.000000E+01
3.100000E-04 1482 1.700000E+02 3.000000E+01
3.200000E-04 1548 1.920000E+02 3.000000E+01
3.300000E-04 1587 2.100000E+02 3.000000E+01
3.400000E-04 1630 2.160000E+02 4.000000E+01
3.500000E-04 1661 2.220000E+02 4.000000E+01
3.600000E-04 1718 2.380000E+02 4.000000E+01
3.700000E-04 1772 2.520000E+02 4.000000E+01
3.800000E-04 1822 2.580000E+02 4.000000E+01
3.900000E-04 1893 2.660000E+02 4.000000E+01
4.000000E-04 1954 2.800000E+02 4.000000E+01
4.100000E-04 1999 2.860000E+02 5.000000E+01
4.200000E-04 2049 2.920000E+02 5.000000E+01
4.300000E-04 2103 3.000000E+02 5.000000E+01
4.400000E-04 2155 3.160000E+02 5.000000E+01
4.500000E-04 2210 3.280000E+02 5.000000E+01
4.600000E-04 2257 3.460000E+02 5.000000E+01
4.700000E-04 2332 3.680000E+02 5.000000E+01
4.800000E-04 2387 3.840000E+02 5.000000E+01
4.900000E-04 2440 4.000000E+02 6.000000E+01
5.000000E-04 2499 4.220000E+02 6.000000E+01
5.100000E-04 2546 4.460000E+02 7.000000E+01
5.200000E-04 2609 4.620000E+02 7.000000E+01
5.300000E-04 2681 4.860000E+02 8.000000E+01
5.400000E-04 2740 5.080000E+02 9.000000E+01
5.500000E-04 2811 5.260000E+02 9.000000E+01
5.600000E-04 2866 5.340000E+02 9.000000E+01
5.700000E-04 2924 5.520000E+02 9.000000E+01
5.800000E-04 2983 5.580000E+02 1.000000E+02
5.900000E-04 3040 5.740000E+02 1.100000E+02
6.000000E-04 3112 5.920000E+02 1.100000E+02
6.100000E-04 3175 6.060000E+02 1.300000E+02
6.200000E-04 3231 6.160000E+02 1.300000E+02
6.300000E-04 3287 6.320000E+02 1.300000E+02
6.400000E-04 3343 6.500000E+02 1.300000E+02
6.500000E-04 3417 6.700000E+02 1.400000E+02
6.600000E-04 3488 7.020000E+02 1.400000E+02
6.700000E-04 3554 7.220000E+02 1.400000E+02
6.800000E-04 3607 7.340000E+02 1.500000E+02
6.900000E-04 3682 7.580000E+02 1.500000E+02
7.000000E-04 3741 7.800000E+02 1.600000E+02
7.100000E-04 3802 7.980000E+02 1.600000E+02
7.200000E-04 3861 8.140000E+02 1.700000E+02
7.300000E-04 3924 8.340000E+02 1.800000E+02
7.400000E-04 3985 8.580000E+02 2.000000E+02
7.500000E-04 4063 8.860000E+02 2.000000E+02
7.600000E-04 4139 9.200000E+02 2.000000E+02
7.700000E-04 4203 9.400000E+02 2.000000E+02
7.800000E-04 4252 9.600000E+02 2.000000E+02
7.900000E-04 4326 9.840000E+02 2.000000E+02
8.000000E-04 4401 1.004000E+03 2.000000E+02
8.100000E-04 4475 1.030000E+03 2.000000E+02
8.200000E-04 4536 1.054000E+03 2.000000E+02
8.300000E-04 4604 1.074000E+03 2.000000E+02
8.400000E-04 4678 1.104000E+03 2.000000E+02
8.500000E-04 4743 1.124000E+03 2.000000E+02
8.600000E-04 4809 1.154000E+03 2.000000E+02
8.700000E-04 4887 1.182000E+03 2.100000E+02
8.800000E-04 4955 1.212000E+03 2.100000E+02
8.900000E-04 5036 1.250000E+03 2.100000E+02
9.000000E-04 5104 1.282000E+03 2.200000E+02
9.100000E-04 5165 1.314000E+03 2.300000E+02
9.200000E-04 5229 1.328000E+03 2.400000E+02
9.300000E-04 5302 1.356000E+03 2.500000E+02
9.400000E-04 5381 1.380000E+03 2.700000E+02
9.500000E-04 5460 1.418000E+03 2.800000E+02
9.600000E-04 5532 1.438000E+03 2.800000E+02
9.700000E-04 5603 1.478000E+03 2.900000E+02
9.800000E-04 5668 1.502000E+03 2.900000E+02
9.900000E-04 5727 1.520000E+03 2.900000E+02
1.000000E-03 5799 1.538000E+03 3.000000E+02
