 time E 'microParticles_with_electrons_from_Flavin' 'microParticles_with_electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 39 0.000000E+00 0.000000E+00
2.000000E-05 71 0.000000E+00 0.000000E+00
3.000000E-05 117 0.000000E+00 0.000000E+00
4.000000E-05 160 0.000000E+00 0.000000E+00
5.000000E-05 205 0.000000E+00 0.000000E+00
6.000000E-05 235 4.000000E+00 0.000000E+00
7.000000E-05 295 1.200000E+01 0.000000E+00
8.000000E-05 358 2.000000E+01 0.000000E+00
9.000000E-05 402 2.200000E+01 0.000000E+00
1.000000E-04 449 2.400000E+01 0.000000E+00
1.100000E-04 496 2.600000E+01 0.000000E+00
1.200000E-04 537 3.000000E+01 1.000000E+01
1.300000E-04 587 3.400000E+01 1.000000E+01
1.400000E-04 633 4.200000E+01 1.000000E+01
1.500000E-04 679 4.800000E+01 1.000000E+01
1.600000E-04 731 5.200000E+01 1.000000E+01
1.700000E-04 775 5.400000E+01 1.000000E+01
1.800000E-04 836 6.400000E+01 1.000000E+01
1.900000E-04 884 7.000000E+01 2.000000E+01
2.000000E-04 944 7.400000E+01 2.000000E+01
2.100000E-04 1001 8.800000E+01 3.000000E+01
2.200000E-04 1053 1.020000E+02 3.000000E+01
2.300000E-04 1113 1.080000E+02 3.000000E+01
2.400000E-04 1167 1.200000E+02 3.000000E+01
2.500000E-04 1213 1.300000E+02 3.000000E+01
2.600000E-04 1267 1.380000E+02 3.000000E+01
2.700000E-04 1314 1.400000E+02 4.000000E+01
2.800000E-04 1362 1.440000E+02 5.000000E+01
2.900000E-04 1407 1.540000E+02 5.000000E+01
3.000000E-04 1450 1.600000E+02 5.000000E+01
3.100000E-04 1506 1.720000E+02 5.000000E+01
3.200000E-04 1554 1.860000E+02 6.000000E+01
3.300000E-04 1600 2.040000E+02 6.000000E+01
3.400000E-04 1665 2.140000E+02 7.000000E+01
3.500000E-04 1721 2.320000E+02 7.000000E+01
3.600000E-04 1774 2.440000E+02 8.000000E+01
3.700000E-04 1833 2.520000E+02 8.000000E+01
3.800000E-04 1885 2.640000E+02 8.000000E+01
3.900000E-04 1939 2.820000E+02 8.000000E+01
4.000000E-04 2006 3.040000E+02 8.000000E+01
4.100000E-04 2059 3.140000E+02 9.000000E+01
4.200000E-04 2121 3.320000E+02 9.000000E+01
4.300000E-04 2181 3.440000E+02 1.000000E+02
4.400000E-04 2235 3.500000E+02 1.000000E+02
4.500000E-04 2300 3.760000E+02 1.000000E+02
4.600000E-04 2355 3.940000E+02 1.000000E+02
4.700000E-04 2404 4.100000E+02 1.000000E+02
4.800000E-04 2467 4.220000E+02 1.100000E+02
4.900000E-04 2516 4.400000E+02 1.200000E+02
5.000000E-04 2584 4.560000E+02 1.200000E+02
5.100000E-04 2649 4.740000E+02 1.200000E+02
5.200000E-04 2707 4.880000E+02 1.300000E+02
5.300000E-04 2775 5.100000E+02 1.400000E+02
5.400000E-04 2833 5.180000E+02 1.400000E+02
5.500000E-04 2889 5.360000E+02 1.400000E+02
5.600000E-04 2938 5.500000E+02 1.400000E+02
5.700000E-04 3007 5.680000E+02 1.400000E+02
5.800000E-04 3070 5.840000E+02 1.400000E+02
5.900000E-04 3121 5.980000E+02 1.400000E+02
6.000000E-04 3172 6.100000E+02 1.400000E+02
6.100000E-04 3237 6.280000E+02 1.600000E+02
6.200000E-04 3295 6.460000E+02 1.600000E+02
6.300000E-04 3363 6.720000E+02 1.600000E+02
6.400000E-04 3429 6.920000E+02 1.600000E+02
6.500000E-04 3501 7.220000E+02 1.600000E+02
6.600000E-04 3561 7.420000E+02 1.600000E+02
6.700000E-04 3616 7.640000E+02 1.600000E+02
6.800000E-04 3672 7.740000E+02 1.600000E+02
6.900000E-04 3727 7.980000E+02 1.600000E+02
7.000000E-04 3772 8.080000E+02 1.600000E+02
7.100000E-04 3833 8.180000E+02 1.700000E+02
7.200000E-04 3874 8.300000E+02 1.700000E+02
7.300000E-04 3933 8.480000E+02 1.800000E+02
7.400000E-04 4000 8.640000E+02 1.800000E+02
7.500000E-04 4068 8.840000E+02 1.800000E+02
7.600000E-04 4135 9.100000E+02 1.900000E+02
7.700000E-04 4207 9.360000E+02 1.900000E+02
7.800000E-04 4274 9.660000E+02 1.900000E+02
7.900000E-04 4344 9.960000E+02 1.900000E+02
8.000000E-04 4410 1.024000E+03 2.000000E+02
8.100000E-04 4485 1.048000E+03 2.100000E+02
8.200000E-04 4531 1.068000E+03 2.100000E+02
8.300000E-04 4590 1.086000E+03 2.200000E+02
8.400000E-04 4657 1.106000E+03 2.200000E+02
8.500000E-04 4707 1.124000E+03 2.200000E+02
8.600000E-04 4775 1.146000E+03 2.200000E+02
8.700000E-04 4842 1.170000E+03 2.200000E+02
8.800000E-04 4912 1.182000E+03 2.200000E+02
8.900000E-04 4999 1.228000E+03 2.200000E+02
9.000000E-04 5076 1.256000E+03 2.300000E+02
9.100000E-04 5137 1.280000E+03 2.300000E+02
9.200000E-04 5213 1.316000E+03 2.300000E+02
9.300000E-04 5280 1.336000E+03 2.300000E+02
9.400000E-04 5352 1.364000E+03 2.300000E+02
9.500000E-04 5417 1.390000E+03 2.300000E+02
9.600000E-04 5482 1.416000E+03 2.300000E+02
9.700000E-04 5547 1.448000E+03 2.300000E+02
9.800000E-04 5615 1.468000E+03 2.500000E+02
9.900000E-04 5682 1.490000E+03 2.500000E+02
1.000000E-03 5749 1.504000E+03 2.500000E+02
