 time E 'microParticles_with_electrons_from_Flavin' 'microParticles_with_electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 44 0.000000E+00 0.000000E+00
2.000000E-05 75 0.000000E+00 0.000000E+00
3.000000E-05 118 0.000000E+00 0.000000E+00
4.000000E-05 172 6.000000E+00 0.000000E+00
5.000000E-05 222 6.000000E+00 0.000000E+00
6.000000E-05 277 8.000000E+00 0.000000E+00
7.000000E-05 320 1.000000E+01 0.000000E+00
8.000000E-05 361 1.200000E+01 0.000000E+00
9.000000E-05 397 1.600000E+01 0.000000E+00
1.000000E-04 434 1.600000E+01 0.000000E+00
1.100000E-04 483 2.000000E+01 0.000000E+00
1.200000E-04 530 2.600000E+01 0.000000E+00
1.300000E-04 581 3.000000E+01 0.000000E+00
1.400000E-04 631 3.800000E+01 2.000000E+01
1.500000E-04 681 4.400000E+01 3.000000E+01
1.600000E-04 727 4.800000E+01 3.000000E+01
1.700000E-04 765 5.400000E+01 3.000000E+01
1.800000E-04 814 6.000000E+01 4.000000E+01
1.900000E-04 865 6.600000E+01 4.000000E+01
2.000000E-04 926 7.600000E+01 4.000000E+01
2.100000E-04 987 8.800000E+01 4.000000E+01
2.200000E-04 1045 1.020000E+02 4.000000E+01
2.300000E-04 1100 1.160000E+02 4.000000E+01
2.400000E-04 1152 1.220000E+02 4.000000E+01
2.500000E-04 1206 1.320000E+02 4.000000E+01
2.600000E-04 1264 1.440000E+02 4.000000E+01
2.700000E-04 1313 1.540000E+02 4.000000E+01
2.800000E-04 1367 1.620000E+02 4.000000E+01
2.900000E-04 1419 1.720000E+02 5.000000E+01
3.000000E-04 1479 1.800000E+02 5.000000E+01
3.100000E-04 1540 1.920000E+02 5.000000E+01
3.200000E-04 1599 2.120000E+02 5.000000E+01
3.300000E-04 1668 2.260000E+02 5.000000E+01
3.400000E-04 1732 2.420000E+02 5.000000E+01
3.500000E-04 1778 2.460000E+02 5.000000E+01
3.600000E-04 1831 2.600000E+02 5.000000E+01
3.700000E-04 1898 2.760000E+02 5.000000E+01
3.800000E-04 1959 2.920000E+02 6.000000E+01
3.900000E-04 2022 3.060000E+02 6.000000E+01
4.000000E-04 2086 3.260000E+02 6.000000E+01
4.100000E-04 2150 3.420000E+02 6.000000E+01
4.200000E-04 2215 3.700000E+02 6.000000E+01
4.300000E-04 2281 3.800000E+02 6.000000E+01
4.400000E-04 2343 3.900000E+02 7.000000E+01
4.500000E-04 2413 4.120000E+02 7.000000E+01
4.600000E-04 2465 4.200000E+02 7.000000E+01
4.700000E-04 2525 4.300000E+02 9.000000E+01
4.800000E-04 2584 4.440000E+02 9.000000E+01
4.900000E-04 2646 4.600000E+02 9.000000E+01
5.000000E-04 2710 4.720000E+02 9.000000E+01
5.100000E-04 2787 4.960000E+02 9.000000E+01
5.200000E-04 2841 5.140000E+02 1.000000E+02
5.300000E-04 2905 5.340000E+02 1.000000E+02
5.400000E-04 2954 5.520000E+02 1.200000E+02
5.500000E-04 3005 5.660000E+02 1.300000E+02
5.600000E-04 3076 5.900000E+02 1.300000E+02
5.700000E-04 3135 6.100000E+02 1.300000E+02
5.800000E-04 3199 6.220000E+02 1.300000E+02
5.900000E-04 3261 6.360000E+02 1.300000E+02
6.000000E-04 3325 6.600000E+02 1.300000E+02
6.100000E-04 3382 6.780000E+02 1.300000E+02
6.200000E-04 3429 6.920000E+02 1.300000E+02
6.300000E-04 3494 7.100000E+02 1.400000E+02
6.400000E-04 3564 7.300000E+02 1.400000E+02
6.500000E-04 3617 7.520000E+02 1.400000E+02
6.600000E-04 3688 7.680000E+02 1.500000E+02
6.700000E-04 3748 7.860000E+02 1.500000E+02
6.800000E-04 3811 8.120000E+02 1.500000E+02
6.900000E-04 3859 8.260000E+02 1.700000E+02
7.000000E-04 3918 8.420000E+02 1.700000E+02
7.100000E-04 3972 8.540000E+02 1.700000E+02
7.200000E-04 4032 8.660000E+02 1.700000E+02
7.300000E-04 4095 8.920000E+02 1.700000E+02
7.400000E-04 4157 9.080000E+02 1.700000E+02
7.500000E-04 4227 9.320000E+02 1.800000E+02
7.600000E-04 4283 9.500000E+02 1.900000E+02
7.700000E-04 4353 9.820000E+02 1.900000E+02
7.800000E-04 4413 1.006000E+03 2.000000E+02
7.900000E-04 4471 1.026000E+03 2.100000E+02
8.000000E-04 4529 1.042000E+03 2.100000E+02
8.100000E-04 4580 1.052000E+03 2.200000E+02
8.200000E-04 4652 1.072000E+03 2.200000E+02
8.300000E-04 4724 1.090000E+03 2.300000E+02
8.400000E-04 4794 1.114000E+03 2.300000E+02
8.500000E-04 4858 1.134000E+03 2.300000E+02
8.600000E-04 4921 1.154000E+03 2.400000E+02
8.700000E-04 4978 1.164000E+03 2.400000E+02
8.800000E-04 5056 1.198000E+03 2.400000E+02
8.900000E-04 5117 1.216000E+03 2.400000E+02
9.000000E-04 5184 1.234000E+03 2.400000E+02
9.100000E-04 5244 1.258000E+03 2.500000E+02
9.200000E-04 5313 1.282000E+03 2.600000E+02
9.300000E-04 5372 1.296000E+03 2.700000E+02
9.400000E-04 5455 1.334000E+03 2.800000E+02
9.500000E-04 5519 1.366000E+03 2.800000E+02
9.600000E-04 5594 1.400000E+03 2.800000E+02
9.700000E-04 5658 1.424000E+03 2.800000E+02
9.800000E-04 5727 1.452000E+03 2.800000E+02
9.900000E-04 5800 1.480000E+03 2.900000E+02
1.000000E-03 5865 1.500000E+03 2.900000E+02
