 time E 'nanoParticles_with_electrons_from_Flavin' 'nanoParticles_with_electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 134 4.000000E+00 1.000000E+01
2.000000E-05 178 1.600000E+01 2.000000E+01
3.000000E-05 245 3.600000E+01 4.000000E+01
4.000000E-05 311 6.400000E+01 4.000000E+01
5.000000E-05 400 9.200000E+01 5.000000E+01
6.000000E-05 503 1.400000E+02 7.000000E+01
7.000000E-05 582 1.800000E+02 9.000000E+01
8.000000E-05 653 2.140000E+02 9.000000E+01
9.000000E-05 754 2.480000E+02 1.200000E+02
1.000000E-04 841 3.000000E+02 1.400000E+02
1.100000E-04 923 3.360000E+02 1.500000E+02
1.200000E-04 1000 3.680000E+02 1.600000E+02
1.300000E-04 1094 4.080000E+02 1.700000E+02
1.400000E-04 1198 4.540000E+02 1.800000E+02
1.500000E-04 1277 4.900000E+02 1.900000E+02
1.600000E-04 1352 5.220000E+02 1.900000E+02
1.700000E-04 1426 5.640000E+02 1.900000E+02
1.800000E-04 1491 5.980000E+02 2.000000E+02
1.900000E-04 1588 6.300000E+02 2.100000E+02
2.000000E-04 1677 6.840000E+02 2.200000E+02
2.100000E-04 1755 7.120000E+02 2.200000E+02
2.200000E-04 1835 7.520000E+02 2.300000E+02
2.300000E-04 1908 7.860000E+02 2.400000E+02
2.400000E-04 1995 8.180000E+02 2.500000E+02
2.500000E-04 2086 8.540000E+02 2.600000E+02
2.600000E-04 2183 9.040000E+02 2.700000E+02
2.700000E-04 2265 9.440000E+02 2.800000E+02
2.800000E-04 2356 9.820000E+02 2.800000E+02
2.900000E-04 2445 1.018000E+03 3.100000E+02
3.000000E-04 2543 1.058000E+03 3.200000E+02
3.100000E-04 2628 1.100000E+03 3.300000E+02
3.200000E-04 2715 1.130000E+03 3.500000E+02
3.300000E-04 2818 1.178000E+03 3.500000E+02
3.400000E-04 2914 1.222000E+03 3.600000E+02
3.500000E-04 3005 1.270000E+03 3.700000E+02
3.600000E-04 3088 1.316000E+03 3.900000E+02
3.700000E-04 3172 1.346000E+03 3.900000E+02
3.800000E-04 3267 1.380000E+03 4.000000E+02
3.900000E-04 3356 1.432000E+03 4.100000E+02
4.000000E-04 3426 1.464000E+03 4.200000E+02
4.100000E-04 3505 1.492000E+03 4.200000E+02
4.200000E-04 3597 1.532000E+03 4.200000E+02
4.300000E-04 3684 1.570000E+03 4.200000E+02
4.400000E-04 3777 1.622000E+03 4.200000E+02
4.500000E-04 3869 1.666000E+03 4.400000E+02
4.600000E-04 3977 1.714000E+03 4.600000E+02
4.700000E-04 4066 1.744000E+03 4.700000E+02
4.800000E-04 4175 1.798000E+03 4.800000E+02
4.900000E-04 4277 1.838000E+03 4.900000E+02
5.000000E-04 4366 1.878000E+03 5.100000E+02
5.100000E-04 4448 1.914000E+03 5.200000E+02
5.200000E-04 4543 1.962000E+03 5.400000E+02
5.300000E-04 4615 2.000000E+03 5.500000E+02
5.400000E-04 4697 2.032000E+03 5.700000E+02
5.500000E-04 4803 2.080000E+03 5.900000E+02
5.600000E-04 4885 2.112000E+03 6.100000E+02
5.700000E-04 4955 2.144000E+03 6.200000E+02
5.800000E-04 5059 2.186000E+03 6.300000E+02
5.900000E-04 5161 2.238000E+03 6.400000E+02
6.000000E-04 5270 2.282000E+03 6.500000E+02
6.100000E-04 5408 2.330000E+03 6.600000E+02
6.200000E-04 5519 2.390000E+03 6.900000E+02
6.300000E-04 5609 2.432000E+03 7.000000E+02
6.400000E-04 5699 2.472000E+03 7.000000E+02
6.500000E-04 5802 2.518000E+03 7.100000E+02
6.600000E-04 5916 2.562000E+03 7.200000E+02
6.700000E-04 6009 2.610000E+03 7.200000E+02
6.800000E-04 6113 2.662000E+03 7.400000E+02
6.900000E-04 6185 2.700000E+03 7.400000E+02
7.000000E-04 6260 2.732000E+03 7.400000E+02
7.100000E-04 6350 2.770000E+03 7.400000E+02
7.200000E-04 6443 2.818000E+03 7.400000E+02
7.300000E-04 6531 2.852000E+03 7.500000E+02
7.400000E-04 6609 2.894000E+03 7.500000E+02
7.500000E-04 6704 2.936000E+03 7.700000E+02
7.600000E-04 6825 2.978000E+03 7.700000E+02
7.700000E-04 6932 3.040000E+03 7.800000E+02
7.800000E-04 7015 3.082000E+03 7.800000E+02
7.900000E-04 7088 3.108000E+03 7.800000E+02
8.000000E-04 7180 3.150000E+03 7.800000E+02
8.100000E-04 7287 3.194000E+03 7.800000E+02
8.200000E-04 7388 3.236000E+03 8.200000E+02
8.300000E-04 7491 3.284000E+03 8.200000E+02
8.400000E-04 7577 3.324000E+03 8.300000E+02
8.500000E-04 7667 3.376000E+03 8.400000E+02
8.600000E-04 7769 3.414000E+03 8.500000E+02
8.700000E-04 7869 3.462000E+03 8.700000E+02
8.800000E-04 7946 3.492000E+03 8.900000E+02
8.900000E-04 8060 3.546000E+03 9.000000E+02
9.000000E-04 8174 3.604000E+03 9.200000E+02
9.100000E-04 8266 3.642000E+03 9.400000E+02
9.200000E-04 8344 3.666000E+03 9.800000E+02
9.300000E-04 8417 3.696000E+03 9.900000E+02
9.400000E-04 8525 3.746000E+03 1.000000E+03
9.500000E-04 8613 3.784000E+03 1.010000E+03
9.600000E-04 8722 3.836000E+03 1.010000E+03
9.700000E-04 8839 3.888000E+03 1.020000E+03
9.800000E-04 8931 3.930000E+03 1.020000E+03
9.900000E-04 9005 3.978000E+03 1.020000E+03
1.000000E-03 9082 4.010000E+03 1.020000E+03
