 time E 'nanoParticles_with_electrons_from_Flavin' 'nanoParticles_with_electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 126 4.000000E+00 0.000000E+00
2.000000E-05 194 3.000000E+01 0.000000E+00
3.000000E-05 267 4.800000E+01 2.000000E+01
4.000000E-05 341 8.000000E+01 3.000000E+01
5.000000E-05 425 1.120000E+02 4.000000E+01
6.000000E-05 511 1.560000E+02 4.000000E+01
7.000000E-05 617 2.000000E+02 4.000000E+01
8.000000E-05 697 2.440000E+02 4.000000E+01
9.000000E-05 749 2.640000E+02 5.000000E+01
1.000000E-04 843 3.100000E+02 9.000000E+01
1.100000E-04 923 3.380000E+02 1.100000E+02
1.200000E-04 1002 3.740000E+02 1.100000E+02
1.300000E-04 1086 4.160000E+02 1.200000E+02
1.400000E-04 1149 4.420000E+02 1.200000E+02
1.500000E-04 1231 4.720000E+02 1.300000E+02
1.600000E-04 1330 5.180000E+02 1.400000E+02
1.700000E-04 1427 5.620000E+02 1.700000E+02
1.800000E-04 1529 6.100000E+02 1.700000E+02
1.900000E-04 1605 6.460000E+02 1.700000E+02
2.000000E-04 1686 6.780000E+02 1.900000E+02
2.100000E-04 1806 7.320000E+02 2.000000E+02
2.200000E-04 1894 7.780000E+02 2.000000E+02
2.300000E-04 1995 8.260000E+02 2.200000E+02
2.400000E-04 2079 8.580000E+02 2.200000E+02
2.500000E-04 2175 9.040000E+02 2.200000E+02
2.600000E-04 2289 9.520000E+02 2.500000E+02
2.700000E-04 2369 9.920000E+02 2.600000E+02
2.800000E-04 2468 1.034000E+03 2.800000E+02
2.900000E-04 2558 1.074000E+03 2.800000E+02
3.000000E-04 2646 1.118000E+03 2.800000E+02
3.100000E-04 2728 1.154000E+03 3.100000E+02
3.200000E-04 2815 1.190000E+03 3.200000E+02
3.300000E-04 2910 1.230000E+03 3.400000E+02
3.400000E-04 3005 1.276000E+03 3.400000E+02
3.500000E-04 3096 1.324000E+03 3.400000E+02
3.600000E-04 3171 1.362000E+03 3.400000E+02
3.700000E-04 3255 1.402000E+03 3.500000E+02
3.800000E-04 3322 1.434000E+03 3.600000E+02
3.900000E-04 3400 1.462000E+03 3.800000E+02
4.000000E-04 3502 1.508000E+03 3.900000E+02
4.100000E-04 3606 1.558000E+03 4.000000E+02
4.200000E-04 3703 1.602000E+03 4.200000E+02
4.300000E-04 3797 1.648000E+03 4.200000E+02
4.400000E-04 3890 1.684000E+03 4.600000E+02
4.500000E-04 3985 1.730000E+03 4.800000E+02
4.600000E-04 4058 1.762000E+03 4.800000E+02
4.700000E-04 4153 1.792000E+03 5.000000E+02
4.800000E-04 4236 1.836000E+03 5.000000E+02
4.900000E-04 4309 1.870000E+03 5.000000E+02
5.000000E-04 4373 1.896000E+03 5.000000E+02
5.100000E-04 4480 1.946000E+03 5.100000E+02
5.200000E-04 4560 1.980000E+03 5.200000E+02
5.300000E-04 4653 2.032000E+03 5.200000E+02
5.400000E-04 4724 2.058000E+03 5.300000E+02
5.500000E-04 4799 2.092000E+03 5.300000E+02
5.600000E-04 4894 2.130000E+03 5.400000E+02
5.700000E-04 4984 2.170000E+03 5.400000E+02
5.800000E-04 5057 2.206000E+03 5.500000E+02
5.900000E-04 5129 2.242000E+03 5.500000E+02
6.000000E-04 5223 2.272000E+03 5.700000E+02
6.100000E-04 5308 2.312000E+03 5.700000E+02
6.200000E-04 5409 2.362000E+03 5.800000E+02
6.300000E-04 5474 2.402000E+03 6.000000E+02
6.400000E-04 5556 2.436000E+03 6.000000E+02
6.500000E-04 5639 2.464000E+03 6.000000E+02
6.600000E-04 5719 2.500000E+03 6.100000E+02
6.700000E-04 5804 2.544000E+03 6.100000E+02
6.800000E-04 5907 2.588000E+03 6.100000E+02
6.900000E-04 5983 2.628000E+03 6.100000E+02
7.000000E-04 6089 2.666000E+03 6.200000E+02
7.100000E-04 6185 2.716000E+03 6.200000E+02
7.200000E-04 6280 2.758000E+03 6.300000E+02
7.300000E-04 6375 2.794000E+03 6.300000E+02
7.400000E-04 6470 2.840000E+03 6.500000E+02
7.500000E-04 6567 2.882000E+03 6.700000E+02
7.600000E-04 6683 2.928000E+03 6.800000E+02
7.700000E-04 6771 2.972000E+03 6.800000E+02
7.800000E-04 6875 3.018000E+03 7.000000E+02
7.900000E-04 6957 3.064000E+03 7.300000E+02
8.000000E-04 7056 3.106000E+03 7.600000E+02
8.100000E-04 7140 3.150000E+03 7.700000E+02
8.200000E-04 7210 3.176000E+03 7.800000E+02
8.300000E-04 7305 3.214000E+03 8.000000E+02
8.400000E-04 7409 3.268000E+03 8.100000E+02
8.500000E-04 7491 3.300000E+03 8.200000E+02
8.600000E-04 7571 3.338000E+03 8.200000E+02
8.700000E-04 7646 3.368000E+03 8.200000E+02
8.800000E-04 7713 3.404000E+03 8.200000E+02
8.900000E-04 7793 3.428000E+03 8.300000E+02
9.000000E-04 7865 3.468000E+03 8.400000E+02
9.100000E-04 7978 3.514000E+03 8.600000E+02
9.200000E-04 8078 3.564000E+03 8.600000E+02
9.300000E-04 8151 3.596000E+03 8.700000E+02
9.400000E-04 8234 3.636000E+03 8.800000E+02
9.500000E-04 8328 3.680000E+03 9.000000E+02
9.600000E-04 8417 3.722000E+03 9.000000E+02
9.700000E-04 8510 3.756000E+03 9.000000E+02
9.800000E-04 8599 3.802000E+03 9.100000E+02
9.900000E-04 8690 3.842000E+03 9.100000E+02
1.000000E-03 8772 3.886000E+03 9.200000E+02
