 time E 'nanoParticles_with_electrons_from_Flavin' 'nanoParticles_with_electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 128 4.000000E+00 0.000000E+00
2.000000E-05 179 1.600000E+01 0.000000E+00
3.000000E-05 249 4.800000E+01 0.000000E+00
4.000000E-05 336 7.800000E+01 2.000000E+01
5.000000E-05 413 1.040000E+02 3.000000E+01
6.000000E-05 488 1.440000E+02 3.000000E+01
7.000000E-05 554 1.780000E+02 3.000000E+01
8.000000E-05 628 2.100000E+02 4.000000E+01
9.000000E-05 717 2.380000E+02 4.000000E+01
1.000000E-04 802 2.800000E+02 4.000000E+01
1.100000E-04 891 3.240000E+02 4.000000E+01
1.200000E-04 982 3.640000E+02 5.000000E+01
1.300000E-04 1074 4.060000E+02 7.000000E+01
1.400000E-04 1153 4.380000E+02 9.000000E+01
1.500000E-04 1248 4.740000E+02 1.000000E+02
1.600000E-04 1324 5.000000E+02 1.000000E+02
1.700000E-04 1439 5.560000E+02 1.000000E+02
1.800000E-04 1554 6.220000E+02 1.000000E+02
1.900000E-04 1656 6.760000E+02 1.000000E+02
2.000000E-04 1762 7.200000E+02 1.000000E+02
2.100000E-04 1841 7.540000E+02 1.000000E+02
2.200000E-04 1927 7.980000E+02 1.200000E+02
2.300000E-04 2012 8.360000E+02 1.200000E+02
2.400000E-04 2137 8.900000E+02 1.300000E+02
2.500000E-04 2253 9.360000E+02 1.400000E+02
2.600000E-04 2346 9.920000E+02 1.600000E+02
2.700000E-04 2425 1.022000E+03 1.700000E+02
2.800000E-04 2511 1.056000E+03 1.800000E+02
2.900000E-04 2609 1.102000E+03 1.800000E+02
3.000000E-04 2700 1.146000E+03 2.100000E+02
3.100000E-04 2803 1.184000E+03 2.300000E+02
3.200000E-04 2883 1.224000E+03 2.400000E+02
3.300000E-04 2954 1.260000E+03 2.400000E+02
3.400000E-04 3047 1.304000E+03 2.500000E+02
3.500000E-04 3135 1.350000E+03 2.600000E+02
3.600000E-04 3218 1.384000E+03 2.600000E+02
3.700000E-04 3310 1.426000E+03 2.700000E+02
3.800000E-04 3409 1.470000E+03 3.100000E+02
3.900000E-04 3486 1.508000E+03 3.300000E+02
4.000000E-04 3573 1.546000E+03 3.300000E+02
4.100000E-04 3644 1.580000E+03 3.300000E+02
4.200000E-04 3730 1.614000E+03 3.300000E+02
4.300000E-04 3803 1.658000E+03 3.400000E+02
4.400000E-04 3866 1.680000E+03 3.500000E+02
4.500000E-04 3938 1.710000E+03 3.500000E+02
4.600000E-04 4031 1.750000E+03 3.500000E+02
4.700000E-04 4094 1.774000E+03 3.700000E+02
4.800000E-04 4186 1.818000E+03 3.700000E+02
4.900000E-04 4285 1.860000E+03 3.800000E+02
5.000000E-04 4373 1.888000E+03 3.900000E+02
5.100000E-04 4473 1.936000E+03 3.900000E+02
5.200000E-04 4554 1.976000E+03 4.000000E+02
5.300000E-04 4658 2.028000E+03 4.200000E+02
5.400000E-04 4743 2.062000E+03 4.400000E+02
5.500000E-04 4843 2.108000E+03 4.600000E+02
5.600000E-04 4916 2.142000E+03 4.700000E+02
5.700000E-04 5006 2.186000E+03 4.700000E+02
5.800000E-04 5115 2.230000E+03 4.700000E+02
5.900000E-04 5206 2.266000E+03 4.700000E+02
6.000000E-04 5289 2.310000E+03 4.700000E+02
6.100000E-04 5372 2.350000E+03 4.700000E+02
6.200000E-04 5456 2.388000E+03 4.700000E+02
6.300000E-04 5519 2.412000E+03 4.800000E+02
6.400000E-04 5631 2.456000E+03 5.000000E+02
6.500000E-04 5726 2.500000E+03 5.000000E+02
6.600000E-04 5811 2.548000E+03 5.000000E+02
6.700000E-04 5893 2.584000E+03 5.200000E+02
6.800000E-04 5993 2.624000E+03 5.300000E+02
6.900000E-04 6106 2.686000E+03 5.500000E+02
7.000000E-04 6191 2.722000E+03 5.600000E+02
7.100000E-04 6249 2.742000E+03 5.700000E+02
7.200000E-04 6330 2.784000E+03 5.800000E+02
7.300000E-04 6406 2.806000E+03 6.000000E+02
7.400000E-04 6506 2.846000E+03 6.100000E+02
7.500000E-04 6593 2.890000E+03 6.100000E+02
7.600000E-04 6685 2.938000E+03 6.100000E+02
7.700000E-04 6786 2.982000E+03 6.200000E+02
7.800000E-04 6863 3.024000E+03 6.400000E+02
7.900000E-04 6943 3.058000E+03 6.400000E+02
8.000000E-04 7022 3.096000E+03 6.800000E+02
8.100000E-04 7115 3.128000E+03 7.300000E+02
8.200000E-04 7211 3.166000E+03 7.600000E+02
8.300000E-04 7307 3.206000E+03 7.700000E+02
8.400000E-04 7390 3.250000E+03 7.800000E+02
8.500000E-04 7485 3.294000E+03 7.900000E+02
8.600000E-04 7568 3.330000E+03 8.000000E+02
8.700000E-04 7663 3.370000E+03 8.000000E+02
8.800000E-04 7714 3.398000E+03 8.000000E+02
8.900000E-04 7806 3.434000E+03 8.100000E+02
9.000000E-04 7907 3.482000E+03 8.100000E+02
9.100000E-04 8011 3.534000E+03 8.300000E+02
9.200000E-04 8104 3.580000E+03 8.300000E+02
9.300000E-04 8193 3.620000E+03 8.400000E+02
9.400000E-04 8281 3.662000E+03 8.500000E+02
9.500000E-04 8364 3.690000E+03 8.700000E+02
9.600000E-04 8458 3.728000E+03 8.800000E+02
9.700000E-04 8538 3.776000E+03 8.800000E+02
9.800000E-04 8616 3.814000E+03 8.900000E+02
9.900000E-04 8709 3.848000E+03 9.000000E+02
1.000000E-03 8793 3.884000E+03 9.000000E+02
