time 'mtrCAB_electrons_from_SolubleIron' 'mtrCAB_electrons_from_mtrB' 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-05 4.200000E+01 1.000000E+01 4.800000E+01
2.000000E-05 2.190000E+02 2.600000E+01 3.080000E+02
3.000000E-05 5.280000E+02 3.600000E+01 7.090000E+02
4.000000E-05 9.620000E+02 9.000000E+01 1.285000E+03
5.000000E-05 1.462000E+03 1.500000E+02 1.942000E+03
6.000000E-05 1.984000E+03 2.140000E+02 2.690000E+03
7.000000E-05 2.519000E+03 2.600000E+02 3.496000E+03
8.000000E-05 3.076000E+03 3.350000E+02 4.336000E+03
9.000000E-05 3.634000E+03 4.330000E+02 5.158000E+03
1.000000E-04 4.232000E+03 5.000000E+02 5.936000E+03
1.100000E-04 4.787000E+03 5.740000E+02 6.753000E+03
1.200000E-04 5.347000E+03 6.250000E+02 7.537000E+03
1.300000E-04 5.900000E+03 6.870000E+02 8.277000E+03
1.400000E-04 6.414000E+03 7.660000E+02 8.982000E+03
1.500000E-04 6.976000E+03 8.530000E+02 9.684000E+03
1.600000E-04 7.502000E+03 9.510000E+02 1.041900E+04
1.700000E-04 8.052000E+03 1.029000E+03 1.113700E+04
1.800000E-04 8.615000E+03 1.089000E+03 1.193100E+04
1.900000E-04 9.151000E+03 1.152000E+03 1.279200E+04
2.000000E-04 9.691000E+03 1.247000E+03 1.367700E+04
2.100000E-04 1.025400E+04 1.314000E+03 1.452200E+04
2.200000E-04 1.076400E+04 1.395000E+03 1.537000E+04
2.300000E-04 1.130900E+04 1.443000E+03 1.611500E+04
2.400000E-04 1.182900E+04 1.545000E+03 1.693100E+04
2.500000E-04 1.240500E+04 1.580000E+03 1.764500E+04
2.600000E-04 1.298400E+04 1.633000E+03 1.832800E+04
2.700000E-04 1.358700E+04 1.688000E+03 1.906500E+04
2.800000E-04 1.420100E+04 1.775000E+03 1.981700E+04
2.900000E-04 1.480200E+04 1.851000E+03 2.058200E+04
3.000000E-04 1.537200E+04 1.911000E+03 2.141500E+04
3.100000E-04 1.595400E+04 2.018000E+03 2.221400E+04
3.200000E-04 1.651700E+04 2.114000E+03 2.296000E+04
3.300000E-04 1.704900E+04 2.198000E+03 2.373400E+04
3.400000E-04 1.758800E+04 2.281000E+03 2.441500E+04
3.500000E-04 1.817900E+04 2.392000E+03 2.515100E+04
3.600000E-04 1.871000E+04 2.490000E+03 2.587000E+04
3.700000E-04 1.927100E+04 2.579000E+03 2.657200E+04
3.800000E-04 1.979700E+04 2.679000E+03 2.729200E+04
3.900000E-04 2.032400E+04 2.781000E+03 2.802200E+04
4.000000E-04 2.086200E+04 2.842000E+03 2.871200E+04
4.100000E-04 2.143400E+04 2.930000E+03 2.939600E+04
4.200000E-04 2.202800E+04 2.980000E+03 3.006300E+04
4.300000E-04 2.258000E+04 3.036000E+03 3.077500E+04
4.400000E-04 2.311600E+04 3.093000E+03 3.147500E+04
4.500000E-04 2.369400E+04 3.195000E+03 3.222900E+04
4.600000E-04 2.430200E+04 3.309000E+03 3.301300E+04
4.700000E-04 2.490900E+04 3.345000E+03 3.382700E+04
4.800000E-04 2.552400E+04 3.431000E+03 3.459100E+04
4.900000E-04 2.605900E+04 3.486000E+03 3.538300E+04
5.000000E-04 2.662400E+04 3.524000E+03 3.621200E+04
5.100000E-04 2.718700E+04 3.631000E+03 3.704100E+04
5.200000E-04 2.770600E+04 3.725000E+03 3.783100E+04
5.300000E-04 2.821100E+04 3.827000E+03 3.857800E+04
5.400000E-04 2.872300E+04 3.874000E+03 3.933300E+04
5.500000E-04 2.927100E+04 3.950000E+03 4.008400E+04
5.600000E-04 2.980300E+04 4.053000E+03 4.088700E+04
5.700000E-04 3.031600E+04 4.110000E+03 4.163500E+04
5.800000E-04 3.082700E+04 4.164000E+03 4.245400E+04
5.900000E-04 3.136300E+04 4.220000E+03 4.322500E+04
6.000000E-04 3.194800E+04 4.296000E+03 4.400100E+04
6.100000E-04 3.248200E+04 4.380000E+03 4.474100E+04
6.200000E-04 3.301000E+04 4.450000E+03 4.553400E+04
6.300000E-04 3.355000E+04 4.528000E+03 4.628500E+04
6.400000E-04 3.405200E+04 4.591000E+03 4.701600E+04
6.500000E-04 3.456400E+04 4.655000E+03 4.781000E+04
6.600000E-04 3.515300E+04 4.728000E+03 4.857800E+04
6.700000E-04 3.568000E+04 4.798000E+03 4.933100E+04
6.800000E-04 3.625000E+04 4.894000E+03 5.007600E+04
6.900000E-04 3.684900E+04 4.972000E+03 5.077200E+04
7.000000E-04 3.736000E+04 5.061000E+03 5.149500E+04
7.100000E-04 3.788500E+04 5.151000E+03 5.228600E+04
7.200000E-04 3.843200E+04 5.173000E+03 5.306300E+04
7.300000E-04 3.896300E+04 5.221000E+03 5.387900E+04
7.400000E-04 3.950800E+04 5.332000E+03 5.463700E+04
7.500000E-04 4.009400E+04 5.407000E+03 5.539000E+04
7.600000E-04 4.065800E+04 5.477000E+03 5.618700E+04
7.700000E-04 4.121900E+04 5.534000E+03 5.694900E+04
7.800000E-04 4.179800E+04 5.602000E+03 5.770300E+04
7.900000E-04 4.239500E+04 5.679000E+03 5.847300E+04
8.000000E-04 4.293700E+04 5.757000E+03 5.927000E+04
8.100000E-04 4.339900E+04 5.836000E+03 6.010400E+04
8.200000E-04 4.392600E+04 5.908000E+03 6.089200E+04
8.300000E-04 4.444400E+04 6.010000E+03 6.164400E+04
8.400000E-04 4.494300E+04 6.072000E+03 6.233400E+04
8.500000E-04 4.544900E+04 6.152000E+03 6.304300E+04
8.600000E-04 4.595800E+04 6.249000E+03 6.375300E+04
