time 'mtrCAB_electrons_from_SolubleIron' 'mtrCAB_electrons_from_mtrB' 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-05 3.500000E+01 2.000000E+01 8.200000E+01
2.000000E-05 2.160000E+02 3.600000E+01 3.980000E+02
3.000000E-05 5.280000E+02 7.000000E+01 9.110000E+02
4.000000E-05 9.660000E+02 1.300000E+02 1.566000E+03
5.000000E-05 1.478000E+03 1.700000E+02 2.366000E+03
6.000000E-05 2.025000E+03 2.390000E+02 3.110000E+03
7.000000E-05 2.619000E+03 3.260000E+02 3.858000E+03
8.000000E-05 3.199000E+03 3.830000E+02 4.639000E+03
9.000000E-05 3.790000E+03 4.470000E+02 5.396000E+03
1.000000E-04 4.267000E+03 5.240000E+02 6.128000E+03
1.100000E-04 4.840000E+03 5.660000E+02 6.835000E+03
1.200000E-04 5.400000E+03 6.660000E+02 7.579000E+03
1.300000E-04 5.973000E+03 7.210000E+02 8.350000E+03
1.400000E-04 6.528000E+03 7.800000E+02 9.133000E+03
1.500000E-04 7.068000E+03 8.270000E+02 9.900000E+03
1.600000E-04 7.633000E+03 8.500000E+02 1.067600E+04
1.700000E-04 8.159000E+03 9.260000E+02 1.148300E+04
1.800000E-04 8.704000E+03 9.850000E+02 1.230900E+04
1.900000E-04 9.326000E+03 1.041000E+03 1.311600E+04
2.000000E-04 9.859000E+03 1.084000E+03 1.392900E+04
2.100000E-04 1.045300E+04 1.113000E+03 1.467200E+04
2.200000E-04 1.100200E+04 1.230000E+03 1.545600E+04
2.300000E-04 1.155100E+04 1.301000E+03 1.618200E+04
2.400000E-04 1.212400E+04 1.356000E+03 1.688500E+04
2.500000E-04 1.268800E+04 1.428000E+03 1.764100E+04
2.600000E-04 1.326900E+04 1.491000E+03 1.842700E+04
2.700000E-04 1.382200E+04 1.555000E+03 1.910100E+04
2.800000E-04 1.437500E+04 1.638000E+03 1.985000E+04
2.900000E-04 1.494200E+04 1.682000E+03 2.061100E+04
3.000000E-04 1.550100E+04 1.753000E+03 2.135900E+04
3.100000E-04 1.606300E+04 1.838000E+03 2.211400E+04
3.200000E-04 1.661100E+04 1.913000E+03 2.290500E+04
3.300000E-04 1.720500E+04 1.966000E+03 2.370200E+04
3.400000E-04 1.779300E+04 2.088000E+03 2.445600E+04
3.500000E-04 1.835900E+04 2.172000E+03 2.531700E+04
3.600000E-04 1.889800E+04 2.204000E+03 2.611200E+04
3.700000E-04 1.941700E+04 2.287000E+03 2.686800E+04
3.800000E-04 1.990900E+04 2.367000E+03 2.757400E+04
3.900000E-04 2.040200E+04 2.421000E+03 2.832100E+04
4.000000E-04 2.097500E+04 2.471000E+03 2.907300E+04
4.100000E-04 2.152800E+04 2.528000E+03 2.982900E+04
4.200000E-04 2.206900E+04 2.616000E+03 3.058100E+04
4.300000E-04 2.262700E+04 2.678000E+03 3.131700E+04
4.400000E-04 2.316000E+04 2.736000E+03 3.203500E+04
4.500000E-04 2.369100E+04 2.808000E+03 3.275100E+04
4.600000E-04 2.422300E+04 2.882000E+03 3.352000E+04
4.700000E-04 2.473500E+04 3.002000E+03 3.426200E+04
4.800000E-04 2.524000E+04 3.042000E+03 3.507700E+04
4.900000E-04 2.577100E+04 3.116000E+03 3.583200E+04
5.000000E-04 2.633800E+04 3.239000E+03 3.662600E+04
5.100000E-04 2.687200E+04 3.340000E+03 3.736200E+04
5.200000E-04 2.741500E+04 3.412000E+03 3.809700E+04
