time 'mtrCAB_electrons_from_SolubleIron' 'mtrCAB_electrons_from_mtrB' 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-05 3.600000E+01 9.000000E+00 5.000000E+01
2.000000E-05 2.260000E+02 1.800000E+01 2.920000E+02
3.000000E-05 6.060000E+02 5.700000E+01 7.540000E+02
4.000000E-05 1.021000E+03 1.190000E+02 1.347000E+03
5.000000E-05 1.586000E+03 1.990000E+02 2.100000E+03
6.000000E-05 2.188000E+03 2.960000E+02 2.802000E+03
7.000000E-05 2.742000E+03 3.800000E+02 3.566000E+03
8.000000E-05 3.312000E+03 4.340000E+02 4.318000E+03
9.000000E-05 3.908000E+03 5.390000E+02 5.074000E+03
1.000000E-04 4.507000E+03 6.150000E+02 5.808000E+03
1.100000E-04 5.076000E+03 7.070000E+02 6.609000E+03
1.200000E-04 5.692000E+03 7.740000E+02 7.395000E+03
1.300000E-04 6.279000E+03 8.680000E+02 8.183000E+03
1.400000E-04 6.824000E+03 9.080000E+02 8.970000E+03
1.500000E-04 7.407000E+03 9.540000E+02 9.763000E+03
1.600000E-04 7.984000E+03 1.078000E+03 1.056100E+04
1.700000E-04 8.548000E+03 1.133000E+03 1.133000E+04
1.800000E-04 9.054000E+03 1.202000E+03 1.214200E+04
1.900000E-04 9.617000E+03 1.272000E+03 1.286700E+04
2.000000E-04 1.018300E+04 1.363000E+03 1.362100E+04
2.100000E-04 1.074700E+04 1.437000E+03 1.436200E+04
2.200000E-04 1.133500E+04 1.502000E+03 1.512000E+04
2.300000E-04 1.188500E+04 1.575000E+03 1.586600E+04
2.400000E-04 1.244000E+04 1.669000E+03 1.662000E+04
2.500000E-04 1.298300E+04 1.722000E+03 1.739400E+04
2.600000E-04 1.346100E+04 1.822000E+03 1.816200E+04
2.700000E-04 1.396000E+04 1.895000E+03 1.894400E+04
2.800000E-04 1.450700E+04 1.984000E+03 1.968200E+04
2.900000E-04 1.500700E+04 2.077000E+03 2.042900E+04
3.000000E-04 1.549600E+04 2.132000E+03 2.119800E+04
3.100000E-04 1.602200E+04 2.194000E+03 2.193900E+04
3.200000E-04 1.662300E+04 2.242000E+03 2.273100E+04
3.300000E-04 1.717800E+04 2.351000E+03 2.347600E+04
3.400000E-04 1.770100E+04 2.406000E+03 2.420900E+04
3.500000E-04 1.823900E+04 2.493000E+03 2.494600E+04
3.600000E-04 1.878800E+04 2.586000E+03 2.565200E+04
3.700000E-04 1.933500E+04 2.662000E+03 2.641000E+04
3.800000E-04 1.987400E+04 2.770000E+03 2.719200E+04
3.900000E-04 2.044100E+04 2.843000E+03 2.796800E+04
4.000000E-04 2.102100E+04 2.928000E+03 2.876900E+04
4.100000E-04 2.160000E+04 3.029000E+03 2.956100E+04
4.200000E-04 2.218600E+04 3.110000E+03 3.037700E+04
4.300000E-04 2.278700E+04 3.152000E+03 3.111400E+04
4.400000E-04 2.341400E+04 3.207000E+03 3.185500E+04
4.500000E-04 2.396400E+04 3.297000E+03 3.258600E+04
4.600000E-04 2.452200E+04 3.342000E+03 3.328700E+04
4.700000E-04 2.504000E+04 3.424000E+03 3.400400E+04
4.800000E-04 2.559100E+04 3.500000E+03 3.473400E+04
4.900000E-04 2.621300E+04 3.527000E+03 3.553000E+04
5.000000E-04 2.682100E+04 3.626000E+03 3.630400E+04
5.100000E-04 2.737800E+04 3.695000E+03 3.709500E+04
5.200000E-04 2.793900E+04 3.723000E+03 3.786300E+04
5.300000E-04 2.850700E+04 3.808000E+03 3.859700E+04
5.400000E-04 2.904600E+04 3.843000E+03 3.934600E+04
5.500000E-04 2.964400E+04 4.004000E+03 4.007400E+04
5.600000E-04 3.015500E+04 4.119000E+03 4.080300E+04
5.700000E-04 3.069000E+04 4.197000E+03 4.159600E+04
5.800000E-04 3.120700E+04 4.258000E+03 4.235300E+04
5.900000E-04 3.173900E+04 4.312000E+03 4.310700E+04
6.000000E-04 3.225600E+04 4.377000E+03 4.383400E+04
6.100000E-04 3.273200E+04 4.461000E+03 4.456500E+04
6.200000E-04 3.324100E+04 4.519000E+03 4.529600E+04
6.300000E-04 3.379700E+04 4.571000E+03 4.605300E+04
6.400000E-04 3.435900E+04 4.643000E+03 4.686700E+04
6.500000E-04 3.492000E+04 4.716000E+03 4.762600E+04
6.600000E-04 3.547300E+04 4.768000E+03 4.839900E+04
6.700000E-04 3.605000E+04 4.853000E+03 4.915900E+04
6.800000E-04 3.663900E+04 4.949000E+03 4.990900E+04
6.900000E-04 3.722900E+04 5.020000E+03 5.072500E+04
7.000000E-04 3.782800E+04 5.072000E+03 5.151800E+04
7.100000E-04 3.841800E+04 5.143000E+03 5.232300E+04
7.200000E-04 3.907700E+04 5.169000E+03 5.313300E+04
7.300000E-04 3.967900E+04 5.244000E+03 5.390000E+04
7.400000E-04 4.023900E+04 5.337000E+03 5.464500E+04
7.500000E-04 4.080100E+04 5.429000E+03 5.534400E+04
7.600000E-04 4.132300E+04 5.521000E+03 5.611900E+04
7.700000E-04 4.183300E+04 5.590000E+03 5.690500E+04
7.800000E-04 4.237100E+04 5.671000E+03 5.764500E+04
7.900000E-04 4.288100E+04 5.760000E+03 5.841100E+04
8.000000E-04 4.337900E+04 5.817000E+03 5.924000E+04
8.100000E-04 4.394300E+04 5.906000E+03 6.002500E+04
8.200000E-04 4.445300E+04 5.998000E+03 6.083000E+04
8.300000E-04 4.497700E+04 6.073000E+03 6.163600E+04
8.400000E-04 4.550400E+04 6.107000E+03 6.244900E+04
8.500000E-04 4.608100E+04 6.171000E+03 6.324400E+04
8.600000E-04 4.664800E+04 6.244000E+03 6.402000E+04
8.700000E-04 4.726100E+04 6.330000E+03 6.473000E+04
8.800000E-04 4.782100E+04 6.387000E+03 6.544600E+04
8.900000E-04 4.842700E+04 6.454000E+03 6.618500E+04
9.000000E-04 4.903400E+04 6.503000E+03 6.694400E+04
9.100000E-04 4.959300E+04 6.601000E+03 6.763100E+04
9.200000E-04 5.015600E+04 6.671000E+03 6.836200E+04
9.300000E-04 5.068400E+04 6.745000E+03 6.904100E+04
9.400000E-04 5.124200E+04 6.818000E+03 6.977300E+04
9.500000E-04 5.184400E+04 6.872000E+03 7.056300E+04
9.600000E-04 5.248000E+04 6.954000E+03 7.136900E+04
9.700000E-04 5.302800E+04 6.983000E+03 7.219800E+04
9.800000E-04 5.356700E+04 7.052000E+03 7.295200E+04
9.900000E-04 5.415000E+04 7.154000E+03 7.374400E+04
1.000000E-03 5.475200E+04 7.211000E+03 7.453400E+04
