time 'mtrCAB_electrons_from_SolubleIron' 'mtrCAB_electrons_from_mtrB' 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-05 4.300000E+01 0.000000E+00 5.700000E+01
2.000000E-05 2.310000E+02 3.000000E+00 3.570000E+02
3.000000E-05 5.470000E+02 3.900000E+01 8.050000E+02
4.000000E-05 9.880000E+02 8.500000E+01 1.365000E+03
5.000000E-05 1.489000E+03 1.560000E+02 2.105000E+03
6.000000E-05 2.042000E+03 2.100000E+02 2.861000E+03
7.000000E-05 2.586000E+03 2.680000E+02 3.584000E+03
8.000000E-05 3.152000E+03 3.560000E+02 4.312000E+03
9.000000E-05 3.706000E+03 4.060000E+02 5.067000E+03
1.000000E-04 4.299000E+03 4.520000E+02 5.886000E+03
1.100000E-04 4.847000E+03 5.390000E+02 6.663000E+03
1.200000E-04 5.424000E+03 6.140000E+02 7.409000E+03
1.300000E-04 6.062000E+03 7.030000E+02 8.157000E+03
1.400000E-04 6.671000E+03 7.870000E+02 8.933000E+03
1.500000E-04 7.213000E+03 8.380000E+02 9.668000E+03
1.600000E-04 7.793000E+03 8.950000E+02 1.041200E+04
1.700000E-04 8.329000E+03 9.480000E+02 1.119500E+04
1.800000E-04 8.890000E+03 1.029000E+03 1.190900E+04
1.900000E-04 9.471000E+03 1.148000E+03 1.260600E+04
2.000000E-04 1.004400E+04 1.205000E+03 1.336900E+04
2.100000E-04 1.056000E+04 1.294000E+03 1.403200E+04
2.200000E-04 1.111700E+04 1.393000E+03 1.476000E+04
2.300000E-04 1.170100E+04 1.459000E+03 1.547600E+04
2.400000E-04 1.219500E+04 1.499000E+03 1.626300E+04
2.500000E-04 1.268700E+04 1.598000E+03 1.701900E+04
2.600000E-04 1.319100E+04 1.653000E+03 1.782600E+04
2.700000E-04 1.370700E+04 1.773000E+03 1.857900E+04
2.800000E-04 1.425500E+04 1.821000E+03 1.932600E+04
2.900000E-04 1.487100E+04 1.902000E+03 2.004700E+04
3.000000E-04 1.545900E+04 1.989000E+03 2.081500E+04
3.100000E-04 1.603200E+04 2.024000E+03 2.159000E+04
3.200000E-04 1.657200E+04 2.131000E+03 2.231100E+04
3.300000E-04 1.704600E+04 2.180000E+03 2.306700E+04
3.400000E-04 1.756700E+04 2.226000E+03 2.373500E+04
3.500000E-04 1.811400E+04 2.283000E+03 2.446400E+04
3.600000E-04 1.869300E+04 2.361000E+03 2.519500E+04
3.700000E-04 1.927500E+04 2.465000E+03 2.594900E+04
3.800000E-04 1.981500E+04 2.524000E+03 2.671800E+04
3.900000E-04 2.034200E+04 2.587000E+03 2.747000E+04
4.000000E-04 2.090800E+04 2.665000E+03 2.823900E+04
4.100000E-04 2.146800E+04 2.760000E+03 2.896000E+04
4.200000E-04 2.204400E+04 2.805000E+03 2.970800E+04
4.300000E-04 2.264200E+04 2.907000E+03 3.045200E+04
4.400000E-04 2.320500E+04 3.020000E+03 3.116700E+04
4.500000E-04 2.375400E+04 3.094000E+03 3.193200E+04
4.600000E-04 2.430300E+04 3.151000E+03 3.268200E+04
4.700000E-04 2.482900E+04 3.204000E+03 3.342800E+04
4.800000E-04 2.539200E+04 3.305000E+03 3.418500E+04
4.900000E-04 2.595600E+04 3.365000E+03 3.492400E+04
5.000000E-04 2.650200E+04 3.455000E+03 3.564300E+04
5.100000E-04 2.708400E+04 3.549000E+03 3.638800E+04
5.200000E-04 2.765900E+04 3.632000E+03 3.717600E+04
5.300000E-04 2.824600E+04 3.692000E+03 3.793900E+04
5.400000E-04 2.879700E+04 3.799000E+03 3.868800E+04
5.500000E-04 2.935300E+04 3.869000E+03 3.947000E+04
