time 'mtrCAB_electrons_from_SolubleIron' 'mtrCAB_electrons_from_mtrB' 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-05 2.600000E+01 0.000000E+00 4.400000E+01
2.000000E-05 1.690000E+02 1.200000E+01 3.230000E+02
3.000000E-05 4.800000E+02 8.100000E+01 8.030000E+02
4.000000E-05 9.250000E+02 1.140000E+02 1.401000E+03
5.000000E-05 1.425000E+03 1.750000E+02 2.083000E+03
6.000000E-05 1.957000E+03 2.410000E+02 2.913000E+03
7.000000E-05 2.507000E+03 2.970000E+02 3.739000E+03
8.000000E-05 3.027000E+03 3.780000E+02 4.504000E+03
9.000000E-05 3.549000E+03 4.690000E+02 5.296000E+03
1.000000E-04 4.059000E+03 5.820000E+02 6.070000E+03
1.100000E-04 4.543000E+03 6.530000E+02 6.867000E+03
1.200000E-04 5.066000E+03 7.220000E+02 7.620000E+03
1.300000E-04 5.588000E+03 7.890000E+02 8.373000E+03
1.400000E-04 6.097000E+03 8.870000E+02 9.212000E+03
1.500000E-04 6.585000E+03 9.650000E+02 9.978000E+03
1.600000E-04 7.067000E+03 1.006000E+03 1.071300E+04
1.700000E-04 7.580000E+03 1.085000E+03 1.145000E+04
1.800000E-04 8.142000E+03 1.171000E+03 1.219800E+04
1.900000E-04 8.681000E+03 1.237000E+03 1.298800E+04
2.000000E-04 9.253000E+03 1.354000E+03 1.379600E+04
2.100000E-04 9.764000E+03 1.441000E+03 1.465000E+04
2.200000E-04 1.031700E+04 1.481000E+03 1.544400E+04
2.300000E-04 1.089100E+04 1.573000E+03 1.628700E+04
2.400000E-04 1.146800E+04 1.661000E+03 1.712300E+04
2.500000E-04 1.200400E+04 1.733000E+03 1.787900E+04
2.600000E-04 1.255500E+04 1.792000E+03 1.868100E+04
2.700000E-04 1.311000E+04 1.832000E+03 1.940500E+04
2.800000E-04 1.371200E+04 1.937000E+03 2.016100E+04
2.900000E-04 1.424700E+04 2.003000E+03 2.096500E+04
3.000000E-04 1.474300E+04 2.075000E+03 2.175100E+04
3.100000E-04 1.528200E+04 2.120000E+03 2.259000E+04
3.200000E-04 1.580300E+04 2.221000E+03 2.335500E+04
3.300000E-04 1.636500E+04 2.266000E+03 2.421000E+04
3.400000E-04 1.692900E+04 2.321000E+03 2.496500E+04
3.500000E-04 1.745200E+04 2.391000E+03 2.570000E+04
3.600000E-04 1.797000E+04 2.470000E+03 2.643700E+04
3.700000E-04 1.846400E+04 2.538000E+03 2.717700E+04
