time 'electrons_from_Flavin' 'electrons_from_mtrC' '_electrons_stored_in_Flavin' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 6.000000E+00 8.000000E+00 7.800000E+01 2.000000E+00 0.000000E+00 9.000000E+01
2.000000E-04 1.200000E+01 3.200000E+01 1.710000E+02 2.000000E+00 0.000000E+00 1.750000E+02
3.000000E-04 2.000000E+01 4.200000E+01 2.450000E+02 1.400000E+01 1.400000E+01 2.410000E+02
4.000000E-04 4.400000E+01 5.900000E+01 2.790000E+02 2.400000E+01 3.000000E+01 3.030000E+02
5.000000E-04 5.600000E+01 5.900000E+01 3.240000E+02 4.100000E+01 3.400000E+01 3.640000E+02
6.000000E-04 7.000000E+01 6.800000E+01 3.440000E+02 5.200000E+01 4.700000E+01 4.090000E+02
7.000000E-04 8.400000E+01 6.800000E+01 3.570000E+02 6.900000E+01 5.600000E+01 4.620000E+02
8.000000E-04 9.400000E+01 7.400000E+01 3.870000E+02 1.030000E+02 6.000000E+01 5.170000E+02
9.000000E-04 1.120000E+02 7.900000E+01 4.260000E+02 1.290000E+02 6.600000E+01 5.660000E+02
1.000000E-03 1.290000E+02 9.200000E+01 4.510000E+02 1.570000E+02 7.200000E+01 6.170000E+02
1.100000E-03 1.480000E+02 9.300000E+01 4.690000E+02 1.990000E+02 7.300000E+01 6.720000E+02
1.200000E-03 1.650000E+02 9.400000E+01 4.890000E+02 2.360000E+02 8.200000E+01 7.220000E+02
1.300000E-03 1.830000E+02 1.020000E+02 5.080000E+02 2.880000E+02 1.000000E+02 7.610000E+02
1.400000E-03 2.070000E+02 1.080000E+02 5.250000E+02 3.210000E+02 1.190000E+02 8.110000E+02
1.500000E-03 2.270000E+02 1.080000E+02 5.430000E+02 3.510000E+02 1.360000E+02 8.600000E+02
1.600000E-03 2.490000E+02 1.080000E+02 5.550000E+02 3.870000E+02 1.530000E+02 9.070000E+02
1.700000E-03 2.740000E+02 1.090000E+02 5.760000E+02 4.340000E+02 1.730000E+02 9.540000E+02
1.800000E-03 3.020000E+02 1.090000E+02 5.950000E+02 4.760000E+02 1.770000E+02 9.940000E+02
1.900000E-03 3.300000E+02 1.130000E+02 6.080000E+02 5.260000E+02 2.190000E+02 1.044000E+03
2.000000E-03 3.600000E+02 1.150000E+02 6.070000E+02 5.540000E+02 2.240000E+02 1.095000E+03
2.100000E-03 4.050000E+02 1.150000E+02 6.170000E+02 6.000000E+02 2.420000E+02 1.142000E+03
2.200000E-03 4.340000E+02 1.160000E+02 6.400000E+02 6.840000E+02 2.750000E+02 1.160000E+03
2.300000E-03 4.600000E+02 1.260000E+02 6.620000E+02 7.540000E+02 2.940000E+02 1.187000E+03
2.400000E-03 4.830000E+02 1.330000E+02 6.730000E+02 8.090000E+02 3.160000E+02 1.230000E+03
2.500000E-03 5.180000E+02 1.350000E+02 6.700000E+02 8.620000E+02 3.300000E+02 1.268000E+03
2.600000E-03 5.670000E+02 1.460000E+02 6.630000E+02 9.210000E+02 3.570000E+02 1.300000E+03
2.700000E-03 5.980000E+02 1.520000E+02 6.740000E+02 9.950000E+02 3.620000E+02 1.328000E+03
2.800000E-03 6.430000E+02 1.540000E+02 6.850000E+02 1.068000E+03 3.660000E+02 1.349000E+03
2.900000E-03 6.790000E+02 1.540000E+02 6.930000E+02 1.132000E+03 3.660000E+02 1.376000E+03
3.000000E-03 7.130000E+02 1.540000E+02 7.070000E+02 1.202000E+03 3.900000E+02 1.419000E+03
3.100000E-03 7.510000E+02 1.580000E+02 7.060000E+02 1.267000E+03 4.020000E+02 1.448000E+03
3.200000E-03 7.820000E+02 1.700000E+02 7.130000E+02 1.325000E+03 4.100000E+02 1.470000E+03
3.300000E-03 7.980000E+02 1.740000E+02 7.210000E+02 1.395000E+03 4.130000E+02 1.510000E+03
3.400000E-03 8.310000E+02 1.740000E+02 7.330000E+02 1.471000E+03 4.170000E+02 1.534000E+03
3.500000E-03 8.610000E+02 1.740000E+02 7.410000E+02 1.546000E+03 4.260000E+02 1.563000E+03
3.600000E-03 8.880000E+02 1.860000E+02 7.520000E+02 1.611000E+03 4.620000E+02 1.610000E+03
3.700000E-03 9.230000E+02 1.870000E+02 7.590000E+02 1.686000E+03 4.710000E+02 1.627000E+03
3.800000E-03 9.530000E+02 1.990000E+02 7.730000E+02 1.776000E+03 4.730000E+02 1.663000E+03
3.900000E-03 9.910000E+02 2.090000E+02 7.810000E+02 1.837000E+03 4.760000E+02 1.705000E+03
4.000000E-03 1.021000E+03 2.090000E+02 7.970000E+02 1.919000E+03 5.070000E+02 1.710000E+03
4.100000E-03 1.065000E+03 2.120000E+02 8.010000E+02 1.982000E+03 5.260000E+02 1.746000E+03
4.200000E-03 1.093000E+03 2.120000E+02 8.020000E+02 2.070000E+03 5.330000E+02 1.753000E+03
4.300000E-03 1.146000E+03 2.120000E+02 7.990000E+02 2.151000E+03 5.330000E+02 1.787000E+03
4.400000E-03 1.188000E+03 2.160000E+02 7.990000E+02 2.235000E+03 5.480000E+02 1.809000E+03
4.500000E-03 1.228000E+03 2.230000E+02 8.030000E+02 2.301000E+03 5.720000E+02 1.839000E+03
4.600000E-03 1.257000E+03 2.470000E+02 8.120000E+02 2.407000E+03 5.840000E+02 1.838000E+03
4.700000E-03 1.291000E+03 2.510000E+02 8.210000E+02 2.484000E+03 6.050000E+02 1.865000E+03
4.800000E-03 1.331000E+03 2.530000E+02 8.220000E+02 2.575000E+03 6.150000E+02 1.880000E+03
4.900000E-03 1.375000E+03 2.530000E+02 8.210000E+02 2.661000E+03 6.220000E+02 1.909000E+03
5.000000E-03 1.404000E+03 2.620000E+02 8.380000E+02 2.767000E+03 6.330000E+02 1.921000E+03
5.100000E-03 1.433000E+03 2.660000E+02 8.550000E+02 2.877000E+03 6.430000E+02 1.924000E+03
5.200000E-03 1.463000E+03 2.730000E+02 8.680000E+02 2.986000E+03 6.690000E+02 1.927000E+03
5.300000E-03 1.511000E+03 2.730000E+02 8.720000E+02 3.081000E+03 6.690000E+02 1.942000E+03
5.400000E-03 1.545000E+03 2.760000E+02 8.830000E+02 3.169000E+03 6.830000E+02 1.954000E+03
5.500000E-03 1.581000E+03 2.910000E+02 8.860000E+02 3.255000E+03 7.160000E+02 1.987000E+03
5.600000E-03 1.616000E+03 2.910000E+02 8.820000E+02 3.344000E+03 7.300000E+02 2.011000E+03
5.700000E-03 1.690000E+03 2.910000E+02 8.670000E+02 3.429000E+03 7.320000E+02 2.024000E+03
5.800000E-03 1.742000E+03 2.980000E+02 8.590000E+02 3.511000E+03 7.330000E+02 2.047000E+03
5.900000E-03 1.787000E+03 3.120000E+02 8.580000E+02 3.605000E+03 7.350000E+02 2.063000E+03
6.000000E-03 1.827000E+03 3.160000E+02 8.660000E+02 3.725000E+03 7.540000E+02 2.062000E+03
6.100000E-03 1.867000E+03 3.210000E+02 8.780000E+02 3.839000E+03 7.750000E+02 2.076000E+03
6.200000E-03 1.892000E+03 3.390000E+02 8.910000E+02 3.961000E+03 8.050000E+02 2.073000E+03
6.300000E-03 1.925000E+03 3.450000E+02 8.940000E+02 4.039000E+03 8.230000E+02 2.100000E+03
6.400000E-03 1.949000E+03 3.510000E+02 9.100000E+02 4.153000E+03 8.250000E+02 2.114000E+03
6.500000E-03 1.999000E+03 3.510000E+02 9.070000E+02 4.246000E+03 8.580000E+02 2.138000E+03
6.600000E-03 2.034000E+03 3.510000E+02 9.100000E+02 4.344000E+03 8.710000E+02 2.151000E+03
6.700000E-03 2.066000E+03 3.510000E+02 9.120000E+02 4.447000E+03 9.010000E+02 2.159000E+03
6.800000E-03 2.104000E+03 3.510000E+02 9.190000E+02 4.554000E+03 9.140000E+02 2.168000E+03
6.900000E-03 2.132000E+03 3.640000E+02 9.270000E+02 4.651000E+03 9.220000E+02 2.168000E+03
7.000000E-03 2.192000E+03 3.640000E+02 9.150000E+02 4.764000E+03 9.410000E+02 2.183000E+03
7.100000E-03 2.235000E+03 3.810000E+02 9.250000E+02 4.864000E+03 9.460000E+02 2.204000E+03
7.200000E-03 2.288000E+03 3.870000E+02 9.280000E+02 4.969000E+03 9.490000E+02 2.218000E+03
