time 'electrons_from_Flavin' 'electrons_from_mtrC' '_electrons_stored_in_Flavin' '10XNapC-electrons_from_Flavin' '10XNapC-electrons_from_mtrC' '10XNapC-electrons_stored_in_Flavin'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 0.000000E+00 0.000000E+00 7.300000E+01 2.000000E+00 0.000000E+00 8.100000E+01
2.000000E-04 6.000000E+00 1.600000E+01 1.680000E+02 1.000000E+01 0.000000E+00 1.700000E+02
3.000000E-04 1.000000E+01 2.800000E+01 2.300000E+02 2.200000E+01 4.000000E+00 2.380000E+02
4.000000E-04 2.000000E+01 3.600000E+01 2.760000E+02 3.800000E+01 4.000000E+00 3.040000E+02
5.000000E-04 3.000000E+01 4.000000E+01 3.180000E+02 5.000000E+01 1.600000E+01 3.610000E+02
6.000000E-04 4.600000E+01 4.400000E+01 3.530000E+02 7.400000E+01 4.500000E+01 4.080000E+02
7.000000E-04 5.800000E+01 4.400000E+01 3.660000E+02 1.000000E+02 4.900000E+01 4.650000E+02
8.000000E-04 7.400000E+01 4.400000E+01 3.770000E+02 1.160000E+02 5.900000E+01 5.210000E+02
9.000000E-04 1.020000E+02 5.100000E+01 3.870000E+02 1.500000E+02 7.200000E+01 5.730000E+02
1.000000E-03 1.110000E+02 5.100000E+01 4.100000E+02 1.820000E+02 1.010000E+02 6.280000E+02
1.100000E-03 1.330000E+02 6.100000E+01 4.220000E+02 2.140000E+02 1.100000E+02 6.860000E+02
1.200000E-03 1.560000E+02 7.400000E+01 4.440000E+02 2.490000E+02 1.380000E+02 7.430000E+02
1.300000E-03 1.760000E+02 8.300000E+01 4.630000E+02 2.920000E+02 1.420000E+02 7.950000E+02
1.400000E-03 1.850000E+02 8.800000E+01 4.790000E+02 3.520000E+02 1.510000E+02 8.250000E+02
1.500000E-03 2.090000E+02 9.600000E+01 4.940000E+02 4.030000E+02 1.570000E+02 8.550000E+02
1.600000E-03 2.380000E+02 9.600000E+01 5.040000E+02 4.370000E+02 1.680000E+02 9.280000E+02
1.700000E-03 2.630000E+02 1.070000E+02 5.220000E+02 4.980000E+02 1.760000E+02 9.550000E+02
1.800000E-03 2.790000E+02 1.140000E+02 5.410000E+02 5.540000E+02 1.820000E+02 9.840000E+02
1.900000E-03 3.090000E+02 1.190000E+02 5.550000E+02 6.080000E+02 1.970000E+02 1.029000E+03
2.000000E-03 3.310000E+02 1.340000E+02 5.690000E+02 6.630000E+02 2.070000E+02 1.073000E+03
2.100000E-03 3.660000E+02 1.380000E+02 5.740000E+02 7.040000E+02 2.170000E+02 1.117000E+03
2.200000E-03 3.860000E+02 1.430000E+02 5.980000E+02 7.650000E+02 2.490000E+02 1.144000E+03
2.300000E-03 4.050000E+02 1.570000E+02 6.200000E+02 8.240000E+02 2.690000E+02 1.176000E+03
2.400000E-03 4.390000E+02 1.620000E+02 6.330000E+02 8.870000E+02 2.690000E+02 1.220000E+03
2.500000E-03 4.830000E+02 1.680000E+02 6.560000E+02 9.510000E+02 2.750000E+02 1.249000E+03
2.600000E-03 5.200000E+02 1.680000E+02 6.620000E+02 1.014000E+03 2.830000E+02 1.274000E+03
2.700000E-03 5.470000E+02 1.820000E+02 6.720000E+02 1.075000E+03 3.000000E+02 1.319000E+03
2.800000E-03 5.770000E+02 1.840000E+02 6.740000E+02 1.127000E+03 3.110000E+02 1.357000E+03
2.900000E-03 6.100000E+02 2.100000E+02 6.800000E+02 1.185000E+03 3.430000E+02 1.393000E+03
3.000000E-03 6.580000E+02 2.100000E+02 6.730000E+02 1.249000E+03 3.530000E+02 1.431000E+03
