 time E 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0 0.000000E+00
1.000000E-05 277 6.100000E+01
2.000000E-05 724 3.240000E+02
3.000000E-05 1366 7.670000E+02
4.000000E-05 2173 1.398000E+03
5.000000E-05 3032 2.065000E+03
6.000000E-05 3921 2.794000E+03
7.000000E-05 4818 3.515000E+03
8.000000E-05 5742 4.265000E+03
9.000000E-05 6627 4.986000E+03
1.000000E-04 7471 5.639000E+03
1.100000E-04 8432 6.390000E+03
1.200000E-04 9485 7.241000E+03
1.300000E-04 10542 8.107000E+03
1.400000E-04 11480 8.867000E+03
1.500000E-04 12383 9.610000E+03
1.600000E-04 13245 1.029900E+04
1.700000E-04 14165 1.100000E+04
1.800000E-04 15087 1.173200E+04
1.900000E-04 16031 1.249100E+04
2.000000E-04 17052 1.331200E+04
2.100000E-04 18045 1.408700E+04
2.200000E-04 19100 1.495000E+04
2.300000E-04 20048 1.572800E+04
2.400000E-04 20959 1.646700E+04
2.500000E-04 21881 1.722600E+04
2.600000E-04 22767 1.795400E+04
2.700000E-04 23696 1.868400E+04
2.800000E-04 24613 1.940300E+04
2.900000E-04 25574 2.015300E+04
3.000000E-04 26561 2.096500E+04
3.100000E-04 27515 2.171900E+04
3.200000E-04 28440 2.246900E+04
3.300000E-04 29437 2.326800E+04
3.400000E-04 30376 2.401900E+04
3.500000E-04 31341 2.478700E+04
3.600000E-04 32304 2.554500E+04
3.700000E-04 33265 2.632300E+04
3.800000E-04 34244 2.712200E+04
3.900000E-04 35211 2.789300E+04
4.000000E-04 36237 2.872300E+04
4.100000E-04 37247 2.954100E+04
4.200000E-04 38243 3.034700E+04
4.300000E-04 39294 3.119800E+04
4.400000E-04 40261 3.198000E+04
4.500000E-04 41257 3.278700E+04
4.600000E-04 42161 3.350100E+04
4.700000E-04 43097 3.425700E+04
4.800000E-04 44072 3.505700E+04
4.900000E-04 44943 3.575000E+04
5.000000E-04 45858 3.648700E+04
5.100000E-04 46716 3.716000E+04
5.200000E-04 47651 3.791300E+04
5.300000E-04 48669 3.872900E+04
5.400000E-04 49606 3.947500E+04
5.500000E-04 50559 4.026600E+04
5.600000E-04 51425 4.096500E+04
5.700000E-04 52401 4.173400E+04
5.800000E-04 53360 4.251300E+04
5.900000E-04 54290 4.324600E+04
6.000000E-04 55225 4.399800E+04
6.100000E-04 56133 4.473300E+04
6.200000E-04 57098 4.551400E+04
6.300000E-04 58027 4.624600E+04
6.400000E-04 58942 4.697700E+04
6.500000E-04 59867 4.772100E+04
6.600000E-04 60790 4.846600E+04
6.700000E-04 61710 4.922700E+04
6.800000E-04 62607 4.994200E+04
6.900000E-04 63539 5.067400E+04
7.000000E-04 64472 5.145100E+04
7.100000E-04 65404 5.218900E+04
7.200000E-04 66313 5.290000E+04
7.300000E-04 67300 5.370200E+04
7.400000E-04 68191 5.442900E+04
7.500000E-04 69090 5.515400E+04
7.600000E-04 70014 5.589500E+04
7.700000E-04 70935 5.662900E+04
7.800000E-04 71757 5.730100E+04
7.900000E-04 72659 5.799600E+04
8.000000E-04 73590 5.875600E+04
8.100000E-04 74517 5.949900E+04
8.200000E-04 75437 6.024500E+04
8.300000E-04 76346 6.099900E+04
8.400000E-04 77148 6.164600E+04
8.500000E-04 78066 6.238300E+04
8.600000E-04 78923 6.305600E+04
8.700000E-04 79846 6.378700E+04
8.800000E-04 80759 6.453200E+04
8.900000E-04 81595 6.520700E+04
9.000000E-04 82509 6.592300E+04
9.100000E-04 83420 6.666200E+04
9.200000E-04 84315 6.737400E+04
9.300000E-04 85198 6.808900E+04
9.400000E-04 86074 6.879300E+04
9.500000E-04 86945 6.948800E+04
9.600000E-04 87826 7.017800E+04
9.700000E-04 88756 7.090700E+04
9.800000E-04 89735 7.168700E+04
9.900000E-04 90700 7.246500E+04
1.000000E-03 91631 7.322100E+04
