 time E 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0 0.000000E+00
1.000000E-05 277 6.800000E+01
2.000000E-05 708 3.180000E+02
3.000000E-05 1340 7.650000E+02
4.000000E-05 2135 1.365000E+03
5.000000E-05 2939 1.993000E+03
6.000000E-05 3854 2.713000E+03
7.000000E-05 4814 3.465000E+03
8.000000E-05 5796 4.268000E+03
9.000000E-05 6836 5.121000E+03
1.000000E-04 7786 5.880000E+03
1.100000E-04 8693 6.609000E+03
1.200000E-04 9675 7.378000E+03
1.300000E-04 10602 8.132000E+03
1.400000E-04 11548 8.926000E+03
1.500000E-04 12420 9.625000E+03
1.600000E-04 13317 1.035700E+04
1.700000E-04 14184 1.106200E+04
1.800000E-04 15047 1.174700E+04
1.900000E-04 15902 1.241100E+04
2.000000E-04 16810 1.312300E+04
2.100000E-04 17781 1.389600E+04
2.200000E-04 18716 1.464600E+04
2.300000E-04 19695 1.543800E+04
2.400000E-04 20701 1.624800E+04
2.500000E-04 21695 1.705900E+04
2.600000E-04 22676 1.782200E+04
2.700000E-04 23678 1.863200E+04
2.800000E-04 24685 1.945400E+04
2.900000E-04 25736 2.030500E+04
3.000000E-04 26725 2.108900E+04
3.100000E-04 27752 2.190400E+04
3.200000E-04 28699 2.268800E+04
3.300000E-04 29584 2.342000E+04
3.400000E-04 30456 2.411900E+04
3.500000E-04 31347 2.484200E+04
3.600000E-04 32234 2.554700E+04
3.700000E-04 33056 2.620200E+04
3.800000E-04 33936 2.690900E+04
3.900000E-04 34887 2.764500E+04
4.000000E-04 35797 2.836200E+04
4.100000E-04 36739 2.911900E+04
4.200000E-04 37639 2.985200E+04
4.300000E-04 38540 3.057300E+04
4.400000E-04 39449 3.128600E+04
4.500000E-04 40429 3.205600E+04
4.600000E-04 41406 3.284700E+04
4.700000E-04 42425 3.364700E+04
4.800000E-04 43449 3.445900E+04
4.900000E-04 44511 3.530800E+04
5.000000E-04 45565 3.615100E+04
5.100000E-04 46530 3.695700E+04
5.200000E-04 47577 3.778800E+04
5.300000E-04 48586 3.860100E+04
5.400000E-04 49593 3.940200E+04
5.500000E-04 50671 4.026300E+04
5.600000E-04 51667 4.108400E+04
5.700000E-04 52644 4.188400E+04
5.800000E-04 53562 4.262900E+04
5.900000E-04 54505 4.339600E+04
6.000000E-04 55444 4.414000E+04
6.100000E-04 56403 4.491900E+04
6.200000E-04 57312 4.564300E+04
6.300000E-04 58193 4.635900E+04
6.400000E-04 59128 4.709800E+04
6.500000E-04 60085 4.787300E+04
6.600000E-04 61062 4.866300E+04
6.700000E-04 62055 4.946000E+04
6.800000E-04 63087 5.028900E+04
6.900000E-04 64077 5.111800E+04
7.000000E-04 64993 5.183500E+04
7.100000E-04 65885 5.254300E+04
7.200000E-04 66835 5.332500E+04
7.300000E-04 67789 5.407600E+04
7.400000E-04 68669 5.478100E+04
7.500000E-04 69646 5.557900E+04
7.600000E-04 70559 5.630100E+04
7.700000E-04 71524 5.709200E+04
7.800000E-04 72498 5.785800E+04
7.900000E-04 73511 5.866700E+04
8.000000E-04 74499 5.944700E+04
8.100000E-04 75518 6.026700E+04
8.200000E-04 76490 6.106900E+04
8.300000E-04 77478 6.186300E+04
8.400000E-04 78445 6.264800E+04
8.500000E-04 79375 6.339600E+04
8.600000E-04 80308 6.415100E+04
8.700000E-04 81222 6.486700E+04
8.800000E-04 82171 6.562100E+04
8.900000E-04 83144 6.641400E+04
9.000000E-04 84143 6.722200E+04
9.100000E-04 85054 6.796500E+04
9.200000E-04 86021 6.873600E+04
9.300000E-04 86949 6.946800E+04
9.400000E-04 87861 7.019000E+04
9.500000E-04 88825 7.095300E+04
9.600000E-04 89833 7.175200E+04
9.700000E-04 90857 7.258500E+04
9.800000E-04 91833 7.336900E+04
9.900000E-04 92751 7.408900E+04
1.000000E-03 93671 7.482500E+04
