 time E 'mtrCAB_electrons_from_SolubleIron' 'mtrCAB_electrons_from_mtrB'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 483 5.600000E+01 0.000000E+00
2.000000E-05 1114 2.830000E+02 1.600000E+01
3.000000E-05 1922 6.620000E+02 2.900000E+01
4.000000E-05 2757 1.078000E+03 5.600000E+01
5.000000E-05 3677 1.578000E+03 1.600000E+02
6.000000E-05 4693 2.132000E+03 2.720000E+02
7.000000E-05 5644 2.657000E+03 3.610000E+02
8.000000E-05 6564 3.218000E+03 4.640000E+02
9.000000E-05 7521 3.753000E+03 5.240000E+02
1.000000E-04 8457 4.309000E+03 5.960000E+02
1.100000E-04 9378 4.839000E+03 7.130000E+02
1.200000E-04 10273 5.338000E+03 8.040000E+02
1.300000E-04 11142 5.796000E+03 8.540000E+02
1.400000E-04 12064 6.303000E+03 9.150000E+02
1.500000E-04 13018 6.868000E+03 9.530000E+02
1.600000E-04 13972 7.452000E+03 1.025000E+03
1.700000E-04 14885 7.959000E+03 1.107000E+03
1.800000E-04 15891 8.552000E+03 1.203000E+03
1.900000E-04 16831 9.075000E+03 1.285000E+03
2.000000E-04 17781 9.631000E+03 1.368000E+03
2.100000E-04 18738 1.018700E+04 1.449000E+03
2.200000E-04 19755 1.079100E+04 1.539000E+03
2.300000E-04 20733 1.136700E+04 1.610000E+03
2.400000E-04 21684 1.192800E+04 1.665000E+03
2.500000E-04 22600 1.243700E+04 1.763000E+03
2.600000E-04 23554 1.299200E+04 1.847000E+03
2.700000E-04 24513 1.352900E+04 1.951000E+03
2.800000E-04 25535 1.413700E+04 1.985000E+03
2.900000E-04 26507 1.472500E+04 2.020000E+03
3.000000E-04 27513 1.530700E+04 2.071000E+03
3.100000E-04 28477 1.583700E+04 2.143000E+03
3.200000E-04 29445 1.638300E+04 2.209000E+03
3.300000E-04 30399 1.693600E+04 2.248000E+03
3.400000E-04 31405 1.749900E+04 2.318000E+03
3.500000E-04 32468 1.814200E+04 2.357000E+03
3.600000E-04 33533 1.877600E+04 2.442000E+03
3.700000E-04 34636 1.945800E+04 2.522000E+03
3.800000E-04 35686 2.006500E+04 2.605000E+03
3.900000E-04 36699 2.066600E+04 2.657000E+03
4.000000E-04 37700 2.122600E+04 2.739000E+03
4.100000E-04 38646 2.179200E+04 2.829000E+03
4.200000E-04 39588 2.234200E+04 2.881000E+03
4.300000E-04 40544 2.289700E+04 2.975000E+03
4.400000E-04 41395 2.336200E+04 3.006000E+03
4.500000E-04 42282 2.385000E+04 3.068000E+03
4.600000E-04 43167 2.437200E+04 3.134000E+03
4.700000E-04 44032 2.486200E+04 3.206000E+03
4.800000E-04 44981 2.540400E+04 3.313000E+03
4.900000E-04 45915 2.595100E+04 3.365000E+03
5.000000E-04 46853 2.648100E+04 3.436000E+03
5.100000E-04 47864 2.706100E+04 3.483000E+03
5.200000E-04 48857 2.765000E+04 3.531000E+03
5.300000E-04 49799 2.822400E+04 3.602000E+03
5.400000E-04 50720 2.877400E+04 3.687000E+03
5.500000E-04 51662 2.930600E+04 3.780000E+03
5.600000E-04 52632 2.984500E+04 3.857000E+03
5.700000E-04 53634 3.042900E+04 3.966000E+03
5.800000E-04 54628 3.101800E+04 4.054000E+03
5.900000E-04 55612 3.157900E+04 4.100000E+03
6.000000E-04 56531 3.211200E+04 4.206000E+03
6.100000E-04 57390 3.256800E+04 4.333000E+03
6.200000E-04 58276 3.304500E+04 4.390000E+03
6.300000E-04 59201 3.356500E+04 4.474000E+03
6.400000E-04 60102 3.404300E+04 4.530000E+03
6.500000E-04 60992 3.453400E+04 4.574000E+03
6.600000E-04 61937 3.510400E+04 4.674000E+03
6.700000E-04 62909 3.568000E+04 4.729000E+03
6.800000E-04 63883 3.626900E+04 4.769000E+03
6.900000E-04 64866 3.683500E+04 4.868000E+03
7.000000E-04 65780 3.733900E+04 4.922000E+03
7.100000E-04 66646 3.785100E+04 5.016000E+03
7.200000E-04 67499 3.834000E+04 5.081000E+03
7.300000E-04 68391 3.885600E+04 5.146000E+03
7.400000E-04 69273 3.935500E+04 5.233000E+03
7.500000E-04 70176 3.984900E+04 5.286000E+03
7.600000E-04 71164 4.038200E+04 5.379000E+03
7.700000E-04 72092 4.088900E+04 5.440000E+03
7.800000E-04 73019 4.141800E+04 5.537000E+03
7.900000E-04 73989 4.195800E+04 5.595000E+03
8.000000E-04 74929 4.249800E+04 5.662000E+03
8.100000E-04 75819 4.298700E+04 5.729000E+03
8.200000E-04 76802 4.354800E+04 5.813000E+03
8.300000E-04 77772 4.407900E+04 5.887000E+03
8.400000E-04 78760 4.465100E+04 5.943000E+03
8.500000E-04 79801 4.525000E+04 6.007000E+03
8.600000E-04 80737 4.582400E+04 6.049000E+03
8.700000E-04 81653 4.637700E+04 6.116000E+03
8.800000E-04 82621 4.690900E+04 6.167000E+03
8.900000E-04 83539 4.744100E+04 6.251000E+03
9.000000E-04 84589 4.805100E+04 6.335000E+03
9.100000E-04 85600 4.868200E+04 6.383000E+03
9.200000E-04 86600 4.926800E+04 6.451000E+03
9.300000E-04 87712 4.991900E+04 6.535000E+03
9.400000E-04 88743 5.051900E+04 6.590000E+03
9.500000E-04 89794 5.113900E+04 6.696000E+03
9.600000E-04 90785 5.172300E+04 6.790000E+03
9.700000E-04 91772 5.228400E+04 6.879000E+03
9.800000E-04 92733 5.285400E+04 6.958000E+03
9.900000E-04 93689 5.335900E+04 7.029000E+03
1.000000E-03 94615 5.387100E+04 7.097000E+03
