 time E 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0 0.000000E+00
1.000000E-05 281 6.600000E+01
2.000000E-05 729 3.440000E+02
3.000000E-05 1352 7.730000E+02
4.000000E-05 2062 1.320000E+03
5.000000E-05 2908 1.961000E+03
6.000000E-05 3858 2.707000E+03
7.000000E-05 4857 3.514000E+03
8.000000E-05 5848 4.316000E+03
9.000000E-05 6851 5.124000E+03
1.000000E-04 7880 5.966000E+03
1.100000E-04 8871 6.776000E+03
1.200000E-04 9851 7.557000E+03
1.300000E-04 10828 8.348000E+03
1.400000E-04 11752 9.083000E+03
1.500000E-04 12727 9.871000E+03
1.600000E-04 13696 1.064100E+04
1.700000E-04 14617 1.137600E+04
1.800000E-04 15580 1.213900E+04
1.900000E-04 16543 1.290200E+04
2.000000E-04 17506 1.369500E+04
2.100000E-04 18436 1.444700E+04
2.200000E-04 19368 1.518100E+04
2.300000E-04 20270 1.593400E+04
2.400000E-04 21143 1.665800E+04
2.500000E-04 22028 1.735600E+04
2.600000E-04 22920 1.805700E+04
2.700000E-04 23796 1.874900E+04
2.800000E-04 24718 1.948100E+04
2.900000E-04 25646 2.021900E+04
3.000000E-04 26635 2.100100E+04
3.100000E-04 27552 2.175500E+04
3.200000E-04 28458 2.248800E+04
3.300000E-04 29419 2.325400E+04
3.400000E-04 30375 2.402100E+04
3.500000E-04 31321 2.476500E+04
3.600000E-04 32361 2.558500E+04
3.700000E-04 33367 2.640900E+04
3.800000E-04 34350 2.721700E+04
3.900000E-04 35216 2.790700E+04
4.000000E-04 36119 2.862700E+04
4.100000E-04 37058 2.937200E+04
4.200000E-04 37982 3.011500E+04
4.300000E-04 38926 3.088200E+04
4.400000E-04 39821 3.160300E+04
4.500000E-04 40749 3.234400E+04
4.600000E-04 41773 3.316700E+04
4.700000E-04 42746 3.396200E+04
4.800000E-04 43687 3.472100E+04
4.900000E-04 44624 3.546100E+04
5.000000E-04 45564 3.622700E+04
5.100000E-04 46504 3.698400E+04
5.200000E-04 47453 3.775000E+04
5.300000E-04 48382 3.849900E+04
5.400000E-04 49303 3.923000E+04
5.500000E-04 50283 4.000500E+04
5.600000E-04 51225 4.078100E+04
5.700000E-04 52186 4.155300E+04
5.800000E-04 53157 4.234300E+04
5.900000E-04 54157 4.314200E+04
6.000000E-04 55220 4.397400E+04
6.100000E-04 56160 4.473700E+04
6.200000E-04 57140 4.552000E+04
6.300000E-04 58144 4.631800E+04
6.400000E-04 59083 4.706200E+04
6.500000E-04 60114 4.790900E+04
6.600000E-04 61078 4.867600E+04
6.700000E-04 61989 4.941800E+04
6.800000E-04 62942 5.020200E+04
6.900000E-04 63927 5.098600E+04
7.000000E-04 64843 5.171900E+04
7.100000E-04 65806 5.248800E+04
7.200000E-04 66708 5.322100E+04
7.300000E-04 67630 5.396400E+04
7.400000E-04 68623 5.476100E+04
7.500000E-04 69546 5.550900E+04
7.600000E-04 70473 5.622000E+04
7.700000E-04 71400 5.695900E+04
7.800000E-04 72429 5.778400E+04
7.900000E-04 73345 5.855200E+04
8.000000E-04 74341 5.936700E+04
8.100000E-04 75189 6.003200E+04
8.200000E-04 76150 6.079100E+04
8.300000E-04 77103 6.155900E+04
8.400000E-04 78026 6.230500E+04
8.500000E-04 78929 6.301200E+04
8.600000E-04 79836 6.374500E+04
8.700000E-04 80814 6.452900E+04
8.800000E-04 81724 6.527200E+04
8.900000E-04 82629 6.599300E+04
9.000000E-04 83511 6.669100E+04
9.100000E-04 84450 6.743700E+04
9.200000E-04 85388 6.818400E+04
9.300000E-04 86377 6.898800E+04
9.400000E-04 87271 6.970200E+04
9.500000E-04 88173 7.043600E+04
9.600000E-04 89101 7.119100E+04
9.700000E-04 90069 7.195800E+04
9.800000E-04 91039 7.274400E+04
9.900000E-04 92049 7.356500E+04
1.000000E-03 92973 7.434100E+04
