 time E 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0 0.000000E+00
1.000000E-05 279 6.100000E+01
2.000000E-05 660 2.770000E+02
3.000000E-05 1240 6.730000E+02
4.000000E-05 1953 1.230000E+03
5.000000E-05 2773 1.862000E+03
6.000000E-05 3685 2.576000E+03
7.000000E-05 4587 3.302000E+03
8.000000E-05 5591 4.092000E+03
9.000000E-05 6557 4.890000E+03
1.000000E-04 7497 5.641000E+03
1.100000E-04 8469 6.400000E+03
1.200000E-04 9380 7.146000E+03
1.300000E-04 10393 7.948000E+03
1.400000E-04 11422 8.783000E+03
1.500000E-04 12455 9.621000E+03
1.600000E-04 13473 1.044100E+04
1.700000E-04 14438 1.122400E+04
1.800000E-04 15407 1.198400E+04
1.900000E-04 16377 1.275200E+04
2.000000E-04 17409 1.359800E+04
2.100000E-04 18420 1.440100E+04
2.200000E-04 19435 1.523400E+04
2.300000E-04 20485 1.609200E+04
2.400000E-04 21461 1.687800E+04
2.500000E-04 22432 1.764100E+04
2.600000E-04 23436 1.844700E+04
2.700000E-04 24433 1.925600E+04
2.800000E-04 25402 2.004900E+04
2.900000E-04 26392 2.084000E+04
3.000000E-04 27341 2.161000E+04
3.100000E-04 28339 2.243100E+04
3.200000E-04 29275 2.316100E+04
3.300000E-04 30210 2.391200E+04
3.400000E-04 31162 2.469500E+04
3.500000E-04 32092 2.545100E+04
3.600000E-04 33083 2.623900E+04
3.700000E-04 33966 2.695900E+04
3.800000E-04 34910 2.772900E+04
3.900000E-04 35858 2.849600E+04
4.000000E-04 36762 2.920900E+04
4.100000E-04 37666 2.995000E+04
4.200000E-04 38607 3.072000E+04
4.300000E-04 39534 3.148300E+04
4.400000E-04 40385 3.216300E+04
4.500000E-04 41211 3.280900E+04
4.600000E-04 42129 3.354400E+04
4.700000E-04 43034 3.427000E+04
4.800000E-04 43936 3.499700E+04
4.900000E-04 44837 3.571600E+04
5.000000E-04 45767 3.647800E+04
5.100000E-04 46632 3.718100E+04
5.200000E-04 47537 3.789900E+04
5.300000E-04 48437 3.862300E+04
5.400000E-04 49359 3.936200E+04
5.500000E-04 50267 4.011300E+04
5.600000E-04 51117 4.079400E+04
5.700000E-04 51955 4.145200E+04
5.800000E-04 52867 4.213800E+04
5.900000E-04 53836 4.291300E+04
6.000000E-04 54844 4.371800E+04
6.100000E-04 55869 4.455300E+04
6.200000E-04 56908 4.539700E+04
6.300000E-04 57911 4.621500E+04
6.400000E-04 58887 4.702800E+04
6.500000E-04 59862 4.781800E+04
6.600000E-04 60816 4.859400E+04
6.700000E-04 61736 4.933100E+04
6.800000E-04 62631 5.005600E+04
6.900000E-04 63541 5.079300E+04
7.000000E-04 64453 5.153200E+04
7.100000E-04 65387 5.225700E+04
7.200000E-04 66381 5.304300E+04
7.300000E-04 67335 5.380400E+04
7.400000E-04 68297 5.458200E+04
7.500000E-04 69243 5.533400E+04
7.600000E-04 70271 5.614800E+04
7.700000E-04 71345 5.701400E+04
7.800000E-04 72377 5.783400E+04
7.900000E-04 73419 5.868000E+04
8.000000E-04 74402 5.948100E+04
8.100000E-04 75329 6.023600E+04
8.200000E-04 76276 6.099800E+04
8.300000E-04 77210 6.175700E+04
8.400000E-04 78089 6.246600E+04
8.500000E-04 79024 6.320900E+04
8.600000E-04 79939 6.396500E+04
8.700000E-04 80818 6.468200E+04
8.800000E-04 81683 6.540100E+04
8.900000E-04 82543 6.607000E+04
9.000000E-04 83389 6.673500E+04
9.100000E-04 84195 6.736400E+04
9.200000E-04 85111 6.809300E+04
9.300000E-04 86107 6.889300E+04
9.400000E-04 87049 6.964500E+04
9.500000E-04 88029 7.043200E+04
9.600000E-04 89004 7.122400E+04
9.700000E-04 90004 7.204000E+04
9.800000E-04 91001 7.283900E+04
9.900000E-04 91951 7.358300E+04
1.000000E-03 92930 7.437300E+04
