 time E 'mtrCAB_electrons_from_SolubleIron' 'mtrCAB_electrons_from_mtrB'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 466 4.800000E+01 0.000000E+00
2.000000E-05 1023 2.250000E+02 2.000000E+01
3.000000E-05 1709 5.290000E+02 5.800000E+01
4.000000E-05 2601 9.660000E+02 1.100000E+02
5.000000E-05 3508 1.474000E+03 1.560000E+02
6.000000E-05 4539 2.055000E+03 2.150000E+02
7.000000E-05 5434 2.586000E+03 2.680000E+02
8.000000E-05 6402 3.140000E+03 3.300000E+02
9.000000E-05 7405 3.701000E+03 3.650000E+02
1.000000E-04 8318 4.235000E+03 4.390000E+02
1.100000E-04 9246 4.765000E+03 5.030000E+02
1.200000E-04 10194 5.331000E+03 5.770000E+02
1.300000E-04 11127 5.818000E+03 6.380000E+02
1.400000E-04 12061 6.336000E+03 6.650000E+02
1.500000E-04 12962 6.845000E+03 7.290000E+02
1.600000E-04 13950 7.397000E+03 7.770000E+02
1.700000E-04 14971 8.000000E+03 8.270000E+02
1.800000E-04 15930 8.564000E+03 8.750000E+02
1.900000E-04 16861 9.104000E+03 1.007000E+03
2.000000E-04 17815 9.674000E+03 1.050000E+03
2.100000E-04 18760 1.020600E+04 1.100000E+03
2.200000E-04 19754 1.076500E+04 1.223000E+03
2.300000E-04 20672 1.128800E+04 1.301000E+03
2.400000E-04 21645 1.184800E+04 1.388000E+03
2.500000E-04 22563 1.234500E+04 1.436000E+03
2.600000E-04 23446 1.286200E+04 1.490000E+03
2.700000E-04 24402 1.339400E+04 1.536000E+03
2.800000E-04 25326 1.392800E+04 1.640000E+03
2.900000E-04 26309 1.447600E+04 1.756000E+03
3.000000E-04 27286 1.505500E+04 1.802000E+03
3.100000E-04 28200 1.557800E+04 1.864000E+03
3.200000E-04 29211 1.613500E+04 1.928000E+03
3.300000E-04 30143 1.667200E+04 2.022000E+03
3.400000E-04 31134 1.727200E+04 2.080000E+03
3.500000E-04 32116 1.784400E+04 2.159000E+03
3.600000E-04 33022 1.835700E+04 2.249000E+03
3.700000E-04 33995 1.895300E+04 2.322000E+03
3.800000E-04 34919 1.947600E+04 2.372000E+03
3.900000E-04 35880 1.999800E+04 2.423000E+03
4.000000E-04 36889 2.058300E+04 2.472000E+03
4.100000E-04 37860 2.116200E+04 2.560000E+03
4.200000E-04 38849 2.175700E+04 2.687000E+03
4.300000E-04 39808 2.231900E+04 2.782000E+03
4.400000E-04 40776 2.285400E+04 2.825000E+03
4.500000E-04 41802 2.344600E+04 2.888000E+03
4.600000E-04 42728 2.399100E+04 2.951000E+03
4.700000E-04 43718 2.455500E+04 3.029000E+03
4.800000E-04 44703 2.512400E+04 3.090000E+03
4.900000E-04 45649 2.564800E+04 3.152000E+03
5.000000E-04 46699 2.625200E+04 3.214000E+03
5.100000E-04 47677 2.683900E+04 3.312000E+03
5.200000E-04 48601 2.739100E+04 3.410000E+03
5.300000E-04 49588 2.799000E+04 3.488000E+03
5.400000E-04 50489 2.851100E+04 3.577000E+03
5.500000E-04 51458 2.908100E+04 3.642000E+03
5.600000E-04 52402 2.963200E+04 3.676000E+03
5.700000E-04 53304 3.020100E+04 3.734000E+03
5.800000E-04 54285 3.077500E+04 3.840000E+03
5.900000E-04 55214 3.131300E+04 3.949000E+03
6.000000E-04 56157 3.182000E+04 4.002000E+03
6.100000E-04 57157 3.239500E+04 4.064000E+03
6.200000E-04 58191 3.297700E+04 4.136000E+03
6.300000E-04 59156 3.353500E+04 4.218000E+03
6.400000E-04 60158 3.411200E+04 4.277000E+03
6.500000E-04 61099 3.466000E+04 4.361000E+03
6.600000E-04 62065 3.520800E+04 4.438000E+03
6.700000E-04 63000 3.576600E+04 4.502000E+03
6.800000E-04 63919 3.628300E+04 4.540000E+03
6.900000E-04 64807 3.678500E+04 4.617000E+03
7.000000E-04 65768 3.732900E+04 4.675000E+03
7.100000E-04 66717 3.787500E+04 4.746000E+03
7.200000E-04 67639 3.840700E+04 4.824000E+03
7.300000E-04 68566 3.890100E+04 4.915000E+03
7.400000E-04 69481 3.943100E+04 4.973000E+03
7.500000E-04 70428 3.998400E+04 5.051000E+03
7.600000E-04 71392 4.055400E+04 5.141000E+03
7.700000E-04 72334 4.112000E+04 5.182000E+03
7.800000E-04 73268 4.167500E+04 5.274000E+03
7.900000E-04 74231 4.224200E+04 5.360000E+03
8.000000E-04 75206 4.280500E+04 5.444000E+03
8.100000E-04 76160 4.334200E+04 5.553000E+03
8.200000E-04 77120 4.387700E+04 5.657000E+03
8.300000E-04 78141 4.445000E+04 5.754000E+03
8.400000E-04 79046 4.497400E+04 5.829000E+03
8.500000E-04 79935 4.549100E+04 5.915000E+03
8.600000E-04 80862 4.600800E+04 5.979000E+03
8.700000E-04 81880 4.657400E+04 6.006000E+03
8.800000E-04 82767 4.713000E+04 6.046000E+03
8.900000E-04 83675 4.761700E+04 6.146000E+03
9.000000E-04 84601 4.814200E+04 6.206000E+03
9.100000E-04 85541 4.867900E+04 6.281000E+03
9.200000E-04 86446 4.917400E+04 6.390000E+03
9.300000E-04 87338 4.968900E+04 6.426000E+03
9.400000E-04 88290 5.022200E+04 6.546000E+03
9.500000E-04 89245 5.077900E+04 6.614000E+03
9.600000E-04 90183 5.134800E+04 6.728000E+03
9.700000E-04 91117 5.187800E+04 6.784000E+03
9.800000E-04 92019 5.239100E+04 6.834000E+03
9.900000E-04 92929 5.286800E+04 6.913000E+03
1.000000E-03 93786 5.335300E+04 6.986000E+03
