 time E 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0 0.000000E+00
1.000000E-05 307 7.000000E+01
2.000000E-05 790 3.580000E+02
3.000000E-05 1445 8.260000E+02
4.000000E-05 2284 1.480000E+03
5.000000E-05 3158 2.183000E+03
6.000000E-05 4165 3.001000E+03
7.000000E-05 5103 3.761000E+03
8.000000E-05 6041 4.514000E+03
9.000000E-05 7004 5.290000E+03
1.000000E-04 7945 6.022000E+03
1.100000E-04 8892 6.764000E+03
1.200000E-04 9853 7.534000E+03
1.300000E-04 10873 8.346000E+03
1.400000E-04 11844 9.132000E+03
1.500000E-04 12841 9.940000E+03
1.600000E-04 13714 1.066500E+04
1.700000E-04 14600 1.139400E+04
1.800000E-04 15457 1.207900E+04
1.900000E-04 16304 1.275600E+04
2.000000E-04 17221 1.347500E+04
2.100000E-04 18064 1.412900E+04
2.200000E-04 19010 1.489800E+04
2.300000E-04 19962 1.564800E+04
2.400000E-04 20953 1.644300E+04
2.500000E-04 21935 1.723100E+04
2.600000E-04 22809 1.794600E+04
2.700000E-04 23720 1.868000E+04
2.800000E-04 24663 1.945600E+04
2.900000E-04 25571 2.016900E+04
3.000000E-04 26535 2.095200E+04
3.100000E-04 27481 2.170100E+04
3.200000E-04 28483 2.250800E+04
3.300000E-04 29338 2.321400E+04
3.400000E-04 30244 2.395400E+04
3.500000E-04 31150 2.468300E+04
3.600000E-04 31967 2.532400E+04
3.700000E-04 32842 2.601300E+04
3.800000E-04 33839 2.679900E+04
3.900000E-04 34833 2.759000E+04
4.000000E-04 35797 2.836500E+04
4.100000E-04 36781 2.916500E+04
4.200000E-04 37695 2.990800E+04
4.300000E-04 38594 3.062500E+04
4.400000E-04 39571 3.140700E+04
4.500000E-04 40506 3.217800E+04
4.600000E-04 41494 3.294800E+04
4.700000E-04 42427 3.370200E+04
4.800000E-04 43356 3.445900E+04
4.900000E-04 44308 3.522100E+04
5.000000E-04 45237 3.595900E+04
5.100000E-04 46198 3.673600E+04
5.200000E-04 47175 3.751700E+04
5.300000E-04 48090 3.825900E+04
5.400000E-04 48969 3.896700E+04
5.500000E-04 49899 3.972400E+04
5.600000E-04 50869 4.046800E+04
5.700000E-04 51849 4.126100E+04
5.800000E-04 52881 4.208600E+04
5.900000E-04 53923 4.293500E+04
6.000000E-04 54901 4.371400E+04
6.100000E-04 55838 4.447500E+04
6.200000E-04 56807 4.522500E+04
6.300000E-04 57769 4.599900E+04
6.400000E-04 58705 4.676400E+04
6.500000E-04 59636 4.753200E+04
6.600000E-04 60542 4.825500E+04
6.700000E-04 61446 4.897000E+04
6.800000E-04 62371 4.970900E+04
6.900000E-04 63319 5.045400E+04
7.000000E-04 64322 5.123900E+04
7.100000E-04 65236 5.200500E+04
7.200000E-04 66158 5.273000E+04
7.300000E-04 67139 5.352500E+04
7.400000E-04 68073 5.429500E+04
7.500000E-04 68999 5.503900E+04
7.600000E-04 69973 5.583000E+04
7.700000E-04 70838 5.652200E+04
7.800000E-04 71774 5.726500E+04
7.900000E-04 72694 5.798800E+04
8.000000E-04 73702 5.880300E+04
8.100000E-04 74623 5.954200E+04
8.200000E-04 75494 6.024300E+04
8.300000E-04 76390 6.093400E+04
8.400000E-04 77292 6.165700E+04
8.500000E-04 78243 6.244500E+04
8.600000E-04 79184 6.318100E+04
8.700000E-04 80150 6.394000E+04
8.800000E-04 81044 6.468300E+04
8.900000E-04 82015 6.547100E+04
9.000000E-04 82918 6.620000E+04
9.100000E-04 83821 6.692000E+04
9.200000E-04 84760 6.766700E+04
9.300000E-04 85702 6.840900E+04
9.400000E-04 86633 6.916000E+04
9.500000E-04 87558 6.990400E+04
9.600000E-04 88475 7.064700E+04
9.700000E-04 89420 7.139500E+04
9.800000E-04 90407 7.218400E+04
9.900000E-04 91445 7.299100E+04
1.000000E-03 92487 7.384500E+04
