 time E 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0 0.000000E+00
1.000000E-05 355 9.900000E+01
2.000000E-05 813 3.960000E+02
3.000000E-05 1480 8.710000E+02
4.000000E-05 2238 1.459000E+03
5.000000E-05 3094 2.148000E+03
6.000000E-05 4028 2.892000E+03
7.000000E-05 4984 3.647000E+03
8.000000E-05 5980 4.449000E+03
9.000000E-05 6925 5.198000E+03
1.000000E-04 7892 5.966000E+03
1.100000E-04 8960 6.829000E+03
1.200000E-04 9905 7.597000E+03
1.300000E-04 10880 8.369000E+03
1.400000E-04 11836 9.153000E+03
1.500000E-04 12764 9.911000E+03
1.600000E-04 13625 1.060400E+04
1.700000E-04 14554 1.135200E+04
1.800000E-04 15523 1.212000E+04
1.900000E-04 16487 1.288400E+04
2.000000E-04 17466 1.366600E+04
2.100000E-04 18564 1.454800E+04
2.200000E-04 19574 1.536200E+04
2.300000E-04 20590 1.618900E+04
2.400000E-04 21510 1.694300E+04
2.500000E-04 22478 1.771500E+04
2.600000E-04 23466 1.849500E+04
2.700000E-04 24428 1.926900E+04
2.800000E-04 25424 2.005400E+04
2.900000E-04 26433 2.087600E+04
3.000000E-04 27407 2.166800E+04
3.100000E-04 28386 2.245600E+04
3.200000E-04 29290 2.319900E+04
3.300000E-04 30192 2.390600E+04
3.400000E-04 31108 2.462600E+04
3.500000E-04 32037 2.537900E+04
3.600000E-04 33024 2.615700E+04
3.700000E-04 34038 2.697900E+04
3.800000E-04 34966 2.772500E+04
3.900000E-04 35874 2.846700E+04
4.000000E-04 36850 2.925900E+04
4.100000E-04 37782 3.001000E+04
4.200000E-04 38677 3.074300E+04
4.300000E-04 39577 3.146000E+04
4.400000E-04 40449 3.213800E+04
4.500000E-04 41389 3.289500E+04
4.600000E-04 42290 3.364000E+04
4.700000E-04 43135 3.432300E+04
4.800000E-04 43965 3.498000E+04
4.900000E-04 44862 3.567800E+04
5.000000E-04 45807 3.641600E+04
5.100000E-04 46723 3.715600E+04
5.200000E-04 47626 3.788600E+04
5.300000E-04 48522 3.861600E+04
5.400000E-04 49467 3.935800E+04
5.500000E-04 50420 4.012000E+04
5.600000E-04 51363 4.088700E+04
5.700000E-04 52327 4.167500E+04
5.800000E-04 53313 4.245900E+04
5.900000E-04 54242 4.320600E+04
6.000000E-04 55200 4.397000E+04
6.100000E-04 56189 4.476000E+04
6.200000E-04 57154 4.554600E+04
6.300000E-04 58045 4.624200E+04
6.400000E-04 59059 4.703700E+04
6.500000E-04 60046 4.782500E+04
6.600000E-04 61062 4.865300E+04
6.700000E-04 62036 4.945500E+04
6.800000E-04 63079 5.028500E+04
6.900000E-04 64051 5.106900E+04
7.000000E-04 65026 5.185900E+04
7.100000E-04 65984 5.265600E+04
7.200000E-04 66883 5.335300E+04
7.300000E-04 67843 5.411300E+04
7.400000E-04 68767 5.485600E+04
7.500000E-04 69789 5.568400E+04
7.600000E-04 70849 5.652000E+04
7.700000E-04 71852 5.731600E+04
7.800000E-04 72854 5.813600E+04
7.900000E-04 73936 5.899000E+04
8.000000E-04 74910 5.978400E+04
8.100000E-04 75928 6.060400E+04
8.200000E-04 76955 6.144100E+04
8.300000E-04 77904 6.221200E+04
8.400000E-04 78871 6.298500E+04
8.500000E-04 79918 6.384000E+04
8.600000E-04 80900 6.463100E+04
8.700000E-04 81823 6.537400E+04
8.800000E-04 82756 6.610900E+04
8.900000E-04 83737 6.687400E+04
9.000000E-04 84639 6.760400E+04
9.100000E-04 85621 6.840400E+04
9.200000E-04 86580 6.917800E+04
9.300000E-04 87465 6.988700E+04
9.400000E-04 88411 7.063500E+04
9.500000E-04 89367 7.138500E+04
9.600000E-04 90296 7.213700E+04
9.700000E-04 91274 7.290300E+04
9.800000E-04 92285 7.371500E+04
9.900000E-04 93323 7.455500E+04
1.000000E-03 94281 7.534800E+04
