 time E 'mtrA_electrons_from_SolubleIron'
0.000000E+00 0 0.000000E+00
1.000000E-05 306 8.000000E+01
2.000000E-05 701 3.170000E+02
3.000000E-05 1332 7.620000E+02
4.000000E-05 2076 1.321000E+03
5.000000E-05 2943 1.992000E+03
6.000000E-05 3792 2.677000E+03
7.000000E-05 4711 3.412000E+03
8.000000E-05 5673 4.169000E+03
9.000000E-05 6639 4.922000E+03
1.000000E-04 7646 5.742000E+03
1.100000E-04 8615 6.533000E+03
1.200000E-04 9595 7.344000E+03
1.300000E-04 10608 8.131000E+03
1.400000E-04 11591 8.902000E+03
1.500000E-04 12588 9.726000E+03
1.600000E-04 13587 1.053800E+04
1.700000E-04 14567 1.132200E+04
1.800000E-04 15582 1.212700E+04
1.900000E-04 16543 1.290000E+04
2.000000E-04 17453 1.363500E+04
2.100000E-04 18359 1.436600E+04
2.200000E-04 19307 1.511700E+04
2.300000E-04 20320 1.593100E+04
2.400000E-04 21295 1.672100E+04
2.500000E-04 22292 1.750800E+04
2.600000E-04 23326 1.832800E+04
2.700000E-04 24325 1.914000E+04
2.800000E-04 25323 1.995900E+04
2.900000E-04 26269 2.071200E+04
3.000000E-04 27206 2.145200E+04
3.100000E-04 28129 2.220100E+04
3.200000E-04 29105 2.299000E+04
3.300000E-04 29994 2.368300E+04
3.400000E-04 30965 2.446500E+04
3.500000E-04 31968 2.527400E+04
3.600000E-04 32907 2.603900E+04
3.700000E-04 33868 2.679000E+04
3.800000E-04 34849 2.758800E+04
3.900000E-04 35847 2.839000E+04
4.000000E-04 36752 2.913300E+04
4.100000E-04 37652 2.984700E+04
4.200000E-04 38585 3.057800E+04
4.300000E-04 39536 3.134100E+04
4.400000E-04 40497 3.209400E+04
4.500000E-04 41522 3.292100E+04
4.600000E-04 42596 3.378800E+04
4.700000E-04 43599 3.460900E+04
4.800000E-04 44630 3.545100E+04
4.900000E-04 45585 3.620100E+04
5.000000E-04 46622 3.704000E+04
5.100000E-04 47605 3.781600E+04
5.200000E-04 48593 3.860100E+04
5.300000E-04 49619 3.942000E+04
5.400000E-04 50673 4.028200E+04
5.500000E-04 51708 4.114100E+04
5.600000E-04 52751 4.199200E+04
5.700000E-04 53804 4.284200E+04
5.800000E-04 54754 4.360800E+04
5.900000E-04 55689 4.434400E+04
6.000000E-04 56686 4.515100E+04
6.100000E-04 57615 4.588900E+04
6.200000E-04 58599 4.668500E+04
6.300000E-04 59568 4.746800E+04
6.400000E-04 60530 4.822500E+04
6.500000E-04 61473 4.897300E+04
6.600000E-04 62385 4.971300E+04
6.700000E-04 63388 5.052400E+04
6.800000E-04 64301 5.126000E+04
6.900000E-04 65247 5.202600E+04
7.000000E-04 66195 5.277200E+04
7.100000E-04 67155 5.354300E+04
7.200000E-04 68156 5.436200E+04
7.300000E-04 69140 5.515500E+04
7.400000E-04 70071 5.589100E+04
7.500000E-04 70993 5.664500E+04
7.600000E-04 71921 5.738800E+04
7.700000E-04 72873 5.814200E+04
7.800000E-04 73809 5.887900E+04
7.900000E-04 74785 5.964800E+04
8.000000E-04 75801 6.048500E+04
8.100000E-04 76795 6.128900E+04
8.200000E-04 77820 6.209800E+04
8.300000E-04 78772 6.285400E+04
8.400000E-04 79714 6.362300E+04
8.500000E-04 80708 6.440300E+04
8.600000E-04 81689 6.519900E+04
8.700000E-04 82674 6.600300E+04
8.800000E-04 83653 6.679400E+04
8.900000E-04 84591 6.757100E+04
9.000000E-04 85492 6.827600E+04
9.100000E-04 86427 6.904000E+04
9.200000E-04 87390 6.980200E+04
9.300000E-04 88291 7.052000E+04
9.400000E-04 89206 7.124200E+04
9.500000E-04 90189 7.202100E+04
9.600000E-04 91143 7.278200E+04
9.700000E-04 92094 7.355400E+04
9.800000E-04 93056 7.432800E+04
9.900000E-04 93979 7.506200E+04
1.000000E-03 94942 7.583100E+04
