 time E 'mtrCAB_electrons_from_SolubleIron' 'mtrCAB_electrons_from_mtrB'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 494 4.400000E+01 0.000000E+00
2.000000E-05 1054 2.330000E+02 2.800000E+01
3.000000E-05 1769 5.530000E+02 5.700000E+01
4.000000E-05 2578 9.540000E+02 1.360000E+02
5.000000E-05 3453 1.420000E+03 2.300000E+02
6.000000E-05 4379 1.959000E+03 2.750000E+02
7.000000E-05 5396 2.546000E+03 3.350000E+02
8.000000E-05 6401 3.152000E+03 3.870000E+02
9.000000E-05 7378 3.720000E+03 4.800000E+02
1.000000E-04 8321 4.254000E+03 5.570000E+02
1.100000E-04 9291 4.837000E+03 6.030000E+02
1.200000E-04 10252 5.389000E+03 6.770000E+02
1.300000E-04 11194 5.927000E+03 7.250000E+02
1.400000E-04 12170 6.473000E+03 7.830000E+02
1.500000E-04 13067 6.997000E+03 8.640000E+02
1.600000E-04 13979 7.510000E+03 9.650000E+02
1.700000E-04 14909 8.053000E+03 1.049000E+03
1.800000E-04 15879 8.614000E+03 1.168000E+03
1.900000E-04 16822 9.171000E+03 1.213000E+03
2.000000E-04 17748 9.708000E+03 1.312000E+03
2.100000E-04 18683 1.020400E+04 1.390000E+03
2.200000E-04 19620 1.073700E+04 1.462000E+03
2.300000E-04 20556 1.124300E+04 1.573000E+03
2.400000E-04 21444 1.176000E+04 1.626000E+03
2.500000E-04 22331 1.226200E+04 1.704000E+03
2.600000E-04 23281 1.279400E+04 1.751000E+03
2.700000E-04 24201 1.332000E+04 1.845000E+03
2.800000E-04 25102 1.383800E+04 1.899000E+03
2.900000E-04 26090 1.439500E+04 1.988000E+03
3.000000E-04 26996 1.492200E+04 2.052000E+03
3.100000E-04 27989 1.547900E+04 2.135000E+03
3.200000E-04 28974 1.604900E+04 2.199000E+03
3.300000E-04 29834 1.652600E+04 2.256000E+03
3.400000E-04 30756 1.705500E+04 2.361000E+03
3.500000E-04 31667 1.756500E+04 2.402000E+03
3.600000E-04 32650 1.815000E+04 2.478000E+03
3.700000E-04 33656 1.876100E+04 2.597000E+03
3.800000E-04 34606 1.930700E+04 2.683000E+03
3.900000E-04 35452 1.980900E+04 2.774000E+03
4.000000E-04 36415 2.036900E+04 2.812000E+03
4.100000E-04 37381 2.089000E+04 2.902000E+03
4.200000E-04 38326 2.143700E+04 3.052000E+03
4.300000E-04 39256 2.197300E+04 3.125000E+03
4.400000E-04 40140 2.243400E+04 3.241000E+03
4.500000E-04 41043 2.294400E+04 3.295000E+03
4.600000E-04 41991 2.346400E+04 3.341000E+03
4.700000E-04 42978 2.402300E+04 3.403000E+03
4.800000E-04 43902 2.457000E+04 3.491000E+03
4.900000E-04 44832 2.512000E+04 3.551000E+03
5.000000E-04 45849 2.572300E+04 3.638000E+03
5.100000E-04 46827 2.628000E+04 3.746000E+03
5.200000E-04 47788 2.685100E+04 3.803000E+03
5.300000E-04 48781 2.742100E+04 3.901000E+03
5.400000E-04 49719 2.792200E+04 3.943000E+03
5.500000E-04 50660 2.845500E+04 4.042000E+03
5.600000E-04 51600 2.899100E+04 4.098000E+03
5.700000E-04 52558 2.952500E+04 4.183000E+03
5.800000E-04 53463 3.005200E+04 4.239000E+03
5.900000E-04 54502 3.064200E+04 4.326000E+03
6.000000E-04 55437 3.120000E+04 4.391000E+03
6.100000E-04 56421 3.177000E+04 4.448000E+03
6.200000E-04 57362 3.233900E+04 4.514000E+03
6.300000E-04 58322 3.289500E+04 4.647000E+03
6.400000E-04 59365 3.350000E+04 4.711000E+03
6.500000E-04 60325 3.406800E+04 4.764000E+03
6.600000E-04 61219 3.456200E+04 4.832000E+03
6.700000E-04 62151 3.509400E+04 4.902000E+03
6.800000E-04 63047 3.563600E+04 4.979000E+03
6.900000E-04 64005 3.622100E+04 5.013000E+03
7.000000E-04 64955 3.673400E+04 5.121000E+03
7.100000E-04 66013 3.735200E+04 5.174000E+03
7.200000E-04 66926 3.787800E+04 5.235000E+03
7.300000E-04 67892 3.845300E+04 5.340000E+03
7.400000E-04 68798 3.896200E+04 5.396000E+03
7.500000E-04 69741 3.950100E+04 5.469000E+03
7.600000E-04 70640 3.998600E+04 5.542000E+03
7.700000E-04 71550 4.053500E+04 5.610000E+03
7.800000E-04 72493 4.108300E+04 5.697000E+03
7.900000E-04 73468 4.165000E+04 5.787000E+03
8.000000E-04 74499 4.224800E+04 5.817000E+03
8.100000E-04 75577 4.290300E+04 5.865000E+03
8.200000E-04 76579 4.350400E+04 5.957000E+03
8.300000E-04 77564 4.407100E+04 6.021000E+03
8.400000E-04 78464 4.455700E+04 6.100000E+03
8.500000E-04 79463 4.513000E+04 6.149000E+03
8.600000E-04 80356 4.564000E+04 6.254000E+03
8.700000E-04 81360 4.621200E+04 6.356000E+03
8.800000E-04 82331 4.678100E+04 6.449000E+03
8.900000E-04 83288 4.731500E+04 6.528000E+03
9.000000E-04 84202 4.779100E+04 6.612000E+03
9.100000E-04 85155 4.833900E+04 6.706000E+03
9.200000E-04 86126 4.891700E+04 6.757000E+03
9.300000E-04 87127 4.949600E+04 6.798000E+03
9.400000E-04 88109 5.006000E+04 6.870000E+03
9.500000E-04 89107 5.062400E+04 6.951000E+03
9.600000E-04 90041 5.116700E+04 7.055000E+03
9.700000E-04 90989 5.170100E+04 7.093000E+03
9.800000E-04 91946 5.225400E+04 7.170000E+03
9.900000E-04 92962 5.283300E+04 7.218000E+03
1.000000E-03 93978 5.345300E+04 7.273000E+03
