 time E 'mtrCAB_electrons_from_SolubleIron' 'mtrCAB_electrons_from_mtrB'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 448 4.300000E+01 9.000000E+00
2.000000E-05 1053 2.110000E+02 9.000000E+00
3.000000E-05 1780 5.200000E+02 5.000000E+01
4.000000E-05 2601 9.570000E+02 1.160000E+02
5.000000E-05 3426 1.415000E+03 1.700000E+02
6.000000E-05 4377 1.958000E+03 2.270000E+02
7.000000E-05 5267 2.444000E+03 2.770000E+02
8.000000E-05 6209 2.995000E+03 3.650000E+02
9.000000E-05 7171 3.525000E+03 4.670000E+02
1.000000E-04 8073 4.063000E+03 5.520000E+02
1.100000E-04 9000 4.622000E+03 6.390000E+02
1.200000E-04 10025 5.223000E+03 7.450000E+02
1.300000E-04 11050 5.821000E+03 7.770000E+02
1.400000E-04 11975 6.360000E+03 8.330000E+02
1.500000E-04 12907 6.897000E+03 8.800000E+02
1.600000E-04 13791 7.402000E+03 9.870000E+02
1.700000E-04 14750 7.951000E+03 1.079000E+03
1.800000E-04 15628 8.435000E+03 1.151000E+03
1.900000E-04 16595 9.009000E+03 1.197000E+03
2.000000E-04 17551 9.526000E+03 1.268000E+03
2.100000E-04 18462 1.004200E+04 1.362000E+03
2.200000E-04 19427 1.062200E+04 1.408000E+03
2.300000E-04 20338 1.114400E+04 1.501000E+03
2.400000E-04 21335 1.173800E+04 1.582000E+03
2.500000E-04 22212 1.222700E+04 1.691000E+03
2.600000E-04 23122 1.272200E+04 1.807000E+03
2.700000E-04 24077 1.324500E+04 1.855000E+03
2.800000E-04 25034 1.381700E+04 1.912000E+03
2.900000E-04 25935 1.436000E+04 1.974000E+03
3.000000E-04 26876 1.490200E+04 2.064000E+03
3.100000E-04 27796 1.540900E+04 2.173000E+03
3.200000E-04 28787 1.596700E+04 2.226000E+03
3.300000E-04 29702 1.649000E+04 2.336000E+03
3.400000E-04 30637 1.703300E+04 2.401000E+03
3.500000E-04 31597 1.758000E+04 2.450000E+03
3.600000E-04 32551 1.812000E+04 2.510000E+03
3.700000E-04 33494 1.864400E+04 2.628000E+03
3.800000E-04 34471 1.919300E+04 2.709000E+03
3.900000E-04 35382 1.970100E+04 2.791000E+03
4.000000E-04 36363 2.028000E+04 2.843000E+03
4.100000E-04 37369 2.088100E+04 2.924000E+03
4.200000E-04 38347 2.148900E+04 2.972000E+03
4.300000E-04 39355 2.206500E+04 3.096000E+03
4.400000E-04 40356 2.263700E+04 3.178000E+03
4.500000E-04 41321 2.319300E+04 3.264000E+03
4.600000E-04 42286 2.374000E+04 3.337000E+03
4.700000E-04 43282 2.430200E+04 3.388000E+03
4.800000E-04 44235 2.487500E+04 3.473000E+03
4.900000E-04 45214 2.544400E+04 3.580000E+03
5.000000E-04 46196 2.603500E+04 3.656000E+03
5.100000E-04 47188 2.663000E+04 3.706000E+03
5.200000E-04 48121 2.713600E+04 3.811000E+03
5.300000E-04 49045 2.765200E+04 3.852000E+03
5.400000E-04 50061 2.826200E+04 3.962000E+03
5.500000E-04 51034 2.884200E+04 4.041000E+03
5.600000E-04 52010 2.938700E+04 4.106000E+03
5.700000E-04 52935 2.991300E+04 4.174000E+03
5.800000E-04 53903 3.047100E+04 4.230000E+03
5.900000E-04 54911 3.105100E+04 4.288000E+03
6.000000E-04 55947 3.165300E+04 4.348000E+03
6.100000E-04 56917 3.222900E+04 4.416000E+03
6.200000E-04 57851 3.276200E+04 4.459000E+03
6.300000E-04 58808 3.330600E+04 4.569000E+03
6.400000E-04 59803 3.386700E+04 4.622000E+03
6.500000E-04 60764 3.441500E+04 4.724000E+03
6.600000E-04 61803 3.499100E+04 4.814000E+03
6.700000E-04 62808 3.557300E+04 4.854000E+03
6.800000E-04 63755 3.613900E+04 4.924000E+03
6.900000E-04 64806 3.671000E+04 5.061000E+03
7.000000E-04 65749 3.729100E+04 5.173000E+03
7.100000E-04 66697 3.782800E+04 5.227000E+03
7.200000E-04 67710 3.839800E+04 5.333000E+03
7.300000E-04 68678 3.897000E+04 5.405000E+03
7.400000E-04 69628 3.952300E+04 5.438000E+03
7.500000E-04 70628 4.009600E+04 5.537000E+03
7.600000E-04 71657 4.068400E+04 5.582000E+03
7.700000E-04 72650 4.124600E+04 5.669000E+03
7.800000E-04 73652 4.183100E+04 5.711000E+03
7.900000E-04 74676 4.243100E+04 5.779000E+03
8.000000E-04 75608 4.299900E+04 5.833000E+03
8.100000E-04 76579 4.359200E+04 5.911000E+03
8.200000E-04 77575 4.416900E+04 5.990000E+03
8.300000E-04 78543 4.472900E+04 6.036000E+03
8.400000E-04 79577 4.531800E+04 6.098000E+03
8.500000E-04 80534 4.587700E+04 6.173000E+03
8.600000E-04 81487 4.643800E+04 6.286000E+03
8.700000E-04 82433 4.700900E+04 6.331000E+03
8.800000E-04 83421 4.758000E+04 6.402000E+03
8.900000E-04 84438 4.817700E+04 6.468000E+03
9.000000E-04 85399 4.871200E+04 6.580000E+03
9.100000E-04 86391 4.930200E+04 6.661000E+03
9.200000E-04 87427 4.993600E+04 6.735000E+03
9.300000E-04 88427 5.053900E+04 6.806000E+03
9.400000E-04 89458 5.116600E+04 6.873000E+03
9.500000E-04 90376 5.169400E+04 6.919000E+03
9.600000E-04 91347 5.226500E+04 6.975000E+03
9.700000E-04 92255 5.276100E+04 7.025000E+03
9.800000E-04 93206 5.328700E+04 7.102000E+03
9.900000E-04 94110 5.379200E+04 7.154000E+03
1.000000E-03 94991 5.433100E+04 7.234000E+03
