time 'electrons_given_to_SolubleIron' 'electrons_given_to_mtrB' '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 3.600000E+01 0.000000E+00 3.620000E+02 0.000000E+00
2.000000E-04 2.370000E+02 0.000000E+00 1.734000E+03 1.900000E+01
3.000000E-04 6.040000E+02 7.000000E+00 3.860000E+03 7.400000E+01
4.000000E-04 1.061000E+03 6.800000E+01 6.456000E+03 1.900000E+02
5.000000E-04 1.639000E+03 1.360000E+02 9.151000E+03 3.890000E+02
6.000000E-04 2.285000E+03 1.690000E+02 1.193600E+04 5.520000E+02
7.000000E-04 2.833000E+03 2.290000E+02 1.477800E+04 6.640000E+02
8.000000E-04 3.353000E+03 3.280000E+02 1.753300E+04 8.120000E+02
9.000000E-04 3.905000E+03 4.000000E+02 2.028600E+04 9.520000E+02
1.000000E-03 4.412000E+03 4.440000E+02 2.304500E+04 1.091000E+03
1.100000E-03 5.008000E+03 5.260000E+02 2.579600E+04 1.280000E+03
1.200000E-03 5.618000E+03 5.740000E+02 2.863000E+04 1.421000E+03
1.300000E-03 6.169000E+03 6.230000E+02 3.140900E+04 1.543000E+03
1.400000E-03 6.747000E+03 6.820000E+02 3.417700E+04 1.731000E+03
1.500000E-03 7.331000E+03 7.360000E+02 3.703900E+04 1.903000E+03
1.600000E-03 7.883000E+03 7.870000E+02 3.980000E+04 2.058000E+03
1.700000E-03 8.466000E+03 8.420000E+02 4.261500E+04 2.175000E+03
1.800000E-03 9.082000E+03 9.160000E+02 4.538000E+04 2.312000E+03
1.900000E-03 9.691000E+03 9.650000E+02 4.814600E+04 2.475000E+03
2.000000E-03 1.019200E+04 1.005000E+03 5.101700E+04 2.675000E+03
2.100000E-03 1.071800E+04 1.084000E+03 5.379400E+04 2.789000E+03
2.200000E-03 1.125900E+04 1.156000E+03 5.660100E+04 2.946000E+03
2.300000E-03 1.182900E+04 1.230000E+03 5.937400E+04 3.063000E+03
2.400000E-03 1.240900E+04 1.288000E+03 6.208500E+04 3.182000E+03
2.500000E-03 1.300800E+04 1.361000E+03 6.497500E+04 3.363000E+03
2.600000E-03 1.361600E+04 1.429000E+03 6.775400E+04 3.491000E+03
2.700000E-03 1.416700E+04 1.466000E+03 7.061900E+04 3.637000E+03
2.800000E-03 1.477200E+04 1.506000E+03 7.341800E+04 3.768000E+03
2.900000E-03 1.533900E+04 1.565000E+03 7.630800E+04 3.921000E+03
3.000000E-03 1.591300E+04 1.635000E+03 7.911500E+04 4.039000E+03
3.100000E-03 1.648200E+04 1.714000E+03 8.202500E+04 4.241000E+03
3.200000E-03 1.710000E+04 1.775000E+03 8.501000E+04 4.370000E+03
3.300000E-03 1.767400E+04 1.835000E+03 8.791900E+04 4.494000E+03
3.400000E-03 1.823900E+04 1.878000E+03 9.074900E+04 4.588000E+03
3.500000E-03 1.877500E+04 1.912000E+03 9.352400E+04 4.771000E+03
3.600000E-03 1.930900E+04 1.984000E+03 9.637200E+04 4.935000E+03
3.700000E-03 1.989000E+04 2.048000E+03 9.917800E+04 5.114000E+03
3.800000E-03 2.046200E+04 2.097000E+03 1.019700E+05 5.259000E+03
3.900000E-03 2.104300E+04 2.161000E+03 1.048190E+05 5.395000E+03
4.000000E-03 2.163200E+04 2.215000E+03 1.076260E+05 5.533000E+03
