time 'electrons_given_to_SolubleIron' 'electrons_given_to_mtrB' '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 3.500000E+01 0.000000E+00 3.530000E+02 0.000000E+00
2.000000E-04 1.820000E+02 9.000000E+00 1.798000E+03 9.000000E+00
3.000000E-04 5.050000E+02 1.500000E+01 3.824000E+03 7.300000E+01
4.000000E-04 8.990000E+02 4.400000E+01 6.297000E+03 2.040000E+02
5.000000E-04 1.445000E+03 5.900000E+01 9.012000E+03 3.410000E+02
6.000000E-04 1.983000E+03 1.320000E+02 1.170000E+04 4.890000E+02
7.000000E-04 2.494000E+03 1.930000E+02 1.453900E+04 5.950000E+02
8.000000E-04 3.049000E+03 2.970000E+02 1.734300E+04 7.110000E+02
9.000000E-04 3.590000E+03 3.440000E+02 2.008600E+04 8.880000E+02
1.000000E-03 4.063000E+03 3.790000E+02 2.287900E+04 1.012000E+03
1.100000E-03 4.610000E+03 4.410000E+02 2.556900E+04 1.116000E+03
1.200000E-03 5.139000E+03 5.050000E+02 2.833400E+04 1.307000E+03
1.300000E-03 5.732000E+03 5.490000E+02 3.101200E+04 1.419000E+03
1.400000E-03 6.312000E+03 6.210000E+02 3.370100E+04 1.602000E+03
1.500000E-03 6.847000E+03 7.080000E+02 3.635400E+04 1.770000E+03
1.600000E-03 7.390000E+03 7.390000E+02 3.910700E+04 1.900000E+03
1.700000E-03 7.946000E+03 8.320000E+02 4.186500E+04 2.024000E+03
1.800000E-03 8.516000E+03 9.090000E+02 4.476900E+04 2.175000E+03
1.900000E-03 9.074000E+03 9.810000E+02 4.770200E+04 2.286000E+03
2.000000E-03 9.617000E+03 1.024000E+03 5.050900E+04 2.456000E+03
2.100000E-03 1.020100E+04 1.074000E+03 5.335400E+04 2.599000E+03
2.200000E-03 1.076800E+04 1.124000E+03 5.627300E+04 2.737000E+03
2.300000E-03 1.135400E+04 1.159000E+03 5.899200E+04 2.818000E+03
2.400000E-03 1.190400E+04 1.211000E+03 6.173600E+04 2.962000E+03
2.500000E-03 1.250600E+04 1.285000E+03 6.446000E+04 3.099000E+03
2.600000E-03 1.313000E+04 1.367000E+03 6.723900E+04 3.270000E+03
2.700000E-03 1.372400E+04 1.440000E+03 7.001300E+04 3.411000E+03
2.800000E-03 1.427700E+04 1.482000E+03 7.267900E+04 3.549000E+03
2.900000E-03 1.486600E+04 1.532000E+03 7.541000E+04 3.710000E+03
3.000000E-03 1.544800E+04 1.587000E+03 7.824700E+04 3.825000E+03
3.100000E-03 1.600900E+04 1.640000E+03 8.103900E+04 3.950000E+03
3.200000E-03 1.656100E+04 1.708000E+03 8.386500E+04 4.061000E+03
3.300000E-03 1.711600E+04 1.758000E+03 8.685000E+04 4.210000E+03
3.400000E-03 1.769400E+04 1.788000E+03 8.962600E+04 4.348000E+03
3.500000E-03 1.827100E+04 1.831000E+03 9.240800E+04 4.524000E+03
3.600000E-03 1.887200E+04 1.927000E+03 9.520300E+04 4.679000E+03
3.700000E-03 1.948200E+04 1.958000E+03 9.793900E+04 4.817000E+03
3.800000E-03 2.010500E+04 2.038000E+03 1.007520E+05 4.936000E+03
3.900000E-03 2.069600E+04 2.078000E+03 1.036800E+05 5.057000E+03
4.000000E-03 2.128100E+04 2.123000E+03 1.065260E+05 5.180000E+03
4.100000E-03 2.191500E+04 2.146000E+03 1.092310E+05 5.314000E+03
4.200000E-03 2.255500E+04 2.205000E+03 1.119530E+05 5.456000E+03
4.300000E-03 2.316900E+04 2.280000E+03 1.148130E+05 5.635000E+03
4.400000E-03 2.372100E+04 2.316000E+03 1.176460E+05 5.787000E+03
4.500000E-03 2.427700E+04 2.425000E+03 1.204660E+05 5.915000E+03
4.600000E-03 2.483500E+04 2.451000E+03 1.234120E+05 6.051000E+03
4.700000E-03 2.545000E+04 2.507000E+03 1.261670E+05 6.214000E+03
4.800000E-03 2.602100E+04 2.612000E+03 1.289510E+05 6.375000E+03
4.900000E-03 2.661500E+04 2.691000E+03 1.316150E+05 6.512000E+03
5.000000E-03 2.721900E+04 2.743000E+03 1.343940E+05 6.611000E+03
5.100000E-03 2.782000E+04 2.802000E+03 1.372580E+05 6.814000E+03
5.200000E-03 2.841400E+04 2.852000E+03 1.400920E+05 6.976000E+03
5.300000E-03 2.901000E+04 2.918000E+03 1.429200E+05 7.098000E+03
5.400000E-03 2.957300E+04 2.996000E+03 1.457800E+05 7.268000E+03
5.500000E-03 3.013400E+04 3.051000E+03 1.485660E+05 7.413000E+03
5.600000E-03 3.070200E+04 3.118000E+03 1.513690E+05 7.544000E+03
5.700000E-03 3.124600E+04 3.187000E+03 1.541950E+05 7.710000E+03
5.800000E-03 3.183900E+04 3.229000E+03 1.570340E+05 7.869000E+03
5.900000E-03 3.243600E+04 3.282000E+03 1.598380E+05 7.997000E+03
6.000000E-03 3.298300E+04 3.329000E+03 1.626440E+05 8.170000E+03
6.100000E-03 3.360300E+04 3.372000E+03 1.655090E+05 8.279000E+03
6.200000E-03 3.416600E+04 3.432000E+03 1.683420E+05 8.405000E+03
6.300000E-03 3.475400E+04 3.524000E+03 1.710900E+05 8.552000E+03
6.400000E-03 3.533400E+04 3.563000E+03 1.739310E+05 8.735000E+03
6.500000E-03 3.592300E+04 3.606000E+03 1.769050E+05 8.843000E+03
6.600000E-03 3.649800E+04 3.683000E+03 1.796620E+05 8.952000E+03
6.700000E-03 3.712800E+04 3.739000E+03 1.824670E+05 9.127000E+03
6.800000E-03 3.770700E+04 3.778000E+03 1.852610E+05 9.241000E+03
6.900000E-03 3.830100E+04 3.839000E+03 1.880450E+05 9.362000E+03
7.000000E-03 3.887800E+04 3.872000E+03 1.909240E+05 9.495000E+03
7.100000E-03 3.953300E+04 3.965000E+03 1.938290E+05 9.718000E+03
7.200000E-03 4.014000E+04 3.999000E+03 1.966780E+05 9.880000E+03
7.300000E-03 4.071400E+04 4.150000E+03 1.995150E+05 9.968000E+03
7.400000E-03 4.124500E+04 4.202000E+03 2.023420E+05 1.014400E+04
7.500000E-03 4.184100E+04 4.237000E+03 2.052250E+05 1.024500E+04
