time 'electrons_given_to_SolubleIron' 'electrons_given_to_mtrB' '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 3.800000E+01 0.000000E+00 3.570000E+02 0.000000E+00
2.000000E-04 1.990000E+02 0.000000E+00 1.764000E+03 1.600000E+01
3.000000E-04 5.530000E+02 1.100000E+01 3.910000E+03 7.600000E+01
4.000000E-04 1.003000E+03 5.300000E+01 6.471000E+03 1.880000E+02
5.000000E-04 1.512000E+03 1.050000E+02 9.295000E+03 3.210000E+02
6.000000E-04 2.093000E+03 1.500000E+02 1.204300E+04 5.040000E+02
7.000000E-04 2.706000E+03 2.260000E+02 1.493800E+04 5.940000E+02
8.000000E-04 3.266000E+03 2.620000E+02 1.781100E+04 7.750000E+02
9.000000E-04 3.835000E+03 3.310000E+02 2.058400E+04 8.980000E+02
1.000000E-03 4.352000E+03 3.580000E+02 2.335600E+04 1.110000E+03
1.100000E-03 4.910000E+03 3.930000E+02 2.614800E+04 1.194000E+03
1.200000E-03 5.437000E+03 4.910000E+02 2.884700E+04 1.356000E+03
1.300000E-03 5.929000E+03 5.070000E+02 3.162600E+04 1.522000E+03
1.400000E-03 6.481000E+03 5.810000E+02 3.446200E+04 1.653000E+03
1.500000E-03 7.016000E+03 6.230000E+02 3.722900E+04 1.782000E+03
1.600000E-03 7.637000E+03 7.110000E+02 4.008100E+04 1.951000E+03
1.700000E-03 8.154000E+03 7.300000E+02 4.289900E+04 2.090000E+03
1.800000E-03 8.719000E+03 8.160000E+02 4.554500E+04 2.209000E+03
1.900000E-03 9.261000E+03 8.620000E+02 4.845800E+04 2.358000E+03
2.000000E-03 9.820000E+03 9.060000E+02 5.130600E+04 2.514000E+03
2.100000E-03 1.045000E+04 9.700000E+02 5.415200E+04 2.704000E+03
2.200000E-03 1.108300E+04 1.023000E+03 5.700700E+04 2.831000E+03
2.300000E-03 1.169200E+04 1.066000E+03 5.979700E+04 2.930000E+03
2.400000E-03 1.230400E+04 1.117000E+03 6.270700E+04 3.031000E+03
2.500000E-03 1.290400E+04 1.203000E+03 6.552400E+04 3.154000E+03
2.600000E-03 1.348700E+04 1.252000E+03 6.836400E+04 3.327000E+03
2.700000E-03 1.408600E+04 1.291000E+03 7.123600E+04 3.469000E+03
2.800000E-03 1.469100E+04 1.322000E+03 7.408900E+04 3.602000E+03
2.900000E-03 1.528200E+04 1.351000E+03 7.692200E+04 3.751000E+03
3.000000E-03 1.587700E+04 1.455000E+03 7.971200E+04 3.953000E+03
3.100000E-03 1.648300E+04 1.511000E+03 8.251800E+04 4.112000E+03
3.200000E-03 1.708500E+04 1.546000E+03 8.530900E+04 4.273000E+03
3.300000E-03 1.768100E+04 1.586000E+03 8.816100E+04 4.412000E+03
