time 'electrons_given_to_SolubleIron' 'electrons_given_to_mtrB' '10XNapC-electrons_given_to_SolubleIron' '10XNapC-electrons_given_to_mtrB'
0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.000000E-04 5.900000E+01 0.000000E+00 3.400000E+02 0.000000E+00
2.000000E-04 2.910000E+02 0.000000E+00 1.618000E+03 1.600000E+01
3.000000E-04 6.350000E+02 9.000000E+00 3.693000E+03 9.400000E+01
4.000000E-04 1.136000E+03 2.700000E+01 6.199000E+03 1.810000E+02
5.000000E-04 1.702000E+03 7.800000E+01 8.967000E+03 3.780000E+02
6.000000E-04 2.252000E+03 1.120000E+02 1.177400E+04 5.590000E+02
7.000000E-04 2.809000E+03 1.810000E+02 1.469300E+04 6.850000E+02
8.000000E-04 3.334000E+03 2.500000E+02 1.762700E+04 8.200000E+02
9.000000E-04 3.855000E+03 3.130000E+02 2.048000E+04 9.430000E+02
1.000000E-03 4.395000E+03 3.810000E+02 2.335200E+04 1.159000E+03
1.100000E-03 5.004000E+03 4.380000E+02 2.620400E+04 1.331000E+03
1.200000E-03 5.617000E+03 4.750000E+02 2.899000E+04 1.460000E+03
1.300000E-03 6.236000E+03 5.300000E+02 3.182900E+04 1.571000E+03
1.400000E-03 6.809000E+03 5.780000E+02 3.465300E+04 1.744000E+03
1.500000E-03 7.379000E+03 6.330000E+02 3.734200E+04 1.842000E+03
1.600000E-03 8.004000E+03 6.750000E+02 4.021100E+04 2.014000E+03
1.700000E-03 8.594000E+03 7.290000E+02 4.299800E+04 2.105000E+03
1.800000E-03 9.205000E+03 7.870000E+02 4.581500E+04 2.336000E+03
1.900000E-03 9.736000E+03 8.500000E+02 4.860400E+04 2.434000E+03
2.000000E-03 1.024700E+04 9.120000E+02 5.137200E+04 2.612000E+03
2.100000E-03 1.076100E+04 9.410000E+02 5.418300E+04 2.742000E+03
2.200000E-03 1.127500E+04 1.005000E+03 5.692000E+04 2.880000E+03
2.300000E-03 1.182200E+04 1.049000E+03 5.981500E+04 3.043000E+03
2.400000E-03 1.240600E+04 1.120000E+03 6.271200E+04 3.110000E+03
2.500000E-03 1.293200E+04 1.198000E+03 6.558900E+04 3.258000E+03
2.600000E-03 1.358000E+04 1.265000E+03 6.827600E+04 3.455000E+03
2.700000E-03 1.418600E+04 1.321000E+03 7.107500E+04 3.575000E+03
2.800000E-03 1.477900E+04 1.368000E+03 7.393600E+04 3.719000E+03
2.900000E-03 1.538900E+04 1.444000E+03 7.663300E+04 3.897000E+03
3.000000E-03 1.600800E+04 1.523000E+03 7.949300E+04 4.009000E+03
3.100000E-03 1.659900E+04 1.580000E+03 8.230700E+04 4.150000E+03
3.200000E-03 1.713800E+04 1.651000E+03 8.516000E+04 4.298000E+03
3.300000E-03 1.768300E+04 1.747000E+03 8.796800E+04 4.467000E+03
3.400000E-03 1.827400E+04 1.783000E+03 9.091200E+04 4.568000E+03
3.500000E-03 1.891200E+04 1.850000E+03 9.380800E+04 4.704000E+03
3.600000E-03 1.948100E+04 1.889000E+03 9.664600E+04 4.854000E+03
3.700000E-03 2.007700E+04 1.942000E+03 9.947900E+04 5.020000E+03
3.800000E-03 2.068500E+04 1.997000E+03 1.023450E+05 5.150000E+03
3.900000E-03 2.126500E+04 2.084000E+03 1.051700E+05 5.277000E+03
4.000000E-03 2.185800E+04 2.121000E+03 1.080850E+05 5.385000E+03
4.100000E-03 2.247700E+04 2.170000E+03 1.109070E+05 5.546000E+03
4.200000E-03 2.305900E+04 2.231000E+03 1.137550E+05 5.687000E+03
4.300000E-03 2.360600E+04 2.299000E+03 1.166140E+05 5.851000E+03
4.400000E-03 2.415500E+04 2.330000E+03 1.193990E+05 5.996000E+03
4.500000E-03 2.471200E+04 2.410000E+03 1.221700E+05 6.116000E+03
4.600000E-03 2.528300E+04 2.461000E+03 1.250500E+05 6.240000E+03
4.700000E-03 2.591500E+04 2.514000E+03 1.280220E+05 6.404000E+03
4.800000E-03 2.648200E+04 2.586000E+03 1.308840E+05 6.529000E+03
4.900000E-03 2.702900E+04 2.648000E+03 1.337120E+05 6.672000E+03
5.000000E-03 2.757400E+04 2.719000E+03 1.366030E+05 6.831000E+03
5.100000E-03 2.810300E+04 2.767000E+03 1.394400E+05 6.987000E+03
5.200000E-03 2.863600E+04 2.814000E+03 1.421640E+05 7.118000E+03
5.300000E-03 2.923500E+04 2.906000E+03 1.450040E+05 7.242000E+03
5.400000E-03 2.979300E+04 2.969000E+03 1.478630E+05 7.414000E+03
5.500000E-03 3.037600E+04 3.002000E+03 1.507610E+05 7.581000E+03
5.600000E-03 3.098200E+04 3.058000E+03 1.536880E+05 7.745000E+03
5.700000E-03 3.155800E+04 3.126000E+03 1.564740E+05 7.933000E+03
5.800000E-03 3.212200E+04 3.174000E+03 1.592310E+05 8.051000E+03
5.900000E-03 3.268700E+04 3.235000E+03 1.620570E+05 8.146000E+03
6.000000E-03 3.324000E+04 3.306000E+03 1.648330E+05 8.272000E+03
6.100000E-03 3.382500E+04 3.334000E+03 1.675520E+05 8.443000E+03
6.200000E-03 3.439200E+04 3.417000E+03 1.703540E+05 8.585000E+03
6.300000E-03 3.495700E+04 3.475000E+03 1.731960E+05 8.738000E+03
6.400000E-03 3.551800E+04 3.537000E+03 1.760230E+05 8.837000E+03
6.500000E-03 3.604800E+04 3.589000E+03 1.788520E+05 9.000000E+03
6.600000E-03 3.654800E+04 3.660000E+03 1.816990E+05 9.168000E+03
6.700000E-03 3.713400E+04 3.750000E+03 1.844560E+05 9.361000E+03
6.800000E-03 3.769000E+04 3.804000E+03 1.871730E+05 9.487000E+03
6.900000E-03 3.823000E+04 3.864000E+03 1.899920E+05 9.666000E+03
7.000000E-03 3.874200E+04 3.914000E+03 1.927460E+05 9.776000E+03
7.100000E-03 3.926400E+04 3.989000E+03 1.954720E+05 9.912000E+03
7.200000E-03 3.983400E+04 4.066000E+03 1.982620E+05 1.007400E+04
7.300000E-03 4.040100E+04 4.135000E+03 2.010740E+05 1.020100E+04
7.400000E-03 4.095500E+04 4.250000E+03 2.038670E+05 1.041600E+04
7.500000E-03 4.147200E+04 4.301000E+03 2.066470E+05 1.059100E+04
7.600000E-03 4.200700E+04 4.338000E+03 2.094120E+05 1.070500E+04
7.700000E-03 4.258600E+04 4.378000E+03 2.121730E+05 1.082800E+04
