 time E 'electrons_from_0.75_micromoles_Flavin' 'electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 43 0.000000E+00 0.000000E+00
2.000000E-05 92 2.000000E+00 0.000000E+00
3.000000E-05 136 4.000000E+00 0.000000E+00
4.000000E-05 189 6.000000E+00 0.000000E+00
5.000000E-05 244 1.200000E+01 0.000000E+00
6.000000E-05 317 1.400000E+01 0.000000E+00
7.000000E-05 363 1.600000E+01 0.000000E+00
8.000000E-05 410 1.600000E+01 0.000000E+00
9.000000E-05 472 1.800000E+01 0.000000E+00
1.000000E-04 529 2.200000E+01 0.000000E+00
1.100000E-04 585 2.400000E+01 0.000000E+00
1.200000E-04 633 2.800000E+01 0.000000E+00
1.300000E-04 698 3.600000E+01 0.000000E+00
1.400000E-04 765 5.000000E+01 0.000000E+00
1.500000E-04 826 5.800000E+01 0.000000E+00
1.600000E-04 887 6.200000E+01 0.000000E+00
1.700000E-04 941 6.800000E+01 0.000000E+00
1.800000E-04 1007 7.600000E+01 0.000000E+00
1.900000E-04 1070 8.400000E+01 0.000000E+00
2.000000E-04 1146 9.400000E+01 0.000000E+00
2.100000E-04 1208 1.020000E+02 0.000000E+00
2.200000E-04 1262 1.080000E+02 0.000000E+00
2.300000E-04 1313 1.180000E+02 0.000000E+00
2.400000E-04 1385 1.300000E+02 0.000000E+00
2.500000E-04 1456 1.440000E+02 0.000000E+00
2.600000E-04 1519 1.540000E+02 0.000000E+00
2.700000E-04 1579 1.620000E+02 0.000000E+00
2.800000E-04 1650 1.880000E+02 0.000000E+00
2.900000E-04 1720 2.040000E+02 1.000000E+01
3.000000E-04 1790 2.120000E+02 1.000000E+01
3.100000E-04 1860 2.360000E+02 1.000000E+01
3.200000E-04 1938 2.520000E+02 1.000000E+01
3.300000E-04 2018 2.740000E+02 1.000000E+01
3.400000E-04 2090 2.900000E+02 1.000000E+01
3.500000E-04 2151 2.980000E+02 1.000000E+01
3.600000E-04 2227 3.160000E+02 1.000000E+01
3.700000E-04 2310 3.380000E+02 4.000000E+01
3.800000E-04 2383 3.560000E+02 4.000000E+01
3.900000E-04 2468 3.780000E+02 4.000000E+01
4.000000E-04 2529 3.920000E+02 4.000000E+01
4.100000E-04 2601 4.120000E+02 4.000000E+01
4.200000E-04 2661 4.240000E+02 4.000000E+01
4.300000E-04 2744 4.460000E+02 6.000000E+01
4.400000E-04 2820 4.680000E+02 7.000000E+01
4.500000E-04 2897 4.920000E+02 7.000000E+01
4.600000E-04 2980 5.180000E+02 7.000000E+01
4.700000E-04 3062 5.440000E+02 8.000000E+01
4.800000E-04 3128 5.620000E+02 9.000000E+01
4.900000E-04 3202 5.720000E+02 1.000000E+02
5.000000E-04 3273 5.960000E+02 1.100000E+02
5.100000E-04 3333 6.140000E+02 1.100000E+02
5.200000E-04 3408 6.380000E+02 1.100000E+02
5.300000E-04 3459 6.460000E+02 1.100000E+02
5.400000E-04 3539 6.640000E+02 1.100000E+02
5.500000E-04 3615 6.880000E+02 1.200000E+02
5.600000E-04 3687 7.100000E+02 1.200000E+02
5.700000E-04 3767 7.280000E+02 1.300000E+02
5.800000E-04 3840 7.440000E+02 1.500000E+02
5.900000E-04 3934 7.760000E+02 1.600000E+02
6.000000E-04 4008 7.980000E+02 1.600000E+02
6.100000E-04 4082 8.160000E+02 1.600000E+02
6.200000E-04 4168 8.440000E+02 1.700000E+02
6.300000E-04 4240 8.640000E+02 1.700000E+02
6.400000E-04 4321 8.920000E+02 1.700000E+02
6.500000E-04 4402 9.180000E+02 1.700000E+02
6.600000E-04 4472 9.440000E+02 1.800000E+02
6.700000E-04 4553 9.680000E+02 1.900000E+02
6.800000E-04 4623 9.920000E+02 2.000000E+02
6.900000E-04 4697 1.018000E+03 2.000000E+02
7.000000E-04 4758 1.042000E+03 2.000000E+02
7.100000E-04 4844 1.068000E+03 2.000000E+02
7.200000E-04 4947 1.118000E+03 2.000000E+02
7.300000E-04 5036 1.140000E+03 2.000000E+02
7.400000E-04 5122 1.182000E+03 2.300000E+02
7.500000E-04 5205 1.206000E+03 2.300000E+02
7.600000E-04 5285 1.232000E+03 2.300000E+02
7.700000E-04 5380 1.258000E+03 2.300000E+02
7.800000E-04 5455 1.284000E+03 2.300000E+02
7.900000E-04 5528 1.304000E+03 2.300000E+02
8.000000E-04 5619 1.332000E+03 2.300000E+02
8.100000E-04 5700 1.368000E+03 2.400000E+02
8.200000E-04 5779 1.398000E+03 2.500000E+02
8.300000E-04 5883 1.440000E+03 2.500000E+02
8.400000E-04 5961 1.466000E+03 2.600000E+02
8.500000E-04 6037 1.490000E+03 2.700000E+02
8.600000E-04 6126 1.524000E+03 2.800000E+02
8.700000E-04 6206 1.560000E+03 2.800000E+02
8.800000E-04 6278 1.602000E+03 2.800000E+02
8.900000E-04 6367 1.632000E+03 2.800000E+02
9.000000E-04 6430 1.650000E+03 2.800000E+02
9.100000E-04 6511 1.680000E+03 2.800000E+02
9.200000E-04 6603 1.718000E+03 2.800000E+02
9.300000E-04 6683 1.752000E+03 2.800000E+02
9.400000E-04 6758 1.778000E+03 2.800000E+02
9.500000E-04 6840 1.812000E+03 2.800000E+02
9.600000E-04 6937 1.860000E+03 2.800000E+02
9.700000E-04 7015 1.884000E+03 3.000000E+02
9.800000E-04 7124 1.922000E+03 3.100000E+02
9.900000E-04 7218 1.952000E+03 3.100000E+02
1.000000E-03 7319 1.984000E+03 3.200000E+02
