 time E 'electrons_from_0.75_micromoles_Flavin' 'electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 54 0.000000E+00 0.000000E+00
2.000000E-05 106 0.000000E+00 0.000000E+00
3.000000E-05 149 2.000000E+00 0.000000E+00
4.000000E-05 204 2.000000E+00 0.000000E+00
5.000000E-05 254 4.000000E+00 0.000000E+00
6.000000E-05 312 8.000000E+00 0.000000E+00
7.000000E-05 373 1.800000E+01 0.000000E+00
8.000000E-05 449 2.200000E+01 0.000000E+00
9.000000E-05 509 2.200000E+01 0.000000E+00
1.000000E-04 574 2.600000E+01 0.000000E+00
1.100000E-04 639 3.200000E+01 2.000000E+01
1.200000E-04 712 3.400000E+01 2.000000E+01
1.300000E-04 773 4.200000E+01 2.000000E+01
1.400000E-04 829 4.400000E+01 3.000000E+01
1.500000E-04 894 5.000000E+01 3.000000E+01
1.600000E-04 962 6.000000E+01 3.000000E+01
1.700000E-04 1022 7.600000E+01 3.000000E+01
1.800000E-04 1087 8.600000E+01 3.000000E+01
1.900000E-04 1149 9.600000E+01 3.000000E+01
2.000000E-04 1200 1.100000E+02 3.000000E+01
2.100000E-04 1259 1.160000E+02 3.000000E+01
2.200000E-04 1319 1.240000E+02 3.000000E+01
2.300000E-04 1383 1.420000E+02 3.000000E+01
2.400000E-04 1430 1.580000E+02 4.000000E+01
2.500000E-04 1495 1.660000E+02 4.000000E+01
2.600000E-04 1560 1.760000E+02 4.000000E+01
2.700000E-04 1629 1.920000E+02 4.000000E+01
2.800000E-04 1695 2.060000E+02 4.000000E+01
2.900000E-04 1764 2.180000E+02 4.000000E+01
3.000000E-04 1840 2.340000E+02 4.000000E+01
3.100000E-04 1910 2.520000E+02 4.000000E+01
3.200000E-04 1969 2.640000E+02 5.000000E+01
3.300000E-04 2030 2.720000E+02 5.000000E+01
3.400000E-04 2098 2.860000E+02 5.000000E+01
3.500000E-04 2182 3.000000E+02 5.000000E+01
3.600000E-04 2255 3.160000E+02 5.000000E+01
3.700000E-04 2323 3.340000E+02 5.000000E+01
3.800000E-04 2387 3.440000E+02 5.000000E+01
3.900000E-04 2460 3.640000E+02 5.000000E+01
4.000000E-04 2530 3.800000E+02 5.000000E+01
4.100000E-04 2591 3.980000E+02 5.000000E+01
4.200000E-04 2663 4.220000E+02 5.000000E+01
4.300000E-04 2733 4.440000E+02 5.000000E+01
4.400000E-04 2804 4.600000E+02 5.000000E+01
4.500000E-04 2875 4.720000E+02 5.000000E+01
4.600000E-04 2950 4.920000E+02 5.000000E+01
4.700000E-04 3024 5.060000E+02 6.000000E+01
4.800000E-04 3103 5.320000E+02 6.000000E+01
4.900000E-04 3180 5.500000E+02 7.000000E+01
5.000000E-04 3247 5.660000E+02 8.000000E+01
5.100000E-04 3307 5.780000E+02 9.000000E+01
5.200000E-04 3374 5.940000E+02 9.000000E+01
5.300000E-04 3452 6.120000E+02 1.000000E+02
5.400000E-04 3523 6.260000E+02 1.000000E+02
5.500000E-04 3608 6.460000E+02 1.000000E+02
5.600000E-04 3689 6.720000E+02 1.000000E+02
5.700000E-04 3767 7.060000E+02 1.000000E+02
5.800000E-04 3839 7.260000E+02 1.200000E+02
5.900000E-04 3915 7.540000E+02 1.300000E+02
6.000000E-04 3999 7.800000E+02 1.400000E+02
6.100000E-04 4073 8.000000E+02 1.400000E+02
6.200000E-04 4154 8.160000E+02 1.400000E+02
6.300000E-04 4220 8.420000E+02 1.500000E+02
6.400000E-04 4300 8.660000E+02 1.500000E+02
6.500000E-04 4383 8.940000E+02 1.500000E+02
6.600000E-04 4459 9.080000E+02 1.500000E+02
6.700000E-04 4535 9.340000E+02 1.500000E+02
6.800000E-04 4602 9.540000E+02 1.500000E+02
6.900000E-04 4689 9.760000E+02 1.500000E+02
7.000000E-04 4755 9.920000E+02 1.500000E+02
7.100000E-04 4847 1.028000E+03 1.500000E+02
7.200000E-04 4934 1.056000E+03 1.500000E+02
7.300000E-04 5007 1.076000E+03 1.500000E+02
7.400000E-04 5091 1.112000E+03 1.600000E+02
7.500000E-04 5173 1.144000E+03 1.600000E+02
7.600000E-04 5248 1.164000E+03 1.700000E+02
7.700000E-04 5341 1.194000E+03 1.700000E+02
7.800000E-04 5439 1.236000E+03 1.700000E+02
7.900000E-04 5520 1.280000E+03 1.700000E+02
8.000000E-04 5592 1.308000E+03 1.700000E+02
8.100000E-04 5671 1.326000E+03 1.700000E+02
8.200000E-04 5739 1.350000E+03 1.800000E+02
8.300000E-04 5830 1.378000E+03 1.800000E+02
8.400000E-04 5920 1.410000E+03 1.900000E+02
8.500000E-04 5992 1.436000E+03 1.900000E+02
8.600000E-04 6076 1.460000E+03 2.000000E+02
8.700000E-04 6163 1.500000E+03 2.100000E+02
8.800000E-04 6245 1.532000E+03 2.200000E+02
8.900000E-04 6325 1.558000E+03 2.200000E+02
9.000000E-04 6415 1.588000E+03 2.300000E+02
9.100000E-04 6495 1.614000E+03 2.300000E+02
9.200000E-04 6573 1.644000E+03 2.300000E+02
9.300000E-04 6659 1.678000E+03 2.300000E+02
9.400000E-04 6753 1.720000E+03 2.300000E+02
9.500000E-04 6821 1.742000E+03 2.300000E+02
9.600000E-04 6912 1.780000E+03 2.300000E+02
9.700000E-04 7010 1.820000E+03 2.400000E+02
9.800000E-04 7076 1.848000E+03 2.400000E+02
9.900000E-04 7167 1.876000E+03 2.500000E+02
1.000000E-03 7250 1.902000E+03 2.500000E+02
