 time E 'electrons_from_1.2_micromoles_Flavin' 'electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 71 0.000000E+00 0.000000E+00
2.000000E-05 141 0.000000E+00 0.000000E+00
3.000000E-05 221 4.000000E+00 0.000000E+00
4.000000E-05 300 8.000000E+00 0.000000E+00
5.000000E-05 370 1.000000E+01 0.000000E+00
6.000000E-05 449 1.000000E+01 0.000000E+00
7.000000E-05 508 1.200000E+01 0.000000E+00
8.000000E-05 578 1.400000E+01 0.000000E+00
9.000000E-05 669 2.000000E+01 0.000000E+00
1.000000E-04 739 2.400000E+01 0.000000E+00
1.100000E-04 826 3.000000E+01 0.000000E+00
1.200000E-04 924 4.000000E+01 1.000000E+01
1.300000E-04 998 5.200000E+01 2.000000E+01
1.400000E-04 1081 6.000000E+01 2.000000E+01
1.500000E-04 1162 7.600000E+01 2.000000E+01
1.600000E-04 1257 9.000000E+01 2.000000E+01
1.700000E-04 1339 9.800000E+01 2.000000E+01
1.800000E-04 1425 1.160000E+02 2.000000E+01
1.900000E-04 1522 1.260000E+02 2.000000E+01
2.000000E-04 1608 1.360000E+02 2.000000E+01
2.100000E-04 1703 1.500000E+02 3.000000E+01
2.200000E-04 1792 1.680000E+02 4.000000E+01
2.300000E-04 1895 1.860000E+02 4.000000E+01
2.400000E-04 1971 2.040000E+02 5.000000E+01
2.500000E-04 2049 2.120000E+02 5.000000E+01
2.600000E-04 2127 2.220000E+02 5.000000E+01
2.700000E-04 2211 2.340000E+02 5.000000E+01
2.800000E-04 2303 2.480000E+02 5.000000E+01
2.900000E-04 2396 2.680000E+02 6.000000E+01
3.000000E-04 2490 2.920000E+02 6.000000E+01
3.100000E-04 2582 3.060000E+02 6.000000E+01
3.200000E-04 2667 3.280000E+02 6.000000E+01
3.300000E-04 2753 3.540000E+02 6.000000E+01
3.400000E-04 2830 3.740000E+02 6.000000E+01
3.500000E-04 2917 3.980000E+02 6.000000E+01
3.600000E-04 3026 4.200000E+02 6.000000E+01
3.700000E-04 3111 4.440000E+02 6.000000E+01
3.800000E-04 3208 4.640000E+02 6.000000E+01
3.900000E-04 3289 4.920000E+02 6.000000E+01
4.000000E-04 3382 5.180000E+02 6.000000E+01
4.100000E-04 3472 5.380000E+02 6.000000E+01
4.200000E-04 3555 5.440000E+02 6.000000E+01
4.300000E-04 3659 5.660000E+02 6.000000E+01
4.400000E-04 3772 6.020000E+02 6.000000E+01
4.500000E-04 3876 6.120000E+02 6.000000E+01
4.600000E-04 3967 6.420000E+02 6.000000E+01
4.700000E-04 4066 6.660000E+02 6.000000E+01
4.800000E-04 4162 6.860000E+02 6.000000E+01
4.900000E-04 4261 7.160000E+02 6.000000E+01
5.000000E-04 4362 7.400000E+02 6.000000E+01
5.100000E-04 4478 7.760000E+02 6.000000E+01
5.200000E-04 4577 7.940000E+02 6.000000E+01
5.300000E-04 4669 8.200000E+02 6.000000E+01
5.400000E-04 4786 8.540000E+02 8.000000E+01
5.500000E-04 4871 8.720000E+02 8.000000E+01
5.600000E-04 4985 9.060000E+02 8.000000E+01
5.700000E-04 5101 9.440000E+02 8.000000E+01
5.800000E-04 5205 9.780000E+02 8.000000E+01
5.900000E-04 5335 1.030000E+03 9.000000E+01
6.000000E-04 5431 1.054000E+03 1.100000E+02
6.100000E-04 5535 1.080000E+03 1.100000E+02
6.200000E-04 5652 1.110000E+03 1.100000E+02
6.300000E-04 5760 1.142000E+03 1.100000E+02
6.400000E-04 5868 1.188000E+03 1.100000E+02
6.500000E-04 5972 1.226000E+03 1.200000E+02
6.600000E-04 6079 1.258000E+03 1.200000E+02
6.700000E-04 6192 1.288000E+03 1.300000E+02
6.800000E-04 6313 1.334000E+03 1.300000E+02
6.900000E-04 6437 1.376000E+03 1.300000E+02
7.000000E-04 6565 1.406000E+03 1.300000E+02
7.100000E-04 6657 1.438000E+03 1.300000E+02
7.200000E-04 6766 1.470000E+03 1.300000E+02
7.300000E-04 6865 1.498000E+03 1.300000E+02
7.400000E-04 6958 1.522000E+03 1.300000E+02
7.500000E-04 7053 1.550000E+03 1.500000E+02
7.600000E-04 7155 1.576000E+03 1.500000E+02
7.700000E-04 7268 1.604000E+03 1.500000E+02
7.800000E-04 7372 1.638000E+03 1.500000E+02
7.900000E-04 7485 1.682000E+03 1.500000E+02
8.000000E-04 7617 1.720000E+03 1.600000E+02
8.100000E-04 7726 1.748000E+03 1.600000E+02
8.200000E-04 7863 1.792000E+03 1.600000E+02
8.300000E-04 7998 1.856000E+03 1.600000E+02
8.400000E-04 8101 1.892000E+03 1.700000E+02
8.500000E-04 8213 1.928000E+03 1.700000E+02
8.600000E-04 8317 1.950000E+03 1.800000E+02
8.700000E-04 8439 1.986000E+03 1.800000E+02
8.800000E-04 8555 2.036000E+03 1.800000E+02
8.900000E-04 8679 2.074000E+03 1.800000E+02
9.000000E-04 8804 2.116000E+03 1.800000E+02
9.100000E-04 8912 2.160000E+03 1.800000E+02
9.200000E-04 9023 2.200000E+03 1.900000E+02
9.300000E-04 9136 2.238000E+03 2.100000E+02
9.400000E-04 9276 2.294000E+03 2.100000E+02
9.500000E-04 9409 2.338000E+03 2.100000E+02
9.600000E-04 9526 2.394000E+03 2.100000E+02
9.700000E-04 9639 2.440000E+03 2.100000E+02
9.800000E-04 9748 2.484000E+03 2.100000E+02
9.900000E-04 9876 2.534000E+03 2.100000E+02
1.000000E-03 9987 2.568000E+03 2.100000E+02
