 time E 'electrons_from_1.2_micromoles_Flavin' 'electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 68 0.000000E+00 0.000000E+00
2.000000E-05 149 0.000000E+00 0.000000E+00
3.000000E-05 218 0.000000E+00 0.000000E+00
4.000000E-05 298 0.000000E+00 0.000000E+00
5.000000E-05 378 8.000000E+00 0.000000E+00
6.000000E-05 453 1.000000E+01 0.000000E+00
7.000000E-05 539 1.400000E+01 0.000000E+00
8.000000E-05 633 2.200000E+01 0.000000E+00
9.000000E-05 709 2.800000E+01 0.000000E+00
1.000000E-04 796 3.400000E+01 1.000000E+01
1.100000E-04 877 3.800000E+01 1.000000E+01
1.200000E-04 953 4.600000E+01 1.000000E+01
1.300000E-04 1040 5.800000E+01 1.000000E+01
1.400000E-04 1129 6.400000E+01 1.000000E+01
1.500000E-04 1223 8.600000E+01 1.000000E+01
1.600000E-04 1304 9.800000E+01 1.000000E+01
1.700000E-04 1386 1.080000E+02 1.000000E+01
1.800000E-04 1463 1.180000E+02 1.000000E+01
1.900000E-04 1556 1.260000E+02 1.000000E+01
2.000000E-04 1642 1.320000E+02 2.000000E+01
2.100000E-04 1724 1.480000E+02 2.000000E+01
2.200000E-04 1806 1.600000E+02 2.000000E+01
2.300000E-04 1891 1.780000E+02 2.000000E+01
2.400000E-04 2001 1.940000E+02 2.000000E+01
2.500000E-04 2081 2.120000E+02 2.000000E+01
2.600000E-04 2185 2.360000E+02 2.000000E+01
2.700000E-04 2271 2.500000E+02 2.000000E+01
2.800000E-04 2355 2.640000E+02 3.000000E+01
2.900000E-04 2454 2.940000E+02 3.000000E+01
3.000000E-04 2547 3.160000E+02 3.000000E+01
3.100000E-04 2640 3.320000E+02 3.000000E+01
3.200000E-04 2726 3.480000E+02 3.000000E+01
3.300000E-04 2816 3.660000E+02 3.000000E+01
3.400000E-04 2910 3.860000E+02 3.000000E+01
3.500000E-04 2998 4.020000E+02 3.000000E+01
3.600000E-04 3088 4.240000E+02 3.000000E+01
3.700000E-04 3190 4.580000E+02 3.000000E+01
3.800000E-04 3299 4.840000E+02 3.000000E+01
3.900000E-04 3395 5.100000E+02 4.000000E+01
4.000000E-04 3504 5.320000E+02 4.000000E+01
4.100000E-04 3619 5.580000E+02 4.000000E+01
4.200000E-04 3734 5.920000E+02 4.000000E+01
4.300000E-04 3838 6.120000E+02 4.000000E+01
4.400000E-04 3934 6.520000E+02 4.000000E+01
4.500000E-04 4042 6.760000E+02 4.000000E+01
4.600000E-04 4163 7.100000E+02 4.000000E+01
4.700000E-04 4276 7.480000E+02 4.000000E+01
4.800000E-04 4387 7.900000E+02 4.000000E+01
4.900000E-04 4497 8.200000E+02 4.000000E+01
5.000000E-04 4596 8.560000E+02 4.000000E+01
5.100000E-04 4688 8.820000E+02 4.000000E+01
5.200000E-04 4796 9.100000E+02 6.000000E+01
5.300000E-04 4905 9.380000E+02 6.000000E+01
5.400000E-04 5014 9.680000E+02 6.000000E+01
5.500000E-04 5105 9.880000E+02 6.000000E+01
5.600000E-04 5210 1.030000E+03 6.000000E+01
5.700000E-04 5294 1.058000E+03 6.000000E+01
5.800000E-04 5398 1.088000E+03 7.000000E+01
5.900000E-04 5500 1.116000E+03 7.000000E+01
6.000000E-04 5591 1.152000E+03 8.000000E+01
6.100000E-04 5695 1.178000E+03 8.000000E+01
6.200000E-04 5813 1.206000E+03 1.100000E+02
6.300000E-04 5897 1.238000E+03 1.200000E+02
6.400000E-04 6000 1.268000E+03 1.200000E+02
6.500000E-04 6112 1.294000E+03 1.200000E+02
6.600000E-04 6206 1.322000E+03 1.200000E+02
6.700000E-04 6314 1.354000E+03 1.300000E+02
6.800000E-04 6421 1.382000E+03 1.400000E+02
6.900000E-04 6537 1.420000E+03 1.400000E+02
7.000000E-04 6674 1.466000E+03 1.600000E+02
7.100000E-04 6805 1.524000E+03 1.600000E+02
7.200000E-04 6911 1.568000E+03 1.600000E+02
7.300000E-04 7009 1.604000E+03 1.800000E+02
7.400000E-04 7116 1.632000E+03 1.800000E+02
7.500000E-04 7231 1.670000E+03 1.800000E+02
7.600000E-04 7352 1.718000E+03 1.800000E+02
7.700000E-04 7450 1.734000E+03 1.800000E+02
7.800000E-04 7564 1.784000E+03 1.800000E+02
7.900000E-04 7684 1.824000E+03 2.000000E+02
8.000000E-04 7778 1.852000E+03 2.000000E+02
8.100000E-04 7887 1.888000E+03 2.100000E+02
8.200000E-04 7999 1.936000E+03 2.200000E+02
8.300000E-04 8116 1.968000E+03 2.200000E+02
8.400000E-04 8246 2.010000E+03 2.300000E+02
8.500000E-04 8358 2.058000E+03 2.300000E+02
8.600000E-04 8471 2.092000E+03 2.400000E+02
8.700000E-04 8584 2.128000E+03 2.500000E+02
8.800000E-04 8698 2.170000E+03 2.500000E+02
8.900000E-04 8808 2.198000E+03 2.600000E+02
9.000000E-04 8929 2.244000E+03 2.600000E+02
9.100000E-04 9039 2.276000E+03 2.600000E+02
9.200000E-04 9163 2.316000E+03 2.700000E+02
9.300000E-04 9294 2.354000E+03 2.700000E+02
9.400000E-04 9412 2.406000E+03 2.700000E+02
9.500000E-04 9532 2.450000E+03 2.800000E+02
9.600000E-04 9663 2.504000E+03 2.900000E+02
9.700000E-04 9772 2.554000E+03 2.900000E+02
9.800000E-04 9886 2.588000E+03 3.000000E+02
9.900000E-04 10001 2.640000E+03 3.100000E+02
1.000000E-03 10133 2.682000E+03 3.100000E+02
