 time E 'electrons_from_1.2_micromoles_Flavin' 'electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 74 0.000000E+00 0.000000E+00
2.000000E-05 147 0.000000E+00 0.000000E+00
3.000000E-05 215 2.000000E+00 0.000000E+00
4.000000E-05 294 2.000000E+00 0.000000E+00
5.000000E-05 369 2.000000E+00 0.000000E+00
6.000000E-05 433 6.000000E+00 0.000000E+00
7.000000E-05 498 1.000000E+01 0.000000E+00
8.000000E-05 569 1.400000E+01 0.000000E+00
9.000000E-05 659 2.000000E+01 0.000000E+00
1.000000E-04 756 2.800000E+01 0.000000E+00
1.100000E-04 824 3.600000E+01 0.000000E+00
1.200000E-04 901 3.600000E+01 0.000000E+00
1.300000E-04 971 5.000000E+01 0.000000E+00
1.400000E-04 1050 5.000000E+01 0.000000E+00
1.500000E-04 1124 6.000000E+01 0.000000E+00
1.600000E-04 1218 7.800000E+01 0.000000E+00
1.700000E-04 1302 8.600000E+01 0.000000E+00
1.800000E-04 1384 9.400000E+01 0.000000E+00
1.900000E-04 1481 1.040000E+02 0.000000E+00
2.000000E-04 1542 1.140000E+02 0.000000E+00
2.100000E-04 1638 1.320000E+02 0.000000E+00
2.200000E-04 1727 1.520000E+02 1.000000E+01
2.300000E-04 1804 1.640000E+02 1.000000E+01
2.400000E-04 1902 1.860000E+02 1.000000E+01
2.500000E-04 1983 2.000000E+02 1.000000E+01
2.600000E-04 2067 2.120000E+02 2.000000E+01
2.700000E-04 2155 2.200000E+02 2.000000E+01
2.800000E-04 2258 2.420000E+02 3.000000E+01
2.900000E-04 2348 2.580000E+02 4.000000E+01
3.000000E-04 2429 2.720000E+02 4.000000E+01
3.100000E-04 2528 2.860000E+02 6.000000E+01
3.200000E-04 2625 3.080000E+02 6.000000E+01
3.300000E-04 2719 3.260000E+02 6.000000E+01
3.400000E-04 2806 3.420000E+02 6.000000E+01
3.500000E-04 2877 3.480000E+02 6.000000E+01
3.600000E-04 2968 3.680000E+02 6.000000E+01
3.700000E-04 3058 3.840000E+02 6.000000E+01
3.800000E-04 3160 4.080000E+02 6.000000E+01
3.900000E-04 3246 4.260000E+02 6.000000E+01
4.000000E-04 3359 4.520000E+02 6.000000E+01
4.100000E-04 3477 4.760000E+02 6.000000E+01
4.200000E-04 3567 5.000000E+02 6.000000E+01
4.300000E-04 3658 5.220000E+02 7.000000E+01
4.400000E-04 3768 5.580000E+02 7.000000E+01
4.500000E-04 3877 5.800000E+02 7.000000E+01
4.600000E-04 3973 6.040000E+02 7.000000E+01
4.700000E-04 4075 6.400000E+02 8.000000E+01
4.800000E-04 4158 6.500000E+02 8.000000E+01
4.900000E-04 4260 6.820000E+02 8.000000E+01
5.000000E-04 4354 6.980000E+02 8.000000E+01
5.100000E-04 4464 7.280000E+02 8.000000E+01
5.200000E-04 4562 7.520000E+02 8.000000E+01
5.300000E-04 4652 7.800000E+02 8.000000E+01
5.400000E-04 4755 8.080000E+02 8.000000E+01
5.500000E-04 4864 8.560000E+02 9.000000E+01
5.600000E-04 4981 8.900000E+02 9.000000E+01
5.700000E-04 5069 9.100000E+02 9.000000E+01
5.800000E-04 5184 9.500000E+02 9.000000E+01
5.900000E-04 5292 9.820000E+02 9.000000E+01
6.000000E-04 5398 1.016000E+03 9.000000E+01
6.100000E-04 5499 1.040000E+03 9.000000E+01
6.200000E-04 5622 1.072000E+03 9.000000E+01
6.300000E-04 5731 1.106000E+03 9.000000E+01
6.400000E-04 5835 1.140000E+03 9.000000E+01
6.500000E-04 5945 1.180000E+03 9.000000E+01
6.600000E-04 6054 1.220000E+03 1.000000E+02
6.700000E-04 6157 1.244000E+03 1.000000E+02
6.800000E-04 6252 1.272000E+03 1.000000E+02
6.900000E-04 6368 1.310000E+03 1.200000E+02
7.000000E-04 6472 1.344000E+03 1.200000E+02
7.100000E-04 6580 1.386000E+03 1.200000E+02
7.200000E-04 6679 1.422000E+03 1.200000E+02
7.300000E-04 6814 1.466000E+03 1.200000E+02
7.400000E-04 6941 1.514000E+03 1.300000E+02
7.500000E-04 7059 1.556000E+03 1.300000E+02
7.600000E-04 7159 1.586000E+03 1.300000E+02
7.700000E-04 7277 1.636000E+03 1.300000E+02
7.800000E-04 7374 1.678000E+03 1.300000E+02
7.900000E-04 7485 1.722000E+03 1.300000E+02
8.000000E-04 7601 1.764000E+03 1.300000E+02
8.100000E-04 7709 1.814000E+03 1.300000E+02
8.200000E-04 7809 1.846000E+03 1.400000E+02
8.300000E-04 7952 1.892000E+03 1.400000E+02
8.400000E-04 8070 1.940000E+03 1.500000E+02
8.500000E-04 8185 1.984000E+03 1.600000E+02
8.600000E-04 8304 2.026000E+03 1.700000E+02
8.700000E-04 8416 2.062000E+03 1.700000E+02
8.800000E-04 8530 2.120000E+03 1.700000E+02
8.900000E-04 8667 2.176000E+03 1.700000E+02
9.000000E-04 8793 2.222000E+03 1.800000E+02
9.100000E-04 8910 2.256000E+03 1.800000E+02
9.200000E-04 9009 2.296000E+03 1.800000E+02
9.300000E-04 9103 2.324000E+03 1.800000E+02
9.400000E-04 9204 2.360000E+03 1.900000E+02
9.500000E-04 9303 2.388000E+03 1.900000E+02
9.600000E-04 9427 2.428000E+03 2.000000E+02
9.700000E-04 9541 2.470000E+03 2.000000E+02
9.800000E-04 9671 2.518000E+03 2.100000E+02
9.900000E-04 9792 2.572000E+03 2.100000E+02
1.000000E-03 9904 2.618000E+03 2.100000E+02
