 time E 'electrons_from_1.2_micromoles_Flavin' 'electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 51 0.000000E+00 0.000000E+00
2.000000E-05 124 0.000000E+00 0.000000E+00
3.000000E-05 206 0.000000E+00 0.000000E+00
4.000000E-05 274 0.000000E+00 0.000000E+00
5.000000E-05 356 2.000000E+00 0.000000E+00
6.000000E-05 437 2.000000E+00 0.000000E+00
7.000000E-05 514 4.000000E+00 1.000000E+01
8.000000E-05 581 4.000000E+00 1.000000E+01
9.000000E-05 659 8.000000E+00 1.000000E+01
1.000000E-04 736 1.400000E+01 1.000000E+01
1.100000E-04 814 2.000000E+01 1.000000E+01
1.200000E-04 892 2.800000E+01 1.000000E+01
1.300000E-04 964 4.200000E+01 1.000000E+01
1.400000E-04 1064 4.400000E+01 1.000000E+01
1.500000E-04 1169 6.400000E+01 1.000000E+01
1.600000E-04 1253 7.400000E+01 1.000000E+01
1.700000E-04 1344 8.400000E+01 1.000000E+01
1.800000E-04 1440 1.040000E+02 2.000000E+01
1.900000E-04 1526 1.120000E+02 2.000000E+01
2.000000E-04 1606 1.260000E+02 2.000000E+01
2.100000E-04 1675 1.380000E+02 2.000000E+01
2.200000E-04 1766 1.500000E+02 3.000000E+01
2.300000E-04 1852 1.620000E+02 4.000000E+01
2.400000E-04 1937 1.840000E+02 4.000000E+01
2.500000E-04 2018 1.960000E+02 4.000000E+01
2.600000E-04 2111 2.100000E+02 4.000000E+01
2.700000E-04 2184 2.200000E+02 4.000000E+01
2.800000E-04 2272 2.340000E+02 4.000000E+01
2.900000E-04 2352 2.420000E+02 4.000000E+01
3.000000E-04 2438 2.620000E+02 5.000000E+01
3.100000E-04 2527 2.820000E+02 5.000000E+01
3.200000E-04 2606 2.980000E+02 5.000000E+01
3.300000E-04 2691 3.220000E+02 6.000000E+01
3.400000E-04 2798 3.460000E+02 6.000000E+01
3.500000E-04 2885 3.600000E+02 7.000000E+01
3.600000E-04 2968 3.700000E+02 7.000000E+01
3.700000E-04 3072 3.900000E+02 7.000000E+01
3.800000E-04 3148 4.140000E+02 7.000000E+01
3.900000E-04 3252 4.360000E+02 7.000000E+01
4.000000E-04 3348 4.600000E+02 8.000000E+01
4.100000E-04 3442 4.740000E+02 9.000000E+01
4.200000E-04 3531 5.000000E+02 1.000000E+02
4.300000E-04 3639 5.260000E+02 1.000000E+02
4.400000E-04 3741 5.460000E+02 1.100000E+02
4.500000E-04 3859 5.720000E+02 1.200000E+02
4.600000E-04 3968 6.100000E+02 1.400000E+02
4.700000E-04 4081 6.420000E+02 1.400000E+02
4.800000E-04 4166 6.620000E+02 1.400000E+02
4.900000E-04 4264 6.800000E+02 1.500000E+02
5.000000E-04 4368 7.100000E+02 1.600000E+02
5.100000E-04 4479 7.440000E+02 1.600000E+02
5.200000E-04 4591 7.760000E+02 1.600000E+02
5.300000E-04 4691 8.100000E+02 1.600000E+02
5.400000E-04 4789 8.280000E+02 1.700000E+02
5.500000E-04 4880 8.460000E+02 1.800000E+02
5.600000E-04 4992 8.780000E+02 1.800000E+02
5.700000E-04 5088 9.140000E+02 1.900000E+02
5.800000E-04 5176 9.420000E+02 2.000000E+02
5.900000E-04 5289 9.700000E+02 2.000000E+02
6.000000E-04 5400 1.000000E+03 2.000000E+02
6.100000E-04 5532 1.044000E+03 2.000000E+02
6.200000E-04 5638 1.100000E+03 2.000000E+02
6.300000E-04 5752 1.144000E+03 2.000000E+02
6.400000E-04 5860 1.180000E+03 2.100000E+02
6.500000E-04 5962 1.222000E+03 2.100000E+02
6.600000E-04 6071 1.258000E+03 2.100000E+02
6.700000E-04 6188 1.304000E+03 2.200000E+02
6.800000E-04 6290 1.336000E+03 2.200000E+02
6.900000E-04 6393 1.362000E+03 2.200000E+02
7.000000E-04 6509 1.390000E+03 2.300000E+02
7.100000E-04 6626 1.440000E+03 2.400000E+02
7.200000E-04 6748 1.480000E+03 2.400000E+02
7.300000E-04 6870 1.524000E+03 2.400000E+02
7.400000E-04 6999 1.566000E+03 2.400000E+02
7.500000E-04 7119 1.606000E+03 2.400000E+02
7.600000E-04 7220 1.636000E+03 2.400000E+02
7.700000E-04 7333 1.666000E+03 2.400000E+02
7.800000E-04 7451 1.714000E+03 2.500000E+02
7.900000E-04 7567 1.758000E+03 2.500000E+02
8.000000E-04 7690 1.800000E+03 2.500000E+02
8.100000E-04 7804 1.844000E+03 2.500000E+02
8.200000E-04 7915 1.890000E+03 2.500000E+02
8.300000E-04 8029 1.918000E+03 2.700000E+02
8.400000E-04 8141 1.962000E+03 2.700000E+02
8.500000E-04 8264 2.014000E+03 2.700000E+02
8.600000E-04 8371 2.052000E+03 2.700000E+02
8.700000E-04 8467 2.086000E+03 2.700000E+02
8.800000E-04 8585 2.120000E+03 2.800000E+02
8.900000E-04 8716 2.158000E+03 2.800000E+02
9.000000E-04 8840 2.208000E+03 2.800000E+02
9.100000E-04 8946 2.242000E+03 2.800000E+02
9.200000E-04 9084 2.302000E+03 2.800000E+02
9.300000E-04 9187 2.334000E+03 2.900000E+02
9.400000E-04 9294 2.370000E+03 2.900000E+02
9.500000E-04 9410 2.412000E+03 3.000000E+02
9.600000E-04 9525 2.448000E+03 3.000000E+02
9.700000E-04 9655 2.496000E+03 3.000000E+02
9.800000E-04 9790 2.546000E+03 3.000000E+02
9.900000E-04 9911 2.594000E+03 3.000000E+02
1.000000E-03 10005 2.626000E+03 3.000000E+02
