 time E 'electrons_from_0.2_micromoles_Flavin' 'electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 10 0.000000E+00 0.000000E+00
2.000000E-05 22 0.000000E+00 0.000000E+00
3.000000E-05 44 0.000000E+00 0.000000E+00
4.000000E-05 64 0.000000E+00 0.000000E+00
5.000000E-05 89 2.000000E+00 0.000000E+00
6.000000E-05 104 2.000000E+00 0.000000E+00
7.000000E-05 125 6.000000E+00 0.000000E+00
8.000000E-05 144 8.000000E+00 0.000000E+00
9.000000E-05 164 8.000000E+00 0.000000E+00
1.000000E-04 180 8.000000E+00 0.000000E+00
1.100000E-04 196 8.000000E+00 0.000000E+00
1.200000E-04 218 8.000000E+00 1.000000E+01
1.300000E-04 235 8.000000E+00 1.000000E+01
1.400000E-04 259 1.000000E+01 1.000000E+01
1.500000E-04 282 1.000000E+01 1.000000E+01
1.600000E-04 304 1.000000E+01 1.000000E+01
1.700000E-04 336 1.800000E+01 1.000000E+01
1.800000E-04 365 2.600000E+01 1.000000E+01
1.900000E-04 385 3.400000E+01 1.000000E+01
2.000000E-04 417 4.000000E+01 1.000000E+01
2.100000E-04 442 4.600000E+01 2.000000E+01
2.200000E-04 478 5.400000E+01 2.000000E+01
2.300000E-04 495 5.400000E+01 2.000000E+01
2.400000E-04 529 5.600000E+01 3.000000E+01
2.500000E-04 558 6.000000E+01 3.000000E+01
2.600000E-04 584 6.600000E+01 3.000000E+01
2.700000E-04 605 7.000000E+01 3.000000E+01
2.800000E-04 624 7.000000E+01 4.000000E+01
2.900000E-04 651 7.600000E+01 4.000000E+01
3.000000E-04 676 7.600000E+01 4.000000E+01
3.100000E-04 702 8.200000E+01 4.000000E+01
3.200000E-04 728 8.800000E+01 4.000000E+01
3.300000E-04 753 9.400000E+01 4.000000E+01
3.400000E-04 782 9.800000E+01 6.000000E+01
3.500000E-04 811 1.040000E+02 6.000000E+01
3.600000E-04 832 1.140000E+02 6.000000E+01
3.700000E-04 856 1.200000E+02 6.000000E+01
3.800000E-04 885 1.240000E+02 6.000000E+01
3.900000E-04 915 1.280000E+02 6.000000E+01
4.000000E-04 936 1.380000E+02 6.000000E+01
4.100000E-04 964 1.440000E+02 6.000000E+01
4.200000E-04 987 1.480000E+02 6.000000E+01
4.300000E-04 1013 1.540000E+02 6.000000E+01
4.400000E-04 1046 1.580000E+02 6.000000E+01
4.500000E-04 1071 1.620000E+02 8.000000E+01
4.600000E-04 1086 1.640000E+02 8.000000E+01
4.700000E-04 1113 1.700000E+02 8.000000E+01
4.800000E-04 1149 1.740000E+02 8.000000E+01
4.900000E-04 1183 1.820000E+02 9.000000E+01
5.000000E-04 1201 1.860000E+02 9.000000E+01
5.100000E-04 1229 1.940000E+02 9.000000E+01
5.200000E-04 1261 2.080000E+02 1.000000E+02
5.300000E-04 1287 2.200000E+02 1.000000E+02
5.400000E-04 1319 2.300000E+02 1.000000E+02
5.500000E-04 1349 2.400000E+02 1.000000E+02
5.600000E-04 1374 2.480000E+02 1.000000E+02
5.700000E-04 1403 2.540000E+02 1.000000E+02
5.800000E-04 1430 2.560000E+02 1.000000E+02
5.900000E-04 1455 2.660000E+02 1.000000E+02
6.000000E-04 1483 2.700000E+02 1.000000E+02
6.100000E-04 1513 2.760000E+02 1.000000E+02
6.200000E-04 1546 2.900000E+02 1.000000E+02
6.300000E-04 1573 3.000000E+02 1.100000E+02
6.400000E-04 1597 3.040000E+02 1.100000E+02
6.500000E-04 1631 3.120000E+02 1.100000E+02
6.600000E-04 1657 3.240000E+02 1.100000E+02
6.700000E-04 1695 3.320000E+02 1.100000E+02
6.800000E-04 1724 3.340000E+02 1.100000E+02
6.900000E-04 1762 3.480000E+02 1.400000E+02
7.000000E-04 1796 3.540000E+02 1.500000E+02
7.100000E-04 1828 3.680000E+02 1.500000E+02
7.200000E-04 1866 3.780000E+02 1.500000E+02
7.300000E-04 1895 3.880000E+02 1.700000E+02
7.400000E-04 1920 3.900000E+02 1.700000E+02
7.500000E-04 1954 3.960000E+02 1.700000E+02
7.600000E-04 1985 4.000000E+02 1.700000E+02
7.700000E-04 2026 4.140000E+02 1.800000E+02
7.800000E-04 2058 4.220000E+02 1.900000E+02
7.900000E-04 2098 4.320000E+02 1.900000E+02
8.000000E-04 2135 4.460000E+02 2.000000E+02
8.100000E-04 2155 4.520000E+02 2.000000E+02
8.200000E-04 2199 4.660000E+02 2.000000E+02
8.300000E-04 2231 4.840000E+02 2.000000E+02
8.400000E-04 2267 4.980000E+02 2.000000E+02
8.500000E-04 2292 5.060000E+02 2.100000E+02
8.600000E-04 2322 5.160000E+02 2.200000E+02
8.700000E-04 2354 5.220000E+02 2.200000E+02
8.800000E-04 2388 5.360000E+02 2.300000E+02
8.900000E-04 2415 5.440000E+02 2.300000E+02
9.000000E-04 2439 5.560000E+02 2.300000E+02
9.100000E-04 2471 5.660000E+02 2.300000E+02
9.200000E-04 2499 5.720000E+02 2.300000E+02
9.300000E-04 2527 5.840000E+02 2.300000E+02
9.400000E-04 2565 5.980000E+02 2.400000E+02
9.500000E-04 2608 6.160000E+02 2.400000E+02
9.600000E-04 2643 6.300000E+02 2.500000E+02
9.700000E-04 2679 6.400000E+02 2.500000E+02
9.800000E-04 2713 6.460000E+02 2.600000E+02
9.900000E-04 2758 6.660000E+02 2.600000E+02
1.000000E-03 2788 6.740000E+02 2.700000E+02
