 time E 'electrons_from_0.2_micromoles_Flavin' 'electrons_from_mtrC'
0.000000E+00 0 0.000000E+00 0.000000E+00
1.000000E-05 22 0.000000E+00 0.000000E+00
2.000000E-05 31 0.000000E+00 0.000000E+00
3.000000E-05 47 0.000000E+00 0.000000E+00
4.000000E-05 68 0.000000E+00 0.000000E+00
5.000000E-05 86 2.000000E+00 0.000000E+00
6.000000E-05 105 2.000000E+00 0.000000E+00
7.000000E-05 125 2.000000E+00 1.000000E+01
8.000000E-05 153 4.000000E+00 1.000000E+01
9.000000E-05 178 8.000000E+00 1.000000E+01
1.000000E-04 205 1.000000E+01 1.000000E+01
1.100000E-04 222 1.000000E+01 1.000000E+01
1.200000E-04 248 1.200000E+01 1.000000E+01
1.300000E-04 278 1.200000E+01 1.000000E+01
1.400000E-04 305 1.400000E+01 1.000000E+01
1.500000E-04 328 1.400000E+01 1.000000E+01
1.600000E-04 343 1.800000E+01 1.000000E+01
1.700000E-04 365 2.000000E+01 1.000000E+01
1.800000E-04 387 2.000000E+01 1.000000E+01
1.900000E-04 414 2.200000E+01 1.000000E+01
2.000000E-04 438 2.400000E+01 2.000000E+01
2.100000E-04 454 3.000000E+01 2.000000E+01
2.200000E-04 480 3.200000E+01 2.000000E+01
2.300000E-04 500 3.400000E+01 2.000000E+01
2.400000E-04 522 4.000000E+01 2.000000E+01
2.500000E-04 541 4.200000E+01 3.000000E+01
2.600000E-04 562 4.600000E+01 3.000000E+01
2.700000E-04 578 4.600000E+01 3.000000E+01
2.800000E-04 607 5.200000E+01 4.000000E+01
2.900000E-04 632 5.400000E+01 5.000000E+01
3.000000E-04 668 6.400000E+01 5.000000E+01
3.100000E-04 705 6.800000E+01 5.000000E+01
3.200000E-04 736 7.800000E+01 5.000000E+01
3.300000E-04 769 8.800000E+01 5.000000E+01
3.400000E-04 791 9.000000E+01 6.000000E+01
3.500000E-04 821 9.600000E+01 7.000000E+01
3.600000E-04 847 1.040000E+02 7.000000E+01
3.700000E-04 876 1.080000E+02 7.000000E+01
3.800000E-04 906 1.120000E+02 7.000000E+01
3.900000E-04 940 1.200000E+02 7.000000E+01
4.000000E-04 960 1.260000E+02 8.000000E+01
4.100000E-04 989 1.320000E+02 8.000000E+01
4.200000E-04 1032 1.400000E+02 8.000000E+01
4.300000E-04 1059 1.440000E+02 8.000000E+01
4.400000E-04 1100 1.600000E+02 9.000000E+01
4.500000E-04 1113 1.640000E+02 9.000000E+01
4.600000E-04 1142 1.680000E+02 9.000000E+01
4.700000E-04 1173 1.800000E+02 1.000000E+02
4.800000E-04 1200 1.880000E+02 1.000000E+02
4.900000E-04 1230 2.020000E+02 1.000000E+02
5.000000E-04 1264 2.100000E+02 1.000000E+02
5.100000E-04 1291 2.180000E+02 1.000000E+02
5.200000E-04 1318 2.240000E+02 1.100000E+02
5.300000E-04 1349 2.280000E+02 1.200000E+02
5.400000E-04 1378 2.380000E+02 1.200000E+02
5.500000E-04 1410 2.540000E+02 1.200000E+02
5.600000E-04 1442 2.660000E+02 1.300000E+02
5.700000E-04 1469 2.700000E+02 1.300000E+02
5.800000E-04 1488 2.740000E+02 1.300000E+02
5.900000E-04 1518 2.800000E+02 1.300000E+02
6.000000E-04 1559 3.000000E+02 1.400000E+02
6.100000E-04 1585 3.060000E+02 1.400000E+02
6.200000E-04 1614 3.120000E+02 1.400000E+02
6.300000E-04 1650 3.280000E+02 1.400000E+02
6.400000E-04 1679 3.340000E+02 1.500000E+02
6.500000E-04 1720 3.520000E+02 1.500000E+02
6.600000E-04 1745 3.660000E+02 1.600000E+02
6.700000E-04 1784 3.820000E+02 1.700000E+02
6.800000E-04 1813 3.900000E+02 1.700000E+02
6.900000E-04 1838 3.980000E+02 1.700000E+02
7.000000E-04 1873 4.100000E+02 1.700000E+02
7.100000E-04 1900 4.160000E+02 1.700000E+02
7.200000E-04 1940 4.320000E+02 1.800000E+02
7.300000E-04 1968 4.400000E+02 1.900000E+02
7.400000E-04 1994 4.480000E+02 1.900000E+02
7.500000E-04 2021 4.540000E+02 1.900000E+02
7.600000E-04 2051 4.700000E+02 1.900000E+02
7.700000E-04 2092 4.880000E+02 2.000000E+02
7.800000E-04 2126 4.980000E+02 2.000000E+02
7.900000E-04 2159 5.120000E+02 2.000000E+02
8.000000E-04 2189 5.140000E+02 2.000000E+02
8.100000E-04 2217 5.160000E+02 2.000000E+02
8.200000E-04 2247 5.260000E+02 2.000000E+02
8.300000E-04 2290 5.400000E+02 2.000000E+02
8.400000E-04 2316 5.460000E+02 2.100000E+02
8.500000E-04 2352 5.540000E+02 2.100000E+02
8.600000E-04 2379 5.640000E+02 2.100000E+02
8.700000E-04 2414 5.700000E+02 2.100000E+02
8.800000E-04 2445 5.820000E+02 2.100000E+02
8.900000E-04 2489 6.080000E+02 2.100000E+02
9.000000E-04 2528 6.160000E+02 2.300000E+02
9.100000E-04 2561 6.220000E+02 2.300000E+02
9.200000E-04 2598 6.320000E+02 2.300000E+02
9.300000E-04 2628 6.440000E+02 2.300000E+02
9.400000E-04 2673 6.640000E+02 2.300000E+02
9.500000E-04 2692 6.680000E+02 2.300000E+02
9.600000E-04 2717 6.760000E+02 2.500000E+02
9.700000E-04 2738 6.800000E+02 2.500000E+02
9.800000E-04 2780 6.960000E+02 2.600000E+02
9.900000E-04 2821 7.100000E+02 2.800000E+02
1.000000E-03 2868 7.280000E+02 2.800000E+02
